Complex1	Apo-GP96 dimer	endoplasmic reticulum lumen	Reactome DB_ID: 1678941	Protein2	
Complex216	p-3S,3T-IRAK1:p-S,2T-IRAK4:oligo-MyD88:Mal:activated TLR	plasma membrane	Reactome DB_ID: 166360	Protein46	
Complex217	TRAF6:hp-IRAK1:p-IRAK4:oligo-MyD88 :Mal:activated TLR	plasma membrane	Reactome DB_ID: 937053	Complex216	
Complex217	TRAF6:hp-IRAK1:p-IRAK4:oligo-MyD88 :Mal:activated TLR	plasma membrane	Reactome DB_ID: 937053	Protein49	
Complex218	TRAF6:p-IRAK2 :p-IRAK4:oligo-MyD88 :Mal:activated TLR	plasma membrane	Reactome DB_ID: 2262774	Complex212	
Complex218	TRAF6:p-IRAK2 :p-IRAK4:oligo-MyD88 :Mal:activated TLR	plasma membrane	Reactome DB_ID: 2262774	Protein49	
Complex219	FCN1:MASP2 dimer:MASP1 dimer	extracellular region	Reactome DB_ID: 2855100	Complex222	
Complex219	FCN1:MASP2 dimer:MASP1 dimer	extracellular region	Reactome DB_ID: 2855100	Complex220	
Complex219	FCN1:MASP2 dimer:MASP1 dimer	extracellular region	Reactome DB_ID: 2855100	Complex223	
Complex22	TLR5 homodimer:bacterial flagellin	plasma membrane	Reactome DB_ID: 188027	Protein32	
Complex22	TLR5 homodimer:bacterial flagellin	plasma membrane	Reactome DB_ID: 188027	Protein31	
Complex220	Ficolin-1 tetramer	extracellular region	Reactome DB_ID: 2530428	Complex221	
Complex221	FCN1 subunit	extracellular region	Reactome DB_ID: 2530422	Protein330	
Complex222	MASP2 dimer	extracellular region	Reactome DB_ID: 166694	Protein331	
Complex223	MASP1 dimer	extracellular region	Reactome DB_ID: 166693	Protein332	
Complex224	FCN1:MASPs:Ca2+:FCN1 ligand	plasma membrane	Reactome DB_ID: 2855134	SmallMolecule30	
Complex224	FCN1:MASPs:Ca2+:FCN1 ligand	plasma membrane	Reactome DB_ID: 2855134	SmallMolecule34	
Complex224	FCN1:MASPs:Ca2+:FCN1 ligand	plasma membrane	Reactome DB_ID: 2855134	Complex219	
Complex225	FCN2:MASP2 dimer:MASP1 dimer	extracellular region	Reactome DB_ID: 2855087	Complex222	
Complex225	FCN2:MASP2 dimer:MASP1 dimer	extracellular region	Reactome DB_ID: 2855087	Complex226	
Complex225	FCN2:MASP2 dimer:MASP1 dimer	extracellular region	Reactome DB_ID: 2855087	Complex223	
Complex226	Ficolin-2 tetramer	extracellular region	Reactome DB_ID: 2530427	Complex227	
Complex227	FCN2 subunit	extracellular region	Reactome DB_ID: 2530460	Protein333	
Complex228	FCN2:MASPs:Ca2+:FCN2 ligand	plasma membrane	Reactome DB_ID: 2855065	SmallMolecule35	
Complex228	FCN2:MASPs:Ca2+:FCN2 ligand	plasma membrane	Reactome DB_ID: 2855065	SmallMolecule34	
Complex228	FCN2:MASPs:Ca2+:FCN2 ligand	plasma membrane	Reactome DB_ID: 2855065	Complex225	
Complex229	FCN3:MASP2 dimer:MASP1 dimer	extracellular region	Reactome DB_ID: 2855122	Complex222	
Complex229	FCN3:MASP2 dimer:MASP1 dimer	extracellular region	Reactome DB_ID: 2855122	Complex230	
Complex229	FCN3:MASP2 dimer:MASP1 dimer	extracellular region	Reactome DB_ID: 2855122	Complex223	
Complex23	MyD88 complexed with the activated TLR5 or 10 receptor	plasma membrane	Reactome DB_ID: 975860	Complex21	
Complex23	MyD88 complexed with the activated TLR5 or 10 receptor	plasma membrane	Reactome DB_ID: 975860	Complex24	
Complex230	Ficolin-3 hexamer	extracellular region	Reactome DB_ID: 2530450	Complex231	
Complex231	FCN3 subunit	extracellular region	Reactome DB_ID: 2530444	Protein334	
Complex232	FCN3:MASPs:Ca2+:FCN3 ligand	plasma membrane	Reactome DB_ID: 2855093	SmallMolecule34	
Complex232	FCN3:MASPs:Ca2+:FCN3 ligand	plasma membrane	Reactome DB_ID: 2855093	SmallMolecule38	
Complex232	FCN3:MASPs:Ca2+:FCN3 ligand	plasma membrane	Reactome DB_ID: 2855093	Complex229	
Complex233	MBL-II:MASP-2 dimer:MASP-1 dimer complex	extracellular region	Reactome DB_ID: 166710	Complex222	
Complex233	MBL-II:MASP-2 dimer:MASP-1 dimer complex	extracellular region	Reactome DB_ID: 166710	Complex234	
Complex233	MBL-II:MASP-2 dimer:MASP-1 dimer complex	extracellular region	Reactome DB_ID: 166710	Complex223	
Complex234	MBL-II tetramer	extracellular region	Reactome DB_ID: 166684	Complex235	
Complex235	MBL subunit	extracellular region	Reactome DB_ID: 166675	Protein335	
Complex236	MBL bound to mannose-based carbohydrates on bacterial surfaces	plasma membrane	Reactome DB_ID: 166719	SmallMolecule34	
Complex236	MBL bound to mannose-based carbohydrates on bacterial surfaces	plasma membrane	Reactome DB_ID: 166719	Complex233	
Complex236	MBL bound to mannose-based carbohydrates on bacterial surfaces	plasma membrane	Reactome DB_ID: 166719	PhysicalEntity19	
Complex239	Ficolin-1:activated MASP-1:activated MASP-2:Ca2+:ficolin ligand	plasma membrane	Reactome DB_ID: 2855106	SmallMolecule30	
Complex239	Ficolin-1:activated MASP-1:activated MASP-2:Ca2+:ficolin ligand	plasma membrane	Reactome DB_ID: 2855106	SmallMolecule34	
Complex239	Ficolin-1:activated MASP-1:activated MASP-2:Ca2+:ficolin ligand	plasma membrane	Reactome DB_ID: 2855106	Complex241	
Complex239	Ficolin-1:activated MASP-1:activated MASP-2:Ca2+:ficolin ligand	plasma membrane	Reactome DB_ID: 2855106	Complex240	
Complex239	Ficolin-1:activated MASP-1:activated MASP-2:Ca2+:ficolin ligand	plasma membrane	Reactome DB_ID: 2855106	Complex220	
Complex24	MYD88 homodimer	plasma membrane	Reactome DB_ID: 937078	Protein33	
Complex240	Activated MASP-1 dimer	extracellular region	Reactome DB_ID: 182687	Protein336	
Complex240	Activated MASP-1 dimer	extracellular region	Reactome DB_ID: 182687	Protein337	
Complex241	Activated MASP-2 dimer	extracellular region	Reactome DB_ID: 166702	Protein339	
Complex241	Activated MASP-2 dimer	extracellular region	Reactome DB_ID: 166702	Protein338	
Complex242	Ficolin-2:activated MASP-1:activated MASP-2:Ca2+:ficolin ligand	plasma membrane	Reactome DB_ID: 2855064	SmallMolecule35	
Complex242	Ficolin-2:activated MASP-1:activated MASP-2:Ca2+:ficolin ligand	plasma membrane	Reactome DB_ID: 2855064	SmallMolecule34	
Complex242	Ficolin-2:activated MASP-1:activated MASP-2:Ca2+:ficolin ligand	plasma membrane	Reactome DB_ID: 2855064	Complex241	
Complex242	Ficolin-2:activated MASP-1:activated MASP-2:Ca2+:ficolin ligand	plasma membrane	Reactome DB_ID: 2855064	Complex240	
Complex242	Ficolin-2:activated MASP-1:activated MASP-2:Ca2+:ficolin ligand	plasma membrane	Reactome DB_ID: 2855064	Complex226	
Complex243	Ficolin-3:activated MASP-1:activated MASP-2:Ca2+:ficolin ligand	plasma membrane	Reactome DB_ID: 2855080	SmallMolecule34	
Complex243	Ficolin-3:activated MASP-1:activated MASP-2:Ca2+:ficolin ligand	plasma membrane	Reactome DB_ID: 2855080	SmallMolecule38	
Complex243	Ficolin-3:activated MASP-1:activated MASP-2:Ca2+:ficolin ligand	plasma membrane	Reactome DB_ID: 2855080	Complex241	
Complex243	Ficolin-3:activated MASP-1:activated MASP-2:Ca2+:ficolin ligand	plasma membrane	Reactome DB_ID: 2855080	Complex240	
Complex243	Ficolin-3:activated MASP-1:activated MASP-2:Ca2+:ficolin ligand	plasma membrane	Reactome DB_ID: 2855080	Complex230	
Complex244	MBL:activated MASPs:mannose-based carbohydrates 	plasma membrane	Reactome DB_ID: 166724	SmallMolecule34	
Complex244	MBL:activated MASPs:mannose-based carbohydrates 	plasma membrane	Reactome DB_ID: 166724	Complex245	
Complex244	MBL:activated MASPs:mannose-based carbohydrates 	plasma membrane	Reactome DB_ID: 166724	PhysicalEntity19	
Complex245	MBL-II:Activated MASP-1 dimer:Activated MASP-2 dimer complex	extracellular region	Reactome DB_ID: 166713	Complex241	
Complex245	MBL-II:Activated MASP-1 dimer:Activated MASP-2 dimer complex	extracellular region	Reactome DB_ID: 166713	Complex240	
Complex245	MBL-II:Activated MASP-1 dimer:Activated MASP-2 dimer complex	extracellular region	Reactome DB_ID: 166713	Complex234	
Complex246	Antigen: antibody: C1 complex	plasma membrane	Reactome DB_ID: 173582	Complex251	
Complex246	Antigen: antibody: C1 complex	plasma membrane	Reactome DB_ID: 173582	Complex247	
Complex247	C1 complement factor	extracellular region	Reactome DB_ID: 173584	Complex248	
Complex247	C1 complement factor	extracellular region	Reactome DB_ID: 173584	Complex250	
Complex248	C1Q	extracellular region	Reactome DB_ID: 173579	Complex249	
Complex249	C1Q subunit (C1QA:C1QB:C1QC heterotrimer)	extracellular region	Reactome DB_ID: 173588	Protein342	
Complex249	C1Q subunit (C1QA:C1QB:C1QC heterotrimer)	extracellular region	Reactome DB_ID: 173588	Protein341	
Complex249	C1Q subunit (C1QA:C1QB:C1QC heterotrimer)	extracellular region	Reactome DB_ID: 173588	Protein340	
Complex25	oligo-MyD88:activated TLR5 or 10	plasma membrane	Reactome DB_ID: 975864	Complex21	
Complex25	oligo-MyD88:activated TLR5 or 10	plasma membrane	Reactome DB_ID: 975864	Complex26	
Complex250	C1S:C1R tetramer	extracellular region	Reactome DB_ID: 173585	Protein343	
Complex250	C1S:C1R tetramer	extracellular region	Reactome DB_ID: 173585	Protein344	
Complex251	Antigen-antibody complex	plasma membrane	Reactome DB_ID: 173552	PhysicalEntity20	
Complex251	Antigen-antibody complex	plasma membrane	Reactome DB_ID: 173552	Complex252	
Complex252	IgG	extracellular region	Reactome DB_ID: 182629	Complex256	
Complex252	IgG	extracellular region	Reactome DB_ID: 182629	Complex253	
Complex254	Ig Kappa	extracellular region	Reactome DB_ID: 983670	Protein398	
Complex254	Ig Kappa	extracellular region	Reactome DB_ID: 983670	Protein345	
Complex255	Ig Lambda	extracellular region	Reactome DB_ID: 983672	Protein399	
Complex255	Ig Lambda	extracellular region	Reactome DB_ID: 983672	Protein405	
Complex256	IgG Heavy Chain	extracellular region	Reactome DB_ID: 1591203	Protein468	
Complex256	IgG Heavy Chain	extracellular region	Reactome DB_ID: 1591203	Protein463	
Complex257	Antigen: antibody: C1 (activated C1R) complex	plasma membrane	Reactome DB_ID: 173619	Complex251	
Complex257	Antigen: antibody: C1 (activated C1R) complex	plasma membrane	Reactome DB_ID: 173619	Complex258	
Complex258	C1 complement factor (with activated C1R)	extracellular region	Reactome DB_ID: 173617	Complex259	
Complex258	C1 complement factor (with activated C1R)	extracellular region	Reactome DB_ID: 173617	Complex248	
Complex259	C1S:activated C1R tetramer	extracellular region	Reactome DB_ID: 173613	Complex260	
Complex259	C1S:activated C1R tetramer	extracellular region	Reactome DB_ID: 173613	Protein344	
Complex26	MyD88 oligomer	plasma membrane	Reactome DB_ID: 937013	Protein33	
Complex260	Activated C1R	extracellular region	Reactome DB_ID: 173604	Protein508	
Complex260	Activated C1R	extracellular region	Reactome DB_ID: 173604	Protein507	
Complex261	C-reactive protein pentamer:phosphocholine:C1Q	extracellular region	Reactome DB_ID: 976769	Complex248	
Complex261	C-reactive protein pentamer:phosphocholine:C1Q	extracellular region	Reactome DB_ID: 976769	Complex262	
Complex262	C-reactive protein pentamer:phosphocholine	plasma membrane	Reactome DB_ID: 976722	Complex263	
Complex262	C-reactive protein pentamer:phosphocholine	plasma membrane	Reactome DB_ID: 976722	SmallMolecule40	
Complex263	C-reactive protein homopentamer	extracellular region	Reactome DB_ID: 976808	SmallMolecule34	
Complex263	C-reactive protein homopentamer	extracellular region	Reactome DB_ID: 976808	Protein509	
Complex264	Antigen: antibody: C1 (activated C1R and C1S) complex	plasma membrane	Reactome DB_ID: 173618	Complex251	
Complex264	Antigen: antibody: C1 (activated C1R and C1S) complex	plasma membrane	Reactome DB_ID: 173618	Complex265	
Complex265	C1 complement factor (with activated C1R and C1S)	extracellular region	Reactome DB_ID: 173615	Complex248	
Complex265	C1 complement factor (with activated C1R and C1S)	extracellular region	Reactome DB_ID: 173615	Complex266	
Complex266	Activated C1S:activated C1R tetramer	extracellular region	Reactome DB_ID: 173614	Complex267	
Complex266	Activated C1S:activated C1R tetramer	extracellular region	Reactome DB_ID: 173614	Complex260	
Complex267	Activated C1S	extracellular region	Reactome DB_ID: 173610	Protein511	
Complex267	Activated C1S	extracellular region	Reactome DB_ID: 173610	Protein510	
Complex269	C4A	extracellular region	Reactome DB_ID: 166732	Protein513	
Complex269	C4A	extracellular region	Reactome DB_ID: 166732	Protein512	
Complex269	C4A	extracellular region	Reactome DB_ID: 166732	Protein514	
Complex27	IRAK4:oligo-MyD88:activated TLR5 or 10	plasma membrane	Reactome DB_ID: 975876	Complex25	
Complex27	IRAK4:oligo-MyD88:activated TLR5 or 10	plasma membrane	Reactome DB_ID: 975876	Protein35	
Complex270	C4B	extracellular region	Reactome DB_ID: 981727	Protein517	
Complex270	C4B	extracellular region	Reactome DB_ID: 981727	Protein515	
Complex270	C4B	extracellular region	Reactome DB_ID: 981727	Protein516	
Complex272	thioester-C1010-Q1013- C4A-derived C4b	extracellular region	Reactome DB_ID: 981643	Protein512	
Complex272	thioester-C1010-Q1013- C4A-derived C4b	extracellular region	Reactome DB_ID: 981643	Protein514	
Complex272	thioester-C1010-Q1013- C4A-derived C4b	extracellular region	Reactome DB_ID: 981643	Protein518	
Complex273	thioester-C1010-Q1013-C4B-derived C4b	extracellular region	Reactome DB_ID: 981722	Protein519	
Complex273	thioester-C1010-Q1013-C4B-derived C4b	extracellular region	Reactome DB_ID: 981722	Protein517	
Complex273	thioester-C1010-Q1013-C4B-derived C4b	extracellular region	Reactome DB_ID: 981722	Protein515	
Complex274	Cell surface:C4b	plasma membrane	Reactome DB_ID: 981716	Complex275	
Complex274	Cell surface:C4b	plasma membrane	Reactome DB_ID: 981716	PhysicalEntity22	
Complex276	deamidated-Q1013-C4B-derived C4b	extracellular region	Reactome DB_ID: 2855048	Protein523	
Complex276	deamidated-Q1013-C4B-derived C4b	extracellular region	Reactome DB_ID: 2855048	Protein517	
Complex276	deamidated-Q1013-C4B-derived C4b	extracellular region	Reactome DB_ID: 2855048	Protein515	
Complex277	deamidated-Q1013-C4A-derived C4b	extracellular region	Reactome DB_ID: 2855050	Protein512	
Complex277	deamidated-Q1013-C4A-derived C4b	extracellular region	Reactome DB_ID: 2855050	Protein514	
Complex277	deamidated-Q1013-C4A-derived C4b	extracellular region	Reactome DB_ID: 2855050	Protein524	
Complex278	Cell surface:C4b:C2a	plasma membrane	Reactome DB_ID: 166784	Complex274	
Complex278	Cell surface:C4b:C2a	plasma membrane	Reactome DB_ID: 166784	Protein526	
Complex279	Complement factor 3	extracellular region	Reactome DB_ID: 166822	Protein528	
Complex279	Complement factor 3	extracellular region	Reactome DB_ID: 166822	Protein529	
Complex28	p-S,2T-IRAK4:oligo-MyD88:activated TLR5 or 10	plasma membrane	Reactome DB_ID: 975870	Complex25	
Complex28	p-S,2T-IRAK4:oligo-MyD88:activated TLR5 or 10	plasma membrane	Reactome DB_ID: 975870	Protein36	
Complex280	iC3	extracellular region	Reactome DB_ID: 182450	Protein530	
Complex280	iC3	extracellular region	Reactome DB_ID: 182450	Protein529	
Complex281	C3bB	extracellular region	Reactome DB_ID: 182529	Complex280	
Complex281	C3bB	extracellular region	Reactome DB_ID: 182529	Protein531	
Complex282	iC3Bb	extracellular region	Reactome DB_ID: 182451	Protein532	
Complex282	iC3Bb	extracellular region	Reactome DB_ID: 182451	Complex280	
Complex283	C3b	extracellular region	Reactome DB_ID: 166832	Protein538	
Complex283	C3b	extracellular region	Reactome DB_ID: 166832	Protein529	
Complex284	Cell surface:C3b	plasma membrane	Reactome DB_ID: 981542	Complex283	
Complex284	Cell surface:C3b	plasma membrane	Reactome DB_ID: 981542	PhysicalEntity22	
Complex285	Cell surface:C3b:CFB	plasma membrane	Reactome DB_ID: 173737	Complex284	
Complex285	Cell surface:C3b:CFB	plasma membrane	Reactome DB_ID: 173737	Protein531	
Complex286	Cell surface:C3b:Bb	plasma membrane	Reactome DB_ID: 173749	Protein539	
Complex286	Cell surface:C3b:Bb	plasma membrane	Reactome DB_ID: 173749	Complex283	
Complex286	Cell surface:C3b:Bb	plasma membrane	Reactome DB_ID: 173749	PhysicalEntity22	
Complex287	Cell surface:C3b:Bb:Properdin	plasma membrane	Reactome DB_ID: 173752	Protein539	
Complex287	Cell surface:C3b:Bb:Properdin	plasma membrane	Reactome DB_ID: 173752	Complex283	
Complex287	Cell surface:C3b:Bb:Properdin	plasma membrane	Reactome DB_ID: 173752	PhysicalEntity22	
Complex287	Cell surface:C3b:Bb:Properdin	plasma membrane	Reactome DB_ID: 173752	PhysicalEntity23	
Complex288	C3bBb3b	plasma membrane	Reactome DB_ID: 174554	Complex283	
Complex288	C3bBb3b	plasma membrane	Reactome DB_ID: 174554	Complex287	
Complex29	IRAK1 or IRAK2 :p-IRAK4:MyD88 oligomer:activated TLR5 or 10	plasma membrane	Reactome DB_ID: 975875	Protein40	
Complex29	IRAK1 or IRAK2 :p-IRAK4:MyD88 oligomer:activated TLR5 or 10	plasma membrane	Reactome DB_ID: 975875	Complex28	
Complex290	C4b:C2a:C3b	plasma membrane	Reactome DB_ID: 173635	Complex284	
Complex290	C4b:C2a:C3b	plasma membrane	Reactome DB_ID: 173635	Complex278	
Complex291	Complement factor 5	extracellular region	Reactome DB_ID: 173676	Protein541	
Complex291	Complement factor 5	extracellular region	Reactome DB_ID: 173676	Protein540	
Complex292	C5b	extracellular region	Reactome DB_ID: 173671	Protein541	
Complex292	C5b	extracellular region	Reactome DB_ID: 173671	Protein542	
Complex294	C5b:C6 complex	extracellular region	Reactome DB_ID: 173711	Complex292	
Complex294	C5b:C6 complex	extracellular region	Reactome DB_ID: 173711	Protein544	
Complex295	C5b:C6:C7 complex	extracellular region	Reactome DB_ID: 173708	Complex292	
Complex295	C5b:C6:C7 complex	extracellular region	Reactome DB_ID: 173708	Protein544	
Complex295	C5b:C6:C7 complex	extracellular region	Reactome DB_ID: 173708	Protein545	
Complex296	C5b:C6:C7 complex	plasma membrane	Reactome DB_ID: 173719	Complex292	
Complex296	C5b:C6:C7 complex	plasma membrane	Reactome DB_ID: 173719	Protein544	
Complex296	C5b:C6:C7 complex	plasma membrane	Reactome DB_ID: 173719	Protein545	
Complex297	C8	extracellular region	Reactome DB_ID: 173713	Protein546	
Complex297	C8	extracellular region	Reactome DB_ID: 173713	Protein547	
Complex297	C8	extracellular region	Reactome DB_ID: 173713	Protein548	
Complex298	C5b:C6:C7:C8 complex	plasma membrane	Reactome DB_ID: 173722	Complex292	
Complex298	C5b:C6:C7:C8 complex	plasma membrane	Reactome DB_ID: 173722	Complex297	
Complex298	C5b:C6:C7:C8 complex	plasma membrane	Reactome DB_ID: 173722	Protein544	
Complex298	C5b:C6:C7:C8 complex	plasma membrane	Reactome DB_ID: 173722	Protein545	
Complex299	Membrane Attack Complex	plasma membrane	Reactome DB_ID: 173728	Complex292	
Complex299	Membrane Attack Complex	plasma membrane	Reactome DB_ID: 173728	Complex297	
Complex299	Membrane Attack Complex	plasma membrane	Reactome DB_ID: 173728	Protein544	
Complex299	Membrane Attack Complex	plasma membrane	Reactome DB_ID: 173728	Protein545	
Complex299	Membrane Attack Complex	plasma membrane	Reactome DB_ID: 173728	Protein549	
Complex30	IRAK2:p-S,2T-IRAK4:oligo-MyD88:activated TLR5/10	plasma membrane	Reactome DB_ID: 975859	Protein42	
Complex30	IRAK2:p-S,2T-IRAK4:oligo-MyD88:activated TLR5/10	plasma membrane	Reactome DB_ID: 975859	Complex28	
Complex300	CFH:C3b	extracellular region	Reactome DB_ID: 976755	Complex283	
Complex300	CFH:C3b	extracellular region	Reactome DB_ID: 976755	Protein550	
Complex301	Host cell surface	plasma membrane	Reactome DB_ID: 1006146	SmallMolecule33	
Complex301	Host cell surface	plasma membrane	Reactome DB_ID: 1006146	PhysicalEntity22	
Complex301	Host cell surface	plasma membrane	Reactome DB_ID: 1006146	SmallMolecule42	
Complex302	CFH:Host cell surface	plasma membrane	Reactome DB_ID: 1006173	Complex301	
Complex302	CFH:Host cell surface	plasma membrane	Reactome DB_ID: 1006173	Protein550	
Complex303	Cell surface:FH,FHR3:C3b	plasma membrane	Reactome DB_ID: 977596	Complex284	
Complex303	Cell surface:FH,FHR3:C3b	plasma membrane	Reactome DB_ID: 977596	Protein551	
Complex304	Cell surface:CFH,FHR3:C3bBb	plasma membrane	Reactome DB_ID: 977373	Complex286	
Complex304	Cell surface:CFH,FHR3:C3bBb	plasma membrane	Reactome DB_ID: 977373	Protein551	
Complex305	CFI	extracellular region	Reactome DB_ID: 976749	Protein553	
Complex305	CFI	extracellular region	Reactome DB_ID: 976749	Protein554	
Complex306	CFI:CFH:C3b	extracellular region	Reactome DB_ID: 976770	Complex305	
Complex306	CFI:CFH:C3b	extracellular region	Reactome DB_ID: 976770	Complex300	
Complex307	iC3b	extracellular region	Reactome DB_ID: 976805	Protein556	
Complex307	iC3b	extracellular region	Reactome DB_ID: 976805	Protein529	
Complex307	iC3b	extracellular region	Reactome DB_ID: 976805	Protein555	
Complex308	CFI:CFH,FHR3:C3b	plasma membrane	Reactome DB_ID: 977365	Complex305	
Complex308	CFI:CFH,FHR3:C3b	plasma membrane	Reactome DB_ID: 977365	Complex303	
Complex309	iC3b	plasma membrane	Reactome DB_ID: 977380	Protein560	
Complex309	iC3b	plasma membrane	Reactome DB_ID: 977380	Protein559	
Complex309	iC3b	plasma membrane	Reactome DB_ID: 977380	Protein558	
Complex31	p-IRAK2:p-IRAK4:oligo-MyD88:activated TLR5 or 10	plasma membrane	Reactome DB_ID: 975867	Protein43	
Complex31	p-IRAK2:p-IRAK4:oligo-MyD88:activated TLR5 or 10	plasma membrane	Reactome DB_ID: 975867	Complex28	
Complex310	CR1:iC3b	plasma membrane	Reactome DB_ID: 3266508	Complex309	
Complex310	CR1:iC3b	plasma membrane	Reactome DB_ID: 3266508	Protein561	
Complex311	C3c	extracellular region	Reactome DB_ID: 3266497	Protein556	
Complex311	C3c	extracellular region	Reactome DB_ID: 3266497	Protein563	
Complex311	C3c	extracellular region	Reactome DB_ID: 3266497	Protein529	
Complex314	CR1:C3bBb	plasma membrane	Reactome DB_ID: 981686	Complex286	
Complex314	CR1:C3bBb	plasma membrane	Reactome DB_ID: 981686	Protein561	
Complex315	CR1:C4bC2a	plasma membrane	Reactome DB_ID: 981651	Protein561	
Complex315	CR1:C4bC2a	plasma membrane	Reactome DB_ID: 981651	Complex278	
Complex316	CR1:C4b	plasma membrane	Reactome DB_ID: 981675	Protein561	
Complex316	CR1:C4b	plasma membrane	Reactome DB_ID: 981675	Complex274	
Complex317	CR1:C3b	plasma membrane	Reactome DB_ID: 981635	Complex283	
Complex317	CR1:C3b	plasma membrane	Reactome DB_ID: 981635	Protein561	
Complex319	CD46:C3b	plasma membrane	Reactome DB_ID: 981623	Complex283	
Complex319	CD46:C3b	plasma membrane	Reactome DB_ID: 981623	Protein564	
Complex32	IRAK1:p-S,2T-IRAK4:oligo-MyD88:activated TLR5/10 	plasma membrane	Reactome DB_ID: 975868	Protein41	
Complex32	IRAK1:p-S,2T-IRAK4:oligo-MyD88:activated TLR5/10 	plasma membrane	Reactome DB_ID: 975868	Complex28	
Complex320	CD46:C4b	plasma membrane	Reactome DB_ID: 981669	Complex274	
Complex320	CD46:C4b	plasma membrane	Reactome DB_ID: 981669	Protein564	
Complex322	?FI:CD46, CR1:C4b, C3b complexes	plasma membrane	Reactome DB_ID: 977599	Complex305	
Complex322	?FI:CD46, CR1:C4b, C3b complexes	plasma membrane	Reactome DB_ID: 977599	Complex321	
Complex324	C4A-derived C4c	extracellular region	Reactome DB_ID: 981502	Protein570	
Complex324	C4A-derived C4c	extracellular region	Reactome DB_ID: 981502	Protein512	
Complex324	C4A-derived C4c	extracellular region	Reactome DB_ID: 981502	Protein514	
Complex324	C4A-derived C4c	extracellular region	Reactome DB_ID: 981502	Protein569	
Complex325	C4B-derived C4c	extracellular region	Reactome DB_ID: 981709	Protein517	
Complex325	C4B-derived C4c	extracellular region	Reactome DB_ID: 981709	Protein571	
Complex325	C4B-derived C4c	extracellular region	Reactome DB_ID: 981709	Protein515	
Complex325	C4B-derived C4c	extracellular region	Reactome DB_ID: 981709	Protein572	
Complex327	CD55:C3bBb	plasma membrane	Reactome DB_ID: 981652	Complex286	
Complex327	CD55:C3bBb	plasma membrane	Reactome DB_ID: 981652	Protein573	
Complex328	CD55:C4bC2a	plasma membrane	Reactome DB_ID: 981620	Protein573	
Complex328	CD55:C4bC2a	plasma membrane	Reactome DB_ID: 981620	Complex278	
Complex329	DAF:C3b	plasma membrane	Reactome DB_ID: 981684	Complex283	
Complex329	DAF:C3b	plasma membrane	Reactome DB_ID: 981684	Protein573	
Complex33	p-IRAK1:p-IRAK4:oligo-MyD88l:activated TLR5 or 10	plasma membrane	Reactome DB_ID: 975872	Protein44	
Complex33	p-IRAK1:p-IRAK4:oligo-MyD88l:activated TLR5 or 10	plasma membrane	Reactome DB_ID: 975872	Complex28	
Complex330	DAF:C4b	plasma membrane	Reactome DB_ID: 981639	Complex274	
Complex330	DAF:C4b	plasma membrane	Reactome DB_ID: 981639	Protein573	
Complex331	C4b-binding protein	plasma membrane	Reactome DB_ID: 981649	Protein574	
Complex331	C4b-binding protein	plasma membrane	Reactome DB_ID: 981649	Protein575	
Complex332	C4-binding protein:C4b	plasma membrane	Reactome DB_ID: 981642	Complex271	
Complex332	C4-binding protein:C4b	plasma membrane	Reactome DB_ID: 981642	Complex331	
Complex333	C4b-binding protein:Factor I	plasma membrane	Reactome DB_ID: 981633	Complex305	
Complex333	C4b-binding protein:Factor I	plasma membrane	Reactome DB_ID: 981633	Complex332	
Complex334	C4 binding protein:C4bC2a	plasma membrane	Reactome DB_ID: 981663	Complex331	
Complex334	C4 binding protein:C4bC2a	plasma membrane	Reactome DB_ID: 981663	Complex278	
Complex335	C4 binding protein:protein S	plasma membrane	Reactome DB_ID: 981655	Complex331	
Complex335	C4 binding protein:protein S	plasma membrane	Reactome DB_ID: 981655	Protein576	
Complex336	CD59:C5b-C9	plasma membrane	Reactome DB_ID: 2530426	Protein577	
Complex336	CD59:C5b-C9	plasma membrane	Reactome DB_ID: 2530426	Complex298	
Complex336	CD59:C5b-C9	plasma membrane	Reactome DB_ID: 2530426	Protein549	
Complex337	VTN:C5b:C6:C7	extracellular region	Reactome DB_ID: 2530437	Complex295	
Complex337	VTN:C5b:C6:C7	extracellular region	Reactome DB_ID: 2530437	Protein578	
Complex338	VTN:C5b:C6:C7:C8:C9	extracellular region	Reactome DB_ID: 2530442	Complex297	
Complex338	VTN:C5b:C6:C7:C8:C9	extracellular region	Reactome DB_ID: 2530442	Protein549	
Complex338	VTN:C5b:C6:C7:C8:C9	extracellular region	Reactome DB_ID: 2530442	Complex337	
Complex34	pp-IRAK1:p-IRAK4:oligo-MyD88 :activated TLR5 or 10 complex	plasma membrane	Reactome DB_ID: 975883	Protein45	
Complex34	pp-IRAK1:p-IRAK4:oligo-MyD88 :activated TLR5 or 10 complex	plasma membrane	Reactome DB_ID: 975883	Complex28	
Complex340	PAMP:NOD oligomer:RIP2	cytosol	Reactome DB_ID: 168409	Protein579	
Complex340	PAMP:NOD oligomer:RIP2	cytosol	Reactome DB_ID: 168409	Complex61	
Complex341	PAMP:NOD oligomer:RIP2:NEMO	cytosol	Reactome DB_ID: 688994	Complex340	
Complex341	PAMP:NOD oligomer:RIP2:NEMO	cytosol	Reactome DB_ID: 688994	Protein59	
Complex342	PAMP:NOD oligomer:RIP2:K63-pUb-K285-NEMO	cytosol	Reactome DB_ID: 741418	Complex343	
