Complex1	sSCF dimer	extracellular region	Reactome DB_ID: 1433307	Protein3	
Complex87	p-S-AKT:PDPK1:PIP3	plasma membrane	Reactome DB_ID: 2317313	Complex84	
Complex88	PTEN:Mg2+	cytosol	Reactome DB_ID: 199426	SmallMolecule10	
Complex88	PTEN:Mg2+	cytosol	Reactome DB_ID: 199426	Protein171	
Complex89	PHLPP (Mn2+ cofactor)	cytosol	Reactome DB_ID: 199450	SmallMolecule11	
Complex89	PHLPP (Mn2+ cofactor)	cytosol	Reactome DB_ID: 199450	Protein176	
Complex9	Activated FGFR:p-FRS2alpha:GRB2:GAB1:PI3K	plasma membrane	Reactome DB_ID: 1268234	Complex10	
Complex9	Activated FGFR:p-FRS2alpha:GRB2:GAB1:PI3K	plasma membrane	Reactome DB_ID: 1268234	Protein11	
Complex90	PDPK1:PIP2	plasma membrane	Reactome DB_ID: 2219520	Protein111	
Complex90	PDPK1:PIP2	plasma membrane	Reactome DB_ID: 2219520	SmallMolecule3	
Complex92	miR-26A Endonucleolytic RISC	cytosol	Reactome DB_ID: 2318744	Complex93	
Complex92	miR-26A Endonucleolytic RISC	cytosol	Reactome DB_ID: 2318744	Protein180	
Complex92	miR-26A Endonucleolytic RISC	cytosol	Reactome DB_ID: 2318744	Protein181	
Complex93	miR-26A Endonucleolytic Minimal RISC	cytosol	Reactome DB_ID: 2318741	Rna1	
Complex93	miR-26A Endonucleolytic Minimal RISC	cytosol	Reactome DB_ID: 2318741	Protein179	
Complex94	miR-26A Nonendonucleolytic RISC	cytosol	Reactome DB_ID: 2318738	Protein180	
Complex94	miR-26A Nonendonucleolytic RISC	cytosol	Reactome DB_ID: 2318738	Complex95	
Complex94	miR-26A Nonendonucleolytic RISC	cytosol	Reactome DB_ID: 2318738	Protein181	
Complex95	Argonaute1/3/4: miR-26A	cytosol	Reactome DB_ID: 2318739	Protein185	
Complex95	Argonaute1/3/4: miR-26A	cytosol	Reactome DB_ID: 2318739	Rna1	
Complex96	PTEN mRNA:miR-26A RISC	cytosol	Reactome DB_ID: 2318750	Complex91	
Complex96	PTEN mRNA:miR-26A RISC	cytosol	Reactome DB_ID: 2318750	Rna4	
Complex97	p-VAV1:PIP3	plasma membrane	Reactome DB_ID: 1433526	Protein190	
Complex97	p-VAV1:PIP3	plasma membrane	Reactome DB_ID: 1433526	SmallMolecule4	
Complex98	SFKs:p-KIT complex	plasma membrane	Reactome DB_ID: 205271	Complex4	
Complex98	SFKs:p-KIT complex	plasma membrane	Reactome DB_ID: 205271	Protein191	
Complex99	RAC1-GDP	cytosol	Reactome DB_ID: 445010	SmallMolecule13	
Complex99	RAC1-GDP	cytosol	Reactome DB_ID: 445010	Protein195	
