Complex1	dimerized CEL:bile salt complex	extracellular region	Reactome DB_ID: 192480	Complex2	
Complex185	cholesterol:StAR-related protein	cytosol	Reactome DB_ID: 196124	Protein387	
Complex185	cholesterol:StAR-related protein	cytosol	Reactome DB_ID: 196124	SmallMolecule19	
Complex186	cholesterol:STAR	mitochondrial intermembrane space	Reactome DB_ID: 196090	SmallMolecule380	
Complex186	cholesterol:STAR	mitochondrial intermembrane space	Reactome DB_ID: 196090	Protein391	
Complex188	HSD3B1 homodimer	endoplasmic reticulum membrane	Reactome DB_ID: 196351	Protein395	
Complex189	HSD3B2 homodimer	endoplasmic reticulum membrane	Reactome DB_ID: 196336	Protein396	
Complex19	spherical HDL:apoA-I:apoA-II:apoA-IV:apoC-II:apoC-III	extracellular region	Reactome DB_ID: 174769	Protein22	
Complex19	spherical HDL:apoA-I:apoA-II:apoA-IV:apoC-II:apoC-III	extracellular region	Reactome DB_ID: 174769	Protein18	
Complex19	spherical HDL:apoA-I:apoA-II:apoA-IV:apoC-II:apoC-III	extracellular region	Reactome DB_ID: 174769	Protein23	
Complex19	spherical HDL:apoA-I:apoA-II:apoA-IV:apoC-II:apoC-III	extracellular region	Reactome DB_ID: 174769	Protein19	
Complex19	spherical HDL:apoA-I:apoA-II:apoA-IV:apoC-II:apoC-III	extracellular region	Reactome DB_ID: 174769	Complex13	
Complex19	spherical HDL:apoA-I:apoA-II:apoA-IV:apoC-II:apoC-III	extracellular region	Reactome DB_ID: 174769	Protein20	
Complex190	HSD11B1 dimer	endoplasmic reticulum membrane	Reactome DB_ID: 193980	Protein402	
Complex191	Lutropin	extracellular region	Reactome DB_ID: 378969	Protein404	
Complex191	Lutropin	extracellular region	Reactome DB_ID: 378969	Protein403	
Complex192	HSD17B1 dimer	cytosol	Reactome DB_ID: 804966	Protein411	
Complex193	DBP:vitamin D3	extracellular region	Reactome DB_ID: 352339	SmallMolecule413	
Complex193	DBP:vitamin D3	extracellular region	Reactome DB_ID: 352339	Protein412	
Complex194	GC:CDL	extracellular region	Reactome DB_ID: 209892	SmallMolecule415	
Complex194	GC:CDL	extracellular region	Reactome DB_ID: 209892	Protein412	
Complex195	CUBN:GC:CDL	extracellular region	Reactome DB_ID: 350115	Complex194	
Complex195	CUBN:GC:CDL	extracellular region	Reactome DB_ID: 350115	Protein57	
Complex196	Cubilin:DBP:Calcidiol	cytosol	Reactome DB_ID: 350092	Complex197	
Complex196	Cubilin:DBP:Calcidiol	cytosol	Reactome DB_ID: 350092	Protein415	
Complex197	DBP:Calcidiol	cytosol	Reactome DB_ID: 350130	Protein414	
Complex197	DBP:Calcidiol	cytosol	Reactome DB_ID: 350130	SmallMolecule414	
Complex198	Cubilin:DBP:Calcidiol	lysosomal lumen	Reactome DB_ID: 350085	SmallMolecule416	
Complex198	Cubilin:DBP:Calcidiol	lysosomal lumen	Reactome DB_ID: 350085	Protein417	
Complex198	Cubilin:DBP:Calcidiol	lysosomal lumen	Reactome DB_ID: 350085	Protein418	
Complex199	PLA2G4A:Ca2+	cytosol	Reactome DB_ID: 1500626	Protein423	
Complex199	PLA2G4A:Ca2+	cytosol	Reactome DB_ID: 1500626	SmallMolecule420	
Complex2	CEL:bile salt complex	extracellular region	Reactome DB_ID: 192452	Protein1	
Complex2	CEL:bile salt complex	extracellular region	Reactome DB_ID: 192452	SmallMolecule5	
Complex20	chylomicron remnant:apoE complex	extracellular region	Reactome DB_ID: 174792	Complex18	
Complex20	chylomicron remnant:apoE complex	extracellular region	Reactome DB_ID: 174792	Protein24	
Complex200	PLA2G2A:Ca2+	endoplasmic reticulum membrane	Reactome DB_ID: 1500630	SmallMolecule421	
Complex200	PLA2G2A:Ca2+	endoplasmic reticulum membrane	Reactome DB_ID: 1500630	Protein427	
Complex202	PLA2G1B:Ca2+	extracellular region	Reactome DB_ID: 1602365	SmallMolecule430	
Complex202	PLA2G1B:Ca2+	extracellular region	Reactome DB_ID: 1602365	Protein433	
Complex203	PLA2G2A:Ca2+	extracellular region	Reactome DB_ID: 1602363	SmallMolecule430	
Complex203	PLA2G2A:Ca2+	extracellular region	Reactome DB_ID: 1602363	Protein434	
Complex204	PLA2G2D:Ca2+	extracellular region	Reactome DB_ID: 1602360	SmallMolecule430	
Complex204	PLA2G2D:Ca2+	extracellular region	Reactome DB_ID: 1602360	Protein435	
Complex205	PLA2G2E:Ca2+	extracellular region	Reactome DB_ID: 1602386	SmallMolecule430	
Complex205	PLA2G2E:Ca2+	extracellular region	Reactome DB_ID: 1602386	Protein436	
Complex206	PLA2G2F:Ca2+	extracellular region	Reactome DB_ID: 1602383	SmallMolecule430	
Complex206	PLA2G2F:Ca2+	extracellular region	Reactome DB_ID: 1602383	Protein437	
Complex207	PLA2G5:Ca2+	extracellular region	Reactome DB_ID: 1500668	SmallMolecule430	
Complex207	PLA2G5:Ca2+	extracellular region	Reactome DB_ID: 1500668	Protein438	
Complex208	PLA2G10:Ca2+	extracellular region	Reactome DB_ID: 1602425	SmallMolecule430	
Complex208	PLA2G10:Ca2+	extracellular region	Reactome DB_ID: 1602425	Protein439	
Complex209	PLA2G12A:Ca2+	extracellular region	Reactome DB_ID: 1602352	SmallMolecule430	
Complex209	PLA2G12A:Ca2+	extracellular region	Reactome DB_ID: 1602352	Protein440	
Complex21	chylomicron remnant:apoE:LDLR complex	plasma membrane	Reactome DB_ID: 174749	Protein30	
Complex21	chylomicron remnant:apoE:LDLR complex	plasma membrane	Reactome DB_ID: 174749	Complex22	
Complex210	MGLL dimer	endoplasmic reticulum membrane	Reactome DB_ID: 1500601	Protein444	
Complex211	CHKA:CHKA	cytosol	Reactome DB_ID: 1500612	Protein445	
Complex212	CHKB:CHKB	cytosol	Reactome DB_ID: 1500611	Protein446	
Complex213	CHKA:CHKB	cytosol	Reactome DB_ID: 1500617	Protein446	
Complex213	CHKA:CHKB	cytosol	Reactome DB_ID: 1500617	Protein445	
Complex214	PHOSPHO1:Mg2+	cytosol	Reactome DB_ID: 1500633	SmallMolecule246	
Complex214	PHOSPHO1:Mg2+	cytosol	Reactome DB_ID: 1500633	Protein449	
Complex215	PCYT2 dimer	endoplasmic reticulum membrane	Reactome DB_ID: 1500642	Protein450	
Complex217	LPIN1:Mg2+	endoplasmic reticulum membrane	Reactome DB_ID: 1500637	SmallMolecule439	
Complex217	LPIN1:Mg2+	endoplasmic reticulum membrane	Reactome DB_ID: 1500637	Protein127	
Complex218	LPIN2:Mg2+	endoplasmic reticulum membrane	Reactome DB_ID: 1500641	SmallMolecule439	
Complex218	LPIN2:Mg2+	endoplasmic reticulum membrane	Reactome DB_ID: 1500641	Protein128	
Complex219	LPIN3:Mg2+	endoplasmic reticulum membrane	Reactome DB_ID: 1500638	SmallMolecule439	
Complex219	LPIN3:Mg2+	endoplasmic reticulum membrane	Reactome DB_ID: 1500638	Protein129	
Complex22	chylomicron remnant:apoE complex	plasma membrane	Reactome DB_ID: 174659	Complex23	
Complex22	chylomicron remnant:apoE complex	plasma membrane	Reactome DB_ID: 174659	Protein32	
Complex221	CEPT1:Mg2+/Mn2+	endoplasmic reticulum membrane	Reactome DB_ID: 1500587	Protein451	
Complex221	CEPT1:Mg2+/Mn2+	endoplasmic reticulum membrane	Reactome DB_ID: 1500587	SmallMolecule442	
Complex222	EPT1:Mg2+/Mn2+	endoplasmic reticulum membrane	Reactome DB_ID: 1500584	Protein452	
Complex222	EPT1:Mg2+/Mn2+	endoplasmic reticulum membrane	Reactome DB_ID: 1500584	SmallMolecule442	
Complex223	PISD:Pyruvoyl	mitochondrial inner membrane	Reactome DB_ID: 1500656	Protein454	
Complex223	PISD:Pyruvoyl	mitochondrial inner membrane	Reactome DB_ID: 1500656	SmallMolecule447	
Complex223	PISD:Pyruvoyl	mitochondrial inner membrane	Reactome DB_ID: 1500656	Protein453	
Complex225	PLA2G3:Ca2+	extracellular region	Reactome DB_ID: 1602411	SmallMolecule430	
Complex225	PLA2G3:Ca2+	extracellular region	Reactome DB_ID: 1602411	Protein466	
Complex228	PCYT1A dimer	endoplasmic reticulum membrane	Reactome DB_ID: 1524108	Protein479	
Complex229	PCYT1B dimer	endoplasmic reticulum membrane	Reactome DB_ID: 1524111	Protein480	
Complex23	chylomicron remnant	plasma membrane	Reactome DB_ID: 174797	SmallMolecule1	
Complex23	chylomicron remnant	plasma membrane	Reactome DB_ID: 174797	Complex24	
Complex23	chylomicron remnant	plasma membrane	Reactome DB_ID: 174797	Protein32	
Complex23	chylomicron remnant	plasma membrane	Reactome DB_ID: 174797	SmallMolecule38	
Complex23	chylomicron remnant	plasma membrane	Reactome DB_ID: 174797	SmallMolecule39	
Complex230	CHPT1:Mg2+/Mn2+	Golgi membrane	Reactome DB_ID: 1500652	SmallMolecule463	
Complex230	CHPT1:Mg2+/Mn2+	Golgi membrane	Reactome DB_ID: 1500652	Protein481	
Complex231	PI:PITPNB	endoplasmic reticulum membrane	Reactome DB_ID: 1524117	SmallMolecule466	
Complex231	PI:PITPNB	endoplasmic reticulum membrane	Reactome DB_ID: 1524117	Protein482	
Complex232	PI:PITPNB	Golgi membrane	Reactome DB_ID: 1524150	SmallMolecule467	
Complex232	PI:PITPNB	Golgi membrane	Reactome DB_ID: 1524150	Protein483	
Complex233	PC:PITPNB	Golgi membrane	Reactome DB_ID: 1524122	SmallMolecule462	
Complex233	PC:PITPNB	Golgi membrane	Reactome DB_ID: 1524122	Protein483	
Complex234	PC:PITPNB	endoplasmic reticulum membrane	Reactome DB_ID: 1524110	SmallMolecule425	
Complex234	PC:PITPNB	endoplasmic reticulum membrane	Reactome DB_ID: 1524110	Protein482	
Complex235	CDS1:Mg2+	endoplasmic reticulum membrane	Reactome DB_ID: 1500651	SmallMolecule439	
Complex235	CDS1:Mg2+	endoplasmic reticulum membrane	Reactome DB_ID: 1500651	Protein490	
Complex236	CDIPT:Mg2+/Mn2+	endoplasmic reticulum membrane	Reactome DB_ID: 1500647	Protein491	
Complex236	CDIPT:Mg2+/Mn2+	endoplasmic reticulum membrane	Reactome DB_ID: 1500647	SmallMolecule442	
Complex237	HADH octamer	mitochondrial inner membrane	Reactome DB_ID: 1524100	Protein144	
Complex237	HADH octamer	mitochondrial inner membrane	Reactome DB_ID: 1524100	Protein143	
Complex238	PLA2G4A:Ca2+	mitochondrial inner membrane	Reactome DB_ID: 1524095	SmallMolecule508	
Complex238	PLA2G4A:Ca2+	mitochondrial inner membrane	Reactome DB_ID: 1524095	Protein511	
Complex24	ApoB-48:TG:PL complex	plasma membrane	Reactome DB_ID: 174666	SmallMolecule37	
Complex24	ApoB-48:TG:PL complex	plasma membrane	Reactome DB_ID: 174666	SmallMolecule38	
Complex24	ApoB-48:TG:PL complex	plasma membrane	Reactome DB_ID: 174666	Protein31	
Complex240	ARF1:GTP	Golgi membrane	Reactome DB_ID: 1806286	Protein518	
Complex240	ARF1:GTP	Golgi membrane	Reactome DB_ID: 1806286	SmallMolecule514	
Complex241	ARF3:GTP	Golgi membrane	Reactome DB_ID: 1806265	SmallMolecule514	
Complex241	ARF3:GTP	Golgi membrane	Reactome DB_ID: 1806265	Protein519	
Complex242	ARF1/3:GTP:PI4KB	Golgi membrane	Reactome DB_ID: 1806287	Complex239	
Complex242	ARF1/3:GTP:PI4KB	Golgi membrane	Reactome DB_ID: 1806287	Protein521	
Complex244	PIK3C3:Mn2+:PIK3R4:Mn2+	cytosol	Reactome DB_ID: 1806266	Complex246	
Complex244	PIK3C3:Mn2+:PIK3R4:Mn2+	cytosol	Reactome DB_ID: 1806266	Complex245	
Complex245	PIK3R4:Mn2+	cytosol	Reactome DB_ID: 1604644	Protein523	
Complex245	PIK3R4:Mn2+	cytosol	Reactome DB_ID: 1604644	SmallMolecule112	
Complex246	PIK3C3:Mn2+	cytosol	Reactome DB_ID: 1604673	Protein524	
Complex246	PIK3C3:Mn2+	cytosol	Reactome DB_ID: 1604673	SmallMolecule112	
Complex247	PIK3C2A:Ca2+/Mg2+	cytosol	Reactome DB_ID: 1604655	Protein525	
Complex247	PIK3C2A:Ca2+/Mg2+	cytosol	Reactome DB_ID: 1604655	SmallMolecule516	
Complex248	PIKFYVE:VAC14:FIG4	Golgi membrane	Reactome DB_ID: 1806269	Protein526	
Complex248	PIKFYVE:VAC14:FIG4	Golgi membrane	Reactome DB_ID: 1806269	Protein528	
Complex248	PIKFYVE:VAC14:FIG4	Golgi membrane	Reactome DB_ID: 1806269	Protein527	
Complex25	chylomicron remnant:apoE:LDLR complex	clathrin-coated endocytic vesicle membrane	Reactome DB_ID: 174816	Protein34	
Complex25	chylomicron remnant:apoE:LDLR complex	clathrin-coated endocytic vesicle membrane	Reactome DB_ID: 174816	Complex26	
Complex250	PIK3CA:PIK3R1	cytosol	Reactome DB_ID: 1806218	Protein545	
Complex250	PIK3CA:PIK3R1	cytosol	Reactome DB_ID: 1806218	Protein546	
Complex251	PIK3CA:PIK3R2	cytosol	Reactome DB_ID: 1806270	Protein545	
Complex251	PIK3CA:PIK3R2	cytosol	Reactome DB_ID: 1806270	Protein547	
Complex252	PIK3CA:PIK3R3	cytosol	Reactome DB_ID: 1806182	Protein545	
Complex252	PIK3CA:PIK3R3	cytosol	Reactome DB_ID: 1806182	Protein548	
Complex253	PIK3CB:PIK3R1	cytosol	Reactome DB_ID: 1806184	Protein546	
Complex253	PIK3CB:PIK3R1	cytosol	Reactome DB_ID: 1806184	Protein549	
Complex254	PIK3CB:PIK3R2	cytosol	Reactome DB_ID: 1806272	Protein547	
Complex254	PIK3CB:PIK3R2	cytosol	Reactome DB_ID: 1806272	Protein549	
Complex255	PIK3CB:PIK3R3	cytosol	Reactome DB_ID: 1806237	Protein548	
Complex255	PIK3CB:PIK3R3	cytosol	Reactome DB_ID: 1806237	Protein549	
Complex256	PIK3CD:PIK3R1	cytosol	Reactome DB_ID: 1806213	Protein546	
Complex256	PIK3CD:PIK3R1	cytosol	Reactome DB_ID: 1806213	Protein550	
Complex257	PIK3CD:PIK3R2	cytosol	Reactome DB_ID: 1806210	Protein547	
Complex257	PIK3CD:PIK3R2	cytosol	Reactome DB_ID: 1806210	Protein550	
Complex258	PIK3CD:PIK3R3	cytosol	Reactome DB_ID: 1806256	Protein548	
Complex258	PIK3CD:PIK3R3	cytosol	Reactome DB_ID: 1806256	Protein550	
Complex259	PIK3CG:PIK3R5	cytosol	Reactome DB_ID: 1806236	Protein552	
Complex259	PIK3CG:PIK3R5	cytosol	Reactome DB_ID: 1806236	Protein551	
Complex26	chylomicron remnant:apoE complex	clathrin-coated endocytic vesicle membrane	Reactome DB_ID: 174787	Protein36	
Complex26	chylomicron remnant:apoE complex	clathrin-coated endocytic vesicle membrane	Reactome DB_ID: 174787	Complex27	
Complex260	PIK3CG:PIK3R6	cytosol	Reactome DB_ID: 1806192	Protein553	
Complex260	PIK3CG:PIK3R6	cytosol	Reactome DB_ID: 1806192	Protein551	
Complex261	PTEN:Mg2+	cytosol	Reactome DB_ID: 199426	SmallMolecule246	
Complex261	PTEN:Mg2+	cytosol	Reactome DB_ID: 199426	Protein554	
Complex262	PIK3C2B:Ca2+/Mg2+/Mn2+	cytosol	Reactome DB_ID: 1604663	Protein558	
Complex262	PIK3C2B:Ca2+/Mg2+/Mn2+	cytosol	Reactome DB_ID: 1604663	SmallMolecule524	
Complex263	PIP4K2A:PIP4K2A	cytosol	Reactome DB_ID: 1806252	Protein559	
Complex264	PIP4K2A:PIP4K2B	cytosol	Reactome DB_ID: 1806183	Protein560	
Complex264	PIP4K2A:PIP4K2B	cytosol	Reactome DB_ID: 1806183	Protein559	
Complex265	PIP4K2B:PIP4K2B	cytosol	Reactome DB_ID: 1806168	Protein560	
Complex267	PIKFYVE:VAC14:FIG4	early endosome membrane	Reactome DB_ID: 1806169	Protein575	
Complex267	PIKFYVE:VAC14:FIG4	early endosome membrane	Reactome DB_ID: 1806169	Protein573	
Complex267	PIKFYVE:VAC14:FIG4	early endosome membrane	Reactome DB_ID: 1806169	Protein574	
Complex268	PIKFYVE:VAC14:FIG4	late endosome membrane	Reactome DB_ID: 1806187	Protein579	
Complex268	PIKFYVE:VAC14:FIG4	late endosome membrane	Reactome DB_ID: 1806187	Protein581	
Complex268	PIKFYVE:VAC14:FIG4	late endosome membrane	Reactome DB_ID: 1806187	Protein580	
Complex269	ACSL1	endoplasmic reticulum membrane	Reactome DB_ID: 2046075	SmallMolecule439	
Complex269	ACSL1	endoplasmic reticulum membrane	Reactome DB_ID: 2046075	Protein87	
Complex27	chylomicron remnant	clathrin-coated endocytic vesicle membrane	Reactome DB_ID: 174649	Protein36	
Complex27	chylomicron remnant	clathrin-coated endocytic vesicle membrane	Reactome DB_ID: 174649	SmallMolecule43	
Complex27	chylomicron remnant	clathrin-coated endocytic vesicle membrane	Reactome DB_ID: 174649	SmallMolecule42	
Complex27	chylomicron remnant	clathrin-coated endocytic vesicle membrane	Reactome DB_ID: 174649	SmallMolecule40	
Complex27	chylomicron remnant	clathrin-coated endocytic vesicle membrane	Reactome DB_ID: 174649	Complex28	
Complex270	Active PLA2:phosphatidylcholine	endoplasmic reticulum membrane	Reactome DB_ID: 111860	SmallMolecule420	
Complex270	Active PLA2:phosphatidylcholine	endoplasmic reticulum membrane	Reactome DB_ID: 111860	Protein587	
Complex270	Active PLA2:phosphatidylcholine	endoplasmic reticulum membrane	Reactome DB_ID: 111860	SmallMolecule425	
Complex271	PTGS2 dimer	endoplasmic reticulum membrane	Reactome DB_ID: 140491	SmallMolecule581	
Complex271	PTGS2 dimer	endoplasmic reticulum membrane	Reactome DB_ID: 140491	Protein588	
Complex272	PTGS2:celecoxib	endoplasmic reticulum membrane	Reactome DB_ID: 2309778	SmallMolecule582	
Complex272	PTGS2:celecoxib	endoplasmic reticulum membrane	Reactome DB_ID: 2309778	Complex271	
Complex273	COX1	endoplasmic reticulum membrane	Reactome DB_ID: 428986	Protein589	
Complex273	COX1	endoplasmic reticulum membrane	Reactome DB_ID: 428986	SmallMolecule581	
Complex274	Ac-PTGS1 dimer	endoplasmic reticulum membrane	Reactome DB_ID: 2314695	Protein589	
Complex274	Ac-PTGS1 dimer	endoplasmic reticulum membrane	Reactome DB_ID: 2314695	Protein590	
Complex274	Ac-PTGS1 dimer	endoplasmic reticulum membrane	Reactome DB_ID: 2314695	SmallMolecule581	
Complex275	Ac-PTGS2 dimer	endoplasmic reticulum membrane	Reactome DB_ID: 2314687	SmallMolecule581	
Complex275	Ac-PTGS2 dimer	endoplasmic reticulum membrane	Reactome DB_ID: 2314687	Protein588	
Complex275	Ac-PTGS2 dimer	endoplasmic reticulum membrane	Reactome DB_ID: 2314687	Protein591	
Complex276	PTGES trimer	endoplasmic reticulum membrane	Reactome DB_ID: 2142686	Protein593	
Complex276	PTGES trimer	endoplasmic reticulum membrane	Reactome DB_ID: 2142686	SmallMolecule594	
Complex277	HPGDS dimer	cytosol	Reactome DB_ID: 2142683	SmallMolecule601	
Complex277	HPGDS dimer	cytosol	Reactome DB_ID: 2142683	Protein597	
Complex278	HPGD dimer	cytosol	Reactome DB_ID: 2142778	Protein598	
Complex279	ALOX5:Ca2+:Fe2+	cytosol	Reactome DB_ID: 2237880	SmallMolecule420	
Complex279	ALOX5:Ca2+:Fe2+	cytosol	Reactome DB_ID: 2237880	Protein602	
Complex279	ALOX5:Ca2+:Fe2+	cytosol	Reactome DB_ID: 2237880	SmallMolecule363	
Complex28	ApoB-48:TG:PL complex	clathrin-coated endocytic vesicle membrane	Reactome DB_ID: 174746	Protein35	
Complex28	ApoB-48:TG:PL complex	clathrin-coated endocytic vesicle membrane	Reactome DB_ID: 174746	SmallMolecule40	
Complex28	ApoB-48:TG:PL complex	clathrin-coated endocytic vesicle membrane	Reactome DB_ID: 174746	SmallMolecule41	
Complex280	p-S272-ALOX5:Ca2+:Fe2+	cytosol	Reactome DB_ID: 265277	Protein603	
Complex280	p-S272-ALOX5:Ca2+:Fe2+	cytosol	Reactome DB_ID: 265277	SmallMolecule420	
Complex280	p-S272-ALOX5:Ca2+:Fe2+	cytosol	Reactome DB_ID: 265277	SmallMolecule363	
Complex281	ALOX5:FLAP:LTC4S	nuclear envelope	Reactome DB_ID: 2318764	Complex282	
Complex281	ALOX5:FLAP:LTC4S	nuclear envelope	Reactome DB_ID: 2318764	Complex284	
Complex281	ALOX5:FLAP:LTC4S	nuclear envelope	Reactome DB_ID: 2318764	Complex283	
Complex282	p-S272-ALOX5:Ca2+:Fe2+	nuclear envelope	Reactome DB_ID: 2318769	SmallMolecule625	
Complex282	p-S272-ALOX5:Ca2+:Fe2+	nuclear envelope	Reactome DB_ID: 2318769	Protein605	
Complex282	p-S272-ALOX5:Ca2+:Fe2+	nuclear envelope	Reactome DB_ID: 2318769	SmallMolecule624	
Complex283	LTC4S trimer	nuclear envelope	Reactome DB_ID: 2142729	Protein606	
Complex284	FLAP trimer	nuclear envelope	Reactome DB_ID: 2318770	Protein607	
Complex285	LTA4H:Zn2+	cytosol	Reactome DB_ID: 266038	SmallMolecule628	
Complex285	LTA4H:Zn2+	cytosol	Reactome DB_ID: 266038	Protein608	
Complex287	GGT1 dimer	plasma membrane	Reactome DB_ID: 1247898	Protein619	
Complex287	GGT1 dimer	plasma membrane	Reactome DB_ID: 1247898	Protein618	
Complex288	GGT5 dimer	plasma membrane	Reactome DB_ID: 265314	Protein621	
Complex288	GGT5 dimer	plasma membrane	Reactome DB_ID: 265314	Protein620	
Complex289	ALOX15:Fe2+	cytosol	Reactome DB_ID: 2142744	SmallMolecule363	
Complex289	ALOX15:Fe2+	cytosol	Reactome DB_ID: 2142744	Protein625	
Complex29	chylomicron remnant:apoE:LDLR complex	endosome membrane	Reactome DB_ID: 174658	Protein40	
Complex29	chylomicron remnant:apoE:LDLR complex	endosome membrane	Reactome DB_ID: 174658	Complex30	
Complex290	GPX1 tetramer	cytosol	Reactome DB_ID: 71674	Protein626	
Complex291	GPX2 tetramer	cytosol	Reactome DB_ID: 2142735	Protein628	
Complex293	ALOX15B:Fe2+	cytosol	Reactome DB_ID: 2142760	Protein629	
Complex293	ALOX15B:Fe2+	cytosol	Reactome DB_ID: 2142760	SmallMolecule363	
Complex294	ALOX12B:Fe2+	cytosol	Reactome DB_ID: 2142822	SmallMolecule363	
Complex294	ALOX12B:Fe2+	cytosol	Reactome DB_ID: 2142822	Protein630	
Complex296	ALOX12:Fe2+	cytosol	Reactome DB_ID: 2142793	Protein631	
Complex296	ALOX12:Fe2+	cytosol	Reactome DB_ID: 2142793	SmallMolecule363	
Complex297	EPHX2 dimer	cytosol	Reactome DB_ID: 2142777	SmallMolecule246	
Complex297	EPHX2 dimer	cytosol	Reactome DB_ID: 2142777	Protein644	
Complex298	CERT:PPM1L:VAPA/B trimer	endoplasmic reticulum membrane	Reactome DB_ID: 429672	Protein653	
Complex298	CERT:PPM1L:VAPA/B trimer	endoplasmic reticulum membrane	Reactome DB_ID: 429672	Complex299	
Complex299	PPM1L:VAPA/B dimer	endoplasmic reticulum membrane	Reactome DB_ID: 429703	Protein650	
Complex299	PPM1L:VAPA/B dimer	endoplasmic reticulum membrane	Reactome DB_ID: 429703	Protein649	
Complex3	PNLIP:CLPS	extracellular region	Reactome DB_ID: 192466	Protein2	
Complex3	PNLIP:CLPS	extracellular region	Reactome DB_ID: 192466	Protein3	
Complex30	chylomicron remnant:apoE complex	endosome membrane	Reactome DB_ID: 174698	Protein39	
Complex30	chylomicron remnant:apoE complex	endosome membrane	Reactome DB_ID: 174698	Complex31	
Complex300	ceramide:CERT:PPM1L:VAPA/B trimer	endoplasmic reticulum membrane	Reactome DB_ID: 429705	Complex301	
Complex300	ceramide:CERT:PPM1L:VAPA/B trimer	endoplasmic reticulum membrane	Reactome DB_ID: 429705	Complex299	
Complex301	ceramide:CERT	endoplasmic reticulum membrane	Reactome DB_ID: 429706	Protein653	
Complex301	ceramide:CERT	endoplasmic reticulum membrane	Reactome DB_ID: 429706	SmallMolecule695	
Complex302	multiphospho-CERT:PPM1L:VAPA/B trimer	endoplasmic reticulum membrane	Reactome DB_ID: 429726	Protein661	
Complex302	multiphospho-CERT:PPM1L:VAPA/B trimer	endoplasmic reticulum membrane	Reactome DB_ID: 429726	Complex299	
Complex304	SPTLC1:SPTLC2	endoplasmic reticulum membrane	Reactome DB_ID: 428140	Protein662	
Complex304	SPTLC1:SPTLC2	endoplasmic reticulum membrane	Reactome DB_ID: 428140	Protein663	
Complex305	SPTLC1:SPTLC3	endoplasmic reticulum membrane	Reactome DB_ID: 428177	Protein664	
Complex305	SPTLC1:SPTLC3	endoplasmic reticulum membrane	Reactome DB_ID: 428177	Protein662	
Complex306	GM2A:GM2	lysosomal lumen	Reactome DB_ID: 1605600	Protein689	
Complex306	GM2A:GM2	lysosomal lumen	Reactome DB_ID: 1605600	SmallMolecule721	
Complex308	HEXA	lysosomal lumen	Reactome DB_ID: 1605656	Protein692	
Complex308	HEXA	lysosomal lumen	Reactome DB_ID: 1605656	Protein690	
Complex308	HEXA	lysosomal lumen	Reactome DB_ID: 1605656	Protein691	
Complex309	bHEXB	lysosomal lumen	Reactome DB_ID: 1605749	Protein690	
Complex309	bHEXB	lysosomal lumen	Reactome DB_ID: 1605749	Protein691	
Complex31	chylomicron remnant	endosome membrane	Reactome DB_ID: 174795	Protein39	
Complex31	chylomicron remnant	endosome membrane	Reactome DB_ID: 174795	SmallMolecule47	
Complex31	chylomicron remnant	endosome membrane	Reactome DB_ID: 174795	SmallMolecule45	
Complex31	chylomicron remnant	endosome membrane	Reactome DB_ID: 174795	SmallMolecule46	
Complex31	chylomicron remnant	endosome membrane	Reactome DB_ID: 174795	Complex32	
Complex310	NEU1:GLB1:CTSA	lysosomal lumen	Reactome DB_ID: 1605684	Protein696	
Complex310	NEU1:GLB1:CTSA	lysosomal lumen	Reactome DB_ID: 1605684	Protein687	
Complex310	NEU1:GLB1:CTSA	lysosomal lumen	Reactome DB_ID: 1605684	Complex311	
Complex311	CTSA dimer	lysosomal lumen	Reactome DB_ID: 1605630	Protein694	
Complex311	CTSA dimer	lysosomal lumen	Reactome DB_ID: 1605630	Protein695	
Complex313	GLA dimer	lysosomal lumen	Reactome DB_ID: 1605744	Protein697	
Complex314	ARSA dimer	endoplasmic reticulum lumen	Reactome DB_ID: 1614339	Protein698	
Complex314	ARSA dimer	endoplasmic reticulum lumen	Reactome DB_ID: 1614339	Protein699	
Complex315	active ARSA:Ca2+	endoplasmic reticulum lumen	Reactome DB_ID: 1614355	Protein698	
Complex315	active ARSA:Ca2+	endoplasmic reticulum lumen	Reactome DB_ID: 1614355	SmallMolecule730	
Complex315	active ARSA:Ca2+	endoplasmic reticulum lumen	Reactome DB_ID: 1614355	Protein710	
Complex316	active ARSA:Ca2+	lysosomal lumen	Reactome DB_ID: 1606814	Protein723	
Complex316	active ARSA:Ca2+	lysosomal lumen	Reactome DB_ID: 1606814	Protein724	
Complex316	active ARSA:Ca2+	lysosomal lumen	Reactome DB_ID: 1606814	SmallMolecule731	
Complex317	SMPD2,3:Mg2+	plasma membrane	Reactome DB_ID: 1606266	SmallMolecule740	
Complex317	SMPD2,3:Mg2+	plasma membrane	Reactome DB_ID: 1606266	Protein727	
Complex318	SMPD4:Mg2+	endoplasmic reticulum membrane	Reactome DB_ID: 1606289	SmallMolecule439	
Complex318	SMPD4:Mg2+	endoplasmic reticulum membrane	Reactome DB_ID: 1606289	Protein730	
Complex319	GBA:SAPC	lysosomal membrane	Reactome DB_ID: 1605675	Protein731	
Complex319	GBA:SAPC	lysosomal membrane	Reactome DB_ID: 1605675	Protein732	
Complex32	ApoB-48:TG:PL complex	endosome membrane	Reactome DB_ID: 174799	Protein38	
Complex32	ApoB-48:TG:PL complex	endosome membrane	Reactome DB_ID: 174799	SmallMolecule45	
