Complex1	14-3-3zeta dimer	cytosol	Reactome DB_ID: 206751	Protein1	
Complex92	Talin:RIAM complex:ECM ligands: 2X(Integrin alphaIIb beta3:SRC)	plasma membrane	Reactome DB_ID: 377620	Complex82	
Complex92	Talin:RIAM complex:ECM ligands: 2X(Integrin alphaIIb beta3:SRC)	plasma membrane	Reactome DB_ID: 377620	Complex93	
Complex93	Integrin alphaIIb beta3:SRC	plasma membrane	Reactome DB_ID: 1215929	Protein9	
Complex93	Integrin alphaIIb beta3:SRC	plasma membrane	Reactome DB_ID: 1215929	Complex85	
Complex94	Talin:RIAM complex:ECM ligands:2X(Integrin alphaIIb beta3:Active (p-Y419)-SRC)	plasma membrane	Reactome DB_ID: 377622	SmallMolecule15	
Complex94	Talin:RIAM complex:ECM ligands:2X(Integrin alphaIIb beta3:Active (p-Y419)-SRC)	plasma membrane	Reactome DB_ID: 377622	PhysicalEntity2	
Complex94	Talin:RIAM complex:ECM ligands:2X(Integrin alphaIIb beta3:Active (p-Y419)-SRC)	plasma membrane	Reactome DB_ID: 377622	Complex82	
Complex94	Talin:RIAM complex:ECM ligands:2X(Integrin alphaIIb beta3:Active (p-Y419)-SRC)	plasma membrane	Reactome DB_ID: 377622	Complex95	
Complex95	Integrin alphaIIb beta3:Active (p-Y419)-SRC	plasma membrane	Reactome DB_ID: 377614	Complex85	
Complex95	Integrin alphaIIb beta3:Active (p-Y419)-SRC	plasma membrane	Reactome DB_ID: 377614	Protein10	
Complex96	Talin:RIAM complex: ECM ligands:Integrin alphaIIb beta3:Active (p-Y419)- SRC:PTK2	plasma membrane	Reactome DB_ID: 354103	Complex94	
Complex96	Talin:RIAM complex: ECM ligands:Integrin alphaIIb beta3:Active (p-Y419)- SRC:PTK2	plasma membrane	Reactome DB_ID: 354103	Protein147	
Complex97	Talin:RIAM complex:ECM ligands: alphaIIb beta3:Active (p-Y419)-SRC:p(Y397)-PTK2	plasma membrane	Reactome DB_ID: 354135	Protein148	
Complex97	Talin:RIAM complex:ECM ligands: alphaIIb beta3:Active (p-Y419)-SRC:p(Y397)-PTK2	plasma membrane	Reactome DB_ID: 354135	Complex94	
Complex98	Talin:RIAM complex:ECM ligands: Integrin alphaIIb beta3:Active (p-Y419)-SRC:p(Y397,407,576,577,861,925)-PTK2	plasma membrane	Reactome DB_ID: 354080	Protein149	
Complex98	Talin:RIAM complex:ECM ligands: Integrin alphaIIb beta3:Active (p-Y419)-SRC:p(Y397,407,576,577,861,925)-PTK2	plasma membrane	Reactome DB_ID: 354080	Complex94	
Complex99	GRB2 bound to pPTK2 in Focal adhesion	plasma membrane	Reactome DB_ID: 354113	Protein150	
Complex99	GRB2 bound to pPTK2 in Focal adhesion	plasma membrane	Reactome DB_ID: 354113	Complex98	
