Complex1	Connexin 36 Gap Junction Complex	plasma membrane	Reactome DB_ID: 375351	Complex2	
Complex26	Docked Glutamate Loaded Synaptic Vesicle	plasma membrane	Reactome DB_ID: 210458	Protein28	
Complex26	Docked Glutamate Loaded Synaptic Vesicle	plasma membrane	Reactome DB_ID: 210458	Protein27	
Complex27	Dopamine loaded synaptic vesicle	clathrin-sculpted monoamine transport vesicle membrane	Reactome DB_ID: 380575	Protein22	
Complex27	Dopamine loaded synaptic vesicle	clathrin-sculpted monoamine transport vesicle membrane	Reactome DB_ID: 380575	Protein23	
Complex27	Dopamine loaded synaptic vesicle	clathrin-sculpted monoamine transport vesicle membrane	Reactome DB_ID: 380575	Protein24	
Complex27	Dopamine loaded synaptic vesicle	clathrin-sculpted monoamine transport vesicle membrane	Reactome DB_ID: 380575	Protein20	
Complex27	Dopamine loaded synaptic vesicle	clathrin-sculpted monoamine transport vesicle membrane	Reactome DB_ID: 380575	SmallMolecule10	
Complex28	Docked dopamine loaded synaptic vesicle	plasma membrane	Reactome DB_ID: 380573	Complex16	
Complex28	Docked dopamine loaded synaptic vesicle	plasma membrane	Reactome DB_ID: 380573	Complex27	
Complex28	Docked dopamine loaded synaptic vesicle	plasma membrane	Reactome DB_ID: 380573	Protein25	
Complex28	Docked dopamine loaded synaptic vesicle	plasma membrane	Reactome DB_ID: 380573	Protein26	
Complex28	Docked dopamine loaded synaptic vesicle	plasma membrane	Reactome DB_ID: 380573	Protein28	
Complex28	Docked dopamine loaded synaptic vesicle	plasma membrane	Reactome DB_ID: 380573	Protein37	
Complex28	Docked dopamine loaded synaptic vesicle	plasma membrane	Reactome DB_ID: 380573	Protein27	
Complex29	 synaptic vesicle	cytosol	Reactome DB_ID: 210372	Protein56	
Complex29	 synaptic vesicle	cytosol	Reactome DB_ID: 210372	Protein57	
Complex29	 synaptic vesicle	cytosol	Reactome DB_ID: 210372	Protein58	
Complex29	 synaptic vesicle	cytosol	Reactome DB_ID: 210372	Protein59	
Complex3	Connexin 36/Connexin 45 Gap Junction Complex	plasma membrane	Reactome DB_ID: 375333	Complex2	
Complex3	Connexin 36/Connexin 45 Gap Junction Complex	plasma membrane	Reactome DB_ID: 375333	Complex4	
Complex30	Acetylcholine Loaded Synaptic Vesicle	cytosol	Reactome DB_ID: 264786	SmallMolecule41	
Complex30	Acetylcholine Loaded Synaptic Vesicle	cytosol	Reactome DB_ID: 264786	Protein56	
Complex30	Acetylcholine Loaded Synaptic Vesicle	cytosol	Reactome DB_ID: 264786	Protein57	
Complex30	Acetylcholine Loaded Synaptic Vesicle	cytosol	Reactome DB_ID: 264786	Protein58	
Complex30	Acetylcholine Loaded Synaptic Vesicle	cytosol	Reactome DB_ID: 264786	Protein59	
Complex31	Docked acetylcholine loaded Synaptic Vesicle	plasma membrane	Reactome DB_ID: 372534	Protein21	
Complex31	Docked acetylcholine loaded Synaptic Vesicle	plasma membrane	Reactome DB_ID: 372534	Protein25	
Complex31	Docked acetylcholine loaded Synaptic Vesicle	plasma membrane	Reactome DB_ID: 372534	Protein26	
Complex31	Docked acetylcholine loaded Synaptic Vesicle	plasma membrane	Reactome DB_ID: 372534	Complex30	
Complex31	Docked acetylcholine loaded Synaptic Vesicle	plasma membrane	Reactome DB_ID: 372534	Protein28	
Complex31	Docked acetylcholine loaded Synaptic Vesicle	plasma membrane	Reactome DB_ID: 372534	Protein27	
Complex33	Homodimer of GAD1	cytosol	Reactome DB_ID: 888570	Protein61	
Complex35	Homodimer of GAD2	clathrin-sculpted gamma-aminobutyric acid transport vesicle membrane	Reactome DB_ID: 888574	Protein62	
Complex36	Heterodimer of GAD1 and GAD2	clathrin-sculpted gamma-aminobutyric acid transport vesicle membrane	Reactome DB_ID: 888583	Protein61	
Complex36	Heterodimer of GAD1 and GAD2	clathrin-sculpted gamma-aminobutyric acid transport vesicle membrane	Reactome DB_ID: 888583	Protein62	
Complex37	Empty GABA synaptic vesicle	clathrin-sculpted gamma-aminobutyric acid transport vesicle	Reactome DB_ID: 888597	Protein63	
Complex37	Empty GABA synaptic vesicle	clathrin-sculpted gamma-aminobutyric acid transport vesicle	Reactome DB_ID: 888597	Protein64	
Complex37	Empty GABA synaptic vesicle	clathrin-sculpted gamma-aminobutyric acid transport vesicle	Reactome DB_ID: 888597	Protein65	
Complex37	Empty GABA synaptic vesicle	clathrin-sculpted gamma-aminobutyric acid transport vesicle	Reactome DB_ID: 888597	Protein66	
Complex37	Empty GABA synaptic vesicle	clathrin-sculpted gamma-aminobutyric acid transport vesicle	Reactome DB_ID: 888597	Protein67	
Complex37	Empty GABA synaptic vesicle	clathrin-sculpted gamma-aminobutyric acid transport vesicle	Reactome DB_ID: 888597	Complex34	
Complex37	Empty GABA synaptic vesicle	clathrin-sculpted gamma-aminobutyric acid transport vesicle	Reactome DB_ID: 888597	Protein68	
Complex38	GABA Loaded synaptic vesicle	clathrin-sculpted gamma-aminobutyric acid transport vesicle	Reactome DB_ID: 917748	Protein63	
Complex38	GABA Loaded synaptic vesicle	clathrin-sculpted gamma-aminobutyric acid transport vesicle	Reactome DB_ID: 917748	Protein64	
Complex38	GABA Loaded synaptic vesicle	clathrin-sculpted gamma-aminobutyric acid transport vesicle	Reactome DB_ID: 917748	SmallMolecule46	
Complex38	GABA Loaded synaptic vesicle	clathrin-sculpted gamma-aminobutyric acid transport vesicle	Reactome DB_ID: 917748	Protein65	
Complex38	GABA Loaded synaptic vesicle	clathrin-sculpted gamma-aminobutyric acid transport vesicle	Reactome DB_ID: 917748	Protein66	
Complex38	GABA Loaded synaptic vesicle	clathrin-sculpted gamma-aminobutyric acid transport vesicle	Reactome DB_ID: 917748	Protein67	
Complex38	GABA Loaded synaptic vesicle	clathrin-sculpted gamma-aminobutyric acid transport vesicle	Reactome DB_ID: 917748	Complex34	
Complex38	GABA Loaded synaptic vesicle	clathrin-sculpted gamma-aminobutyric acid transport vesicle	Reactome DB_ID: 917748	Protein68	
Complex39	Docked GABA loaded synaptic veiscle	plasma membrane	Reactome DB_ID: 917774	Protein21	
Complex39	Docked GABA loaded synaptic veiscle	plasma membrane	Reactome DB_ID: 917774	Protein25	
Complex39	Docked GABA loaded synaptic veiscle	plasma membrane	Reactome DB_ID: 917774	Protein26	
Complex39	Docked GABA loaded synaptic veiscle	plasma membrane	Reactome DB_ID: 917774	Protein28	
Complex39	Docked GABA loaded synaptic veiscle	plasma membrane	Reactome DB_ID: 917774	Protein27	
Complex39	Docked GABA loaded synaptic veiscle	plasma membrane	Reactome DB_ID: 917774	Complex38	
Complex4	Hemi-Connexin 45 Complex	plasma membrane	Reactome DB_ID: 375347	Protein2	
Complex41	Homodimer of GAD2	plasma membrane	Reactome DB_ID: 947480	Protein69	
Complex42	Heterodimer of GAD1 and GAD2	plasma membrane	Reactome DB_ID: 947478	Protein70	
Complex42	Heterodimer of GAD1 and GAD2	plasma membrane	Reactome DB_ID: 947478	Protein69	
Complex43	Homodimer of 4 aminobutyrate aminotransferase	mitochondrial matrix	Reactome DB_ID: 916847	Protein79	
Complex44	aldehyde dehydrogenase, mitochondrial, tetramer	mitochondrial matrix	Reactome DB_ID: 71721	Protein86	
Complex45	GLUL decamer	cytosol	Reactome DB_ID: 70604	Protein90	
Complex47	Acetylcholine Receptors alpha4(3)-beta2(2)	plasma membrane	Reactome DB_ID: 532625	Protein92	
Complex47	Acetylcholine Receptors alpha4(3)-beta2(2)	plasma membrane	Reactome DB_ID: 532625	Protein93	
Complex48	Acetylcholine Receptor (homomeric)	plasma membrane	Reactome DB_ID: 532595	Protein94	
Complex49	Acetylcholine receptor alpha3-beta2-aplha5	plasma membrane	Reactome DB_ID: 629584	Protein95	
Complex49	Acetylcholine receptor alpha3-beta2-aplha5	plasma membrane	Reactome DB_ID: 629584	Protein92	
Complex49	Acetylcholine receptor alpha3-beta2-aplha5	plasma membrane	Reactome DB_ID: 629584	Protein96	
Complex5	Connexin 62 Gap Junction Complex	plasma membrane	Reactome DB_ID: 375341	Complex6	
Complex50	Acetylcholine receptor alpha3-beta4-apha5	plasma membrane	Reactome DB_ID: 629582	Protein95	
Complex50	Acetylcholine receptor alpha3-beta4-apha5	plasma membrane	Reactome DB_ID: 629582	Protein97	
Complex50	Acetylcholine receptor alpha3-beta4-apha5	plasma membrane	Reactome DB_ID: 629582	Protein96	
Complex51	Acetylcholine receptor alpha6 beta3 beta4	plasma membrane	Reactome DB_ID: 549002	Protein98	
Complex51	Acetylcholine receptor alpha6 beta3 beta4	plasma membrane	Reactome DB_ID: 549002	Protein97	
Complex51	Acetylcholine receptor alpha6 beta3 beta4	plasma membrane	Reactome DB_ID: 549002	Protein99	
Complex52	Acetylcholine receptors alpha2(3)  beta3(2)	plasma membrane	Reactome DB_ID: 633846	Protein98	
Complex52	Acetylcholine receptors alpha2(3)  beta3(2)	plasma membrane	Reactome DB_ID: 633846	Protein100	
Complex53	acetylcholine receptor alpha6 aplha4 beta3	plasma membrane	Reactome DB_ID: 633773	Protein93	
Complex53	acetylcholine receptor alpha6 aplha4 beta3	plasma membrane	Reactome DB_ID: 633773	Protein98	
Complex53	acetylcholine receptor alpha6 aplha4 beta3	plasma membrane	Reactome DB_ID: 633773	Protein99	
Complex54	0-acteylcholine bound to calcium permeable nictonic acteylcholine receptor complex	plasma membrane	Reactome DB_ID: 629600	Complex46	
Complex54	0-acteylcholine bound to calcium permeable nictonic acteylcholine receptor complex	plasma membrane	Reactome DB_ID: 629600	SmallMolecule42	
Complex56	Acetylcholine Receptor alpha4(2)-beta2(3) subunits	plasma membrane	Reactome DB_ID: 532622	Protein92	
Complex56	Acetylcholine Receptor alpha4(2)-beta2(3) subunits	plasma membrane	Reactome DB_ID: 532622	Protein93	
Complex57	Acetylcholine receptor alpha3(2)-beta4(3)	plasma membrane	Reactome DB_ID: 629575	Protein97	
Complex57	Acetylcholine receptor alpha3(2)-beta4(3)	plasma membrane	Reactome DB_ID: 629575	Protein96	
Complex58	Acetylcholine receptor alpha3-beta4	plasma membrane	Reactome DB_ID: 532621	Protein101	
Complex58	Acetylcholine receptor alpha3-beta4	plasma membrane	Reactome DB_ID: 532621	Protein97	
Complex58	Acetylcholine receptor alpha3-beta4	plasma membrane	Reactome DB_ID: 532621	Protein96	
Complex59	O-Acetylcholine bound to Acetylcholine receptor	plasma membrane	Reactome DB_ID: 629590	Complex55	
Complex59	O-Acetylcholine bound to Acetylcholine receptor	plasma membrane	Reactome DB_ID: 629590	SmallMolecule42	
Complex6	Hemi-Connexin 62 Complex	plasma membrane	Reactome DB_ID: 375334	Protein3	
Complex61	Acetylcholine receptor containing alpha7 subunit	plasma membrane	Reactome DB_ID: 629577	Protein105	
Complex61	Acetylcholine receptor containing alpha7 subunit	plasma membrane	Reactome DB_ID: 629577	Protein106	
Complex62	O-acteylcholine bound to calcium permeable postsynaptic nicotinic acetylcholine receptors	plasma membrane	Reactome DB_ID: 629592	Complex60	
Complex62	O-acteylcholine bound to calcium permeable postsynaptic nicotinic acetylcholine receptors	plasma membrane	Reactome DB_ID: 629592	SmallMolecule76	
Complex63	TARP-PSD95-Mdm2	endocytic vesicle membrane	Reactome DB_ID: 416851	Protein111	
Complex63	TARP-PSD95-Mdm2	endocytic vesicle membrane	Reactome DB_ID: 416851	Protein112	
Complex63	TARP-PSD95-Mdm2	endocytic vesicle membrane	Reactome DB_ID: 416851	Protein113	
Complex65	AMPA receptors containing GluR1 (heteromers)	endocytic vesicle membrane	Reactome DB_ID: 416295	Protein119	
Complex65	AMPA receptors containing GluR1 (heteromers)	endocytic vesicle membrane	Reactome DB_ID: 416295	Protein122	
Complex66	AMPA receptors containing GluR1 (homomers)	endocytic vesicle membrane	Reactome DB_ID: 416304	Protein122	
Complex68	AMPA receptors containing GluR1 (heteromers)	plasma membrane	Reactome DB_ID: 399696	Protein124	
Complex68	AMPA receptors containing GluR1 (heteromers)	plasma membrane	Reactome DB_ID: 399696	Protein125	
Complex69	GluR1 receptors	plasma membrane	Reactome DB_ID: 399700	Protein124	
Complex7	Pannexin 1/Pannexin 2 Gap Junction Complex	plasma membrane	Reactome DB_ID: 375332	Complex8	
Complex7	Pannexin 1/Pannexin 2 Gap Junction Complex	plasma membrane	Reactome DB_ID: 375332	Complex9	
Complex70	TARP-PSD95-Mdm2	plasma membrane	Reactome DB_ID: 416329	Protein129	
Complex70	TARP-PSD95-Mdm2	plasma membrane	Reactome DB_ID: 416329	Protein130	
Complex70	TARP-PSD95-Mdm2	plasma membrane	Reactome DB_ID: 416329	Protein131	
Complex71	CaMKII	endocytic vesicle membrane	Reactome DB_ID: 417004	Protein136	
Complex71	CaMKII	endocytic vesicle membrane	Reactome DB_ID: 417004	Protein139	
Complex73	AMPA receptors containing GluR2 (heteromers)	endocytic vesicle membrane	Reactome DB_ID: 416312	Protein119	
Complex73	AMPA receptors containing GluR2 (heteromers)	endocytic vesicle membrane	Reactome DB_ID: 416312	Protein145	
Complex74	AMPA receptors containing GluR2 (homomers)	endocytic vesicle membrane	Reactome DB_ID: 416314	Protein145	
Complex75	AMPA receptors containing GluR1 and GluR2	endocytic vesicle membrane	Reactome DB_ID: 416309	Protein122	
Complex75	AMPA receptors containing GluR1 and GluR2	endocytic vesicle membrane	Reactome DB_ID: 416309	Protein145	
Complex76	AP2 complex	endocytic vesicle membrane	Reactome DB_ID: 416629	Protein146	
Complex76	AP2 complex	endocytic vesicle membrane	Reactome DB_ID: 416629	Protein147	
Complex76	AP2 complex	endocytic vesicle membrane	Reactome DB_ID: 416629	Protein148	
Complex76	AP2 complex	endocytic vesicle membrane	Reactome DB_ID: 416629	Protein149	
Complex78	AMPA receptors containing GluR2 (heteromers)	plasma membrane	Reactome DB_ID: 399704	Protein157	
Complex78	AMPA receptors containing GluR2 (heteromers)	plasma membrane	Reactome DB_ID: 399704	Protein125	
Complex79	AMPA receptors containing GluR1 and GluR2	plasma membrane	Reactome DB_ID: 399701	Protein157	
Complex79	AMPA receptors containing GluR1 and GluR2	plasma membrane	Reactome DB_ID: 399701	Protein124	
Complex8	Hemi-Pannexin 1 Complex	plasma membrane	Reactome DB_ID: 375349	Protein4	
Complex80	AMPA receptors containing GluR2 (homomers)	plasma membrane	Reactome DB_ID: 416289	Protein157	
Complex82	Activated PKC alpha	plasma membrane	Reactome DB_ID: 139828	SmallMolecule77	
Complex82	Activated PKC alpha	plasma membrane	Reactome DB_ID: 139828	SmallMolecule78	
Complex82	Activated PKC alpha	plasma membrane	Reactome DB_ID: 139828	Protein158	
Complex82	Activated PKC alpha	plasma membrane	Reactome DB_ID: 139828	SmallMolecule79	
Complex83	Activated PKC beta	plasma membrane	Reactome DB_ID: 139829	SmallMolecule77	
Complex83	Activated PKC beta	plasma membrane	Reactome DB_ID: 139829	SmallMolecule78	
Complex83	Activated PKC beta	plasma membrane	Reactome DB_ID: 139829	SmallMolecule79	
Complex83	Activated PKC beta	plasma membrane	Reactome DB_ID: 139829	Protein159	
Complex84	Activated PKC gamma	plasma membrane	Reactome DB_ID: 426343	SmallMolecule77	
Complex84	Activated PKC gamma	plasma membrane	Reactome DB_ID: 426343	SmallMolecule78	
Complex84	Activated PKC gamma	plasma membrane	Reactome DB_ID: 426343	Protein160	
Complex84	Activated PKC gamma	plasma membrane	Reactome DB_ID: 426343	SmallMolecule79	
Complex86	AMPA receptors (heteromers) with phopho GluR2	plasma membrane	Reactome DB_ID: 421004	Protein162	
Complex86	AMPA receptors (heteromers) with phopho GluR2	plasma membrane	Reactome DB_ID: 421004	Protein125	
Complex87	AMPA receptors with phopho GluR2 (homomers)	plasma membrane	Reactome DB_ID: 421010	Protein162	
Complex88	AMPA receptors containing GluR1 and Phospho GluR2	plasma membrane	Reactome DB_ID: 421002	Protein124	
Complex88	AMPA receptors containing GluR1 and Phospho GluR2	plasma membrane	Reactome DB_ID: 421002	Protein162	
Complex89	Ca permeable AMPA receptor ligand complex	plasma membrane	Reactome DB_ID: 420976	Complex67	
Complex89	Ca permeable AMPA receptor ligand complex	plasma membrane	Reactome DB_ID: 420976	SmallMolecule33	
Complex9	Hemi-Pannexin 2 Complex	plasma membrane	Reactome DB_ID: 375325	Protein5	
Complex90	Ca impermeable AMPA receptor ligand complex	plasma membrane	Reactome DB_ID: 420974	SmallMolecule33	
Complex90	Ca impermeable AMPA receptor ligand complex	plasma membrane	Reactome DB_ID: 420974	Complex77	
Complex91	NMDA receptor-Mg complex	plasma membrane	Reactome DB_ID: 438039	SmallMolecule80	
Complex91	NMDA receptor-Mg complex	plasma membrane	Reactome DB_ID: 438039	Complex92	
Complex92	NMDA receptor complex	plasma membrane	Reactome DB_ID: 419566	Complex93	
Complex92	NMDA receptor complex	plasma membrane	Reactome DB_ID: 419566	Protein170	
Complex92	NMDA receptor complex	plasma membrane	Reactome DB_ID: 419566	Protein171	
Complex92	NMDA receptor complex	plasma membrane	Reactome DB_ID: 419566	Complex95	
Complex93	NR2 interacting proteins	plasma membrane	Reactome DB_ID: 432793	Protein163	
Complex93	NR2 interacting proteins	plasma membrane	Reactome DB_ID: 432793	Complex94	
Complex93	NR2 interacting proteins	plasma membrane	Reactome DB_ID: 432793	Protein130	
Complex94	CaMKII	plasma membrane	Reactome DB_ID: 432792	Protein164	
Complex94	CaMKII	plasma membrane	Reactome DB_ID: 432792	Protein167	
Complex95	NR1 interacting proteins	plasma membrane	Reactome DB_ID: 432787	Protein176	
Complex95	NR1 interacting proteins	plasma membrane	Reactome DB_ID: 432787	Protein163	
Complex95	NR1 interacting proteins	plasma membrane	Reactome DB_ID: 432787	Protein177	
Complex95	NR1 interacting proteins	plasma membrane	Reactome DB_ID: 432787	Protein130	
Complex96	NMDA receptor ligand complex	plasma membrane	Reactome DB_ID: 432783	SmallMolecule82	
Complex96	NMDA receptor ligand complex	plasma membrane	Reactome DB_ID: 432783	Complex92	
Complex96	NMDA receptor ligand complex	plasma membrane	Reactome DB_ID: 432783	SmallMolecule33	
Complex97	RasGRF	plasma membrane	Reactome DB_ID: 442734	Protein178	
Complex97	RasGRF	plasma membrane	Reactome DB_ID: 442734	Protein179	
Complex98	RasGRF:Ca/calmodulin	plasma membrane	Reactome DB_ID: 442735	Complex99	
Complex98	RasGRF:Ca/calmodulin	plasma membrane	Reactome DB_ID: 442735	Complex97	
Complex98	RasGRF:Ca/calmodulin	plasma membrane	Reactome DB_ID: 442735	Complex96	
Complex99	active Calmodulin	cytosol	Reactome DB_ID: 194447	SmallMolecule3	
Complex99	active Calmodulin	cytosol	Reactome DB_ID: 194447	Protein180	
