BiochemicalReaction1	HAS1,2,3 mediate the polymerisation of HA	SmallMolecule1	PhysicalEntity1	
BiochemicalReaction74	DS is cleaved from its proteoglycan	SmallMolecule2	SmallMolecule64	
BiochemicalReaction74	DS is cleaved from its proteoglycan	SmallMolecule2	Protein737	
BiochemicalReaction74	DS is cleaved from its proteoglycan	Protein721	Protein737	
BiochemicalReaction75	CS is cleaved from its proteoglycan	PhysicalEntity16	SmallMolecule65	
BiochemicalReaction75	CS is cleaved from its proteoglycan	SmallMolecule2	SmallMolecule65	
BiochemicalReaction75	CS is cleaved from its proteoglycan	SmallMolecule2	Protein737	
BiochemicalReaction75	CS is cleaved from its proteoglycan	PhysicalEntity16	Protein737	
BiochemicalReaction76	Arylsulfatase B (ARSB) hydrolyses sulfate groups from GalNAc 4-sulfate units of DS	SmallMolecule64	SmallMolecule32	
BiochemicalReaction76	Arylsulfatase B (ARSB) hydrolyses sulfate groups from GalNAc 4-sulfate units of DS	SmallMolecule2	SmallMolecule32	
BiochemicalReaction76	Arylsulfatase B (ARSB) hydrolyses sulfate groups from GalNAc 4-sulfate units of DS	SmallMolecule2	SmallMolecule68	
BiochemicalReaction76	Arylsulfatase B (ARSB) hydrolyses sulfate groups from GalNAc 4-sulfate units of DS	SmallMolecule64	SmallMolecule68	
BiochemicalReaction77	Iduronate 2-sulfatase (IDS) hydrolyses sulfates from L-iduronate 2-sulfate units of dermatan sulfate	SmallMolecule68	SmallMolecule32	
BiochemicalReaction77	Iduronate 2-sulfatase (IDS) hydrolyses sulfates from L-iduronate 2-sulfate units of dermatan sulfate	SmallMolecule2	SmallMolecule32	
BiochemicalReaction77	Iduronate 2-sulfatase (IDS) hydrolyses sulfates from L-iduronate 2-sulfate units of dermatan sulfate	SmallMolecule2	SmallMolecule69	
BiochemicalReaction77	Iduronate 2-sulfatase (IDS) hydrolyses sulfates from L-iduronate 2-sulfate units of dermatan sulfate	SmallMolecule68	SmallMolecule69	
BiochemicalReaction78	HEXA,B cleaves the terminal GalNAc from DS	SmallMolecule2	SmallMolecule70	
BiochemicalReaction78	HEXA,B cleaves the terminal GalNAc from DS	SmallMolecule69	SmallMolecule70	
BiochemicalReaction78	HEXA,B cleaves the terminal GalNAc from DS	SmallMolecule69	SmallMolecule38	
BiochemicalReaction78	HEXA,B cleaves the terminal GalNAc from DS	SmallMolecule2	SmallMolecule38	
BiochemicalReaction79	Alpha-L-iduronidase (IDUA) hydrolyses the unsulfated alpha-L-iduronosidic linkage in DS	SmallMolecule2	SmallMolecule71	
BiochemicalReaction79	Alpha-L-iduronidase (IDUA) hydrolyses the unsulfated alpha-L-iduronosidic linkage in DS	SmallMolecule70	SmallMolecule71	
BiochemicalReaction79	Alpha-L-iduronidase (IDUA) hydrolyses the unsulfated alpha-L-iduronosidic linkage in DS	SmallMolecule70	SmallMolecule48	
BiochemicalReaction79	Alpha-L-iduronidase (IDUA) hydrolyses the unsulfated alpha-L-iduronosidic linkage in DS	SmallMolecule2	SmallMolecule48	
BiochemicalReaction8	Beta-glucuronidase (GUSB) hydrolyses glucuronate from HA tetrasaccharides	SmallMolecule2	PhysicalEntity6	
BiochemicalReaction8	Beta-glucuronidase (GUSB) hydrolyses glucuronate from HA tetrasaccharides	PhysicalEntity5	PhysicalEntity6	
BiochemicalReaction8	Beta-glucuronidase (GUSB) hydrolyses glucuronate from HA tetrasaccharides	PhysicalEntity5	SmallMolecule3	
BiochemicalReaction8	Beta-glucuronidase (GUSB) hydrolyses glucuronate from HA tetrasaccharides	SmallMolecule2	SmallMolecule3	
BiochemicalReaction80	Arylsulfatase B (ARSB) hydrolyses sulfate groups from GalNAc 4-sulfate units of CS	SmallMolecule65	SmallMolecule32	
BiochemicalReaction80	Arylsulfatase B (ARSB) hydrolyses sulfate groups from GalNAc 4-sulfate units of CS	SmallMolecule2	SmallMolecule32	
BiochemicalReaction80	Arylsulfatase B (ARSB) hydrolyses sulfate groups from GalNAc 4-sulfate units of CS	SmallMolecule2	SmallMolecule72	
BiochemicalReaction80	Arylsulfatase B (ARSB) hydrolyses sulfate groups from GalNAc 4-sulfate units of CS	SmallMolecule65	SmallMolecule72	
BiochemicalReaction81	Hyaluronidase 1 (HYAL1) hydrolyses 1-4 linkages between GalNAc and D-glucuronate residues in CS.	SmallMolecule2	SmallMolecule59	
BiochemicalReaction81	Hyaluronidase 1 (HYAL1) hydrolyses 1-4 linkages between GalNAc and D-glucuronate residues in CS.	SmallMolecule73	SmallMolecule59	
BiochemicalReaction9	HEXA,B cleave the terminal GalNAc from small HA fragments	PhysicalEntity6	SmallMolecule4	
BiochemicalReaction9	HEXA,B cleave the terminal GalNAc from small HA fragments	SmallMolecule2	SmallMolecule4	
BiochemicalReaction9	HEXA,B cleave the terminal GalNAc from small HA fragments	SmallMolecule2	SmallMolecule5	
BiochemicalReaction9	HEXA,B cleave the terminal GalNAc from small HA fragments	PhysicalEntity6	SmallMolecule5	
