Complex1	mature beta-NGF homodimer	extracellular region	Reactome DB_ID: 187031	Protein1	
Complex49	Phospho-MAP kinase p38 (Mg2+ cofactor)	cytosol	Reactome DB_ID: 170993	SmallMolecule6	
Complex5	Activated TrkA receptor complex	plasma membrane	Reactome DB_ID: 166540	Protein3	
Complex5	Activated TrkA receptor complex	plasma membrane	Reactome DB_ID: 166540	Complex3	
Complex50	RIT/RIN-GDP	plasma membrane	Reactome DB_ID: 187734	Protein76	
Complex50	RIT/RIN-GDP	plasma membrane	Reactome DB_ID: 187734	SmallMolecule5	
Complex51	Active TrkA receptor complex:RIT/RIN-GDP	plasma membrane	Reactome DB_ID: 187690	Complex50	
Complex51	Active TrkA receptor complex:RIT/RIN-GDP	plasma membrane	Reactome DB_ID: 187690	Complex5	
Complex52	Active Trk receptor complex:RIT/RIN-GTP	plasma membrane	Reactome DB_ID: 187701	Complex53	
Complex52	Active Trk receptor complex:RIT/RIN-GTP	plasma membrane	Reactome DB_ID: 187701	Complex5	
Complex53	RIT/RIN-GTP	plasma membrane	Reactome DB_ID: 187722	SmallMolecule4	
Complex53	RIT/RIN-GTP	plasma membrane	Reactome DB_ID: 187722	Protein76	
Complex54	B-RAF	cytosol	Reactome DB_ID: 189845	Protein79	
Complex54	B-RAF	cytosol	Reactome DB_ID: 189845	SmallMolecule7	
Complex55	Active Trk receptor complex:RIT/RIN-GTP:B-RAF	plasma membrane	Reactome DB_ID: 187750	Complex53	
Complex55	Active Trk receptor complex:RIT/RIN-GTP:B-RAF	plasma membrane	Reactome DB_ID: 187750	Complex54	
Complex55	Active Trk receptor complex:RIT/RIN-GTP:B-RAF	plasma membrane	Reactome DB_ID: 187750	Complex5	
Complex56	Active TrkA receptor:FRS2 complex	endosome	Reactome DB_ID: 190068	Protein80	
Complex56	Active TrkA receptor:FRS2 complex	endosome	Reactome DB_ID: 190068	Complex6	
Complex57	Active TrkA receptor:p-FRS2 complex	endosome	Reactome DB_ID: 190073	Protein81	
Complex57	Active TrkA receptor:p-FRS2 complex	endosome	Reactome DB_ID: 190073	Complex6	
Complex58	Active TrkA receptor:PLCG1 complex	plasma membrane	Reactome DB_ID: 167687	Complex5	
Complex58	Active TrkA receptor:PLCG1 complex	plasma membrane	Reactome DB_ID: 167687	Protein82	
Complex59	Active TrkA receptor:p-FRS2:CRKL complex	endosome	Reactome DB_ID: 190081	Protein81	
Complex59	Active TrkA receptor:p-FRS2:CRKL complex	endosome	Reactome DB_ID: 190081	Complex6	
Complex59	Active TrkA receptor:p-FRS2:CRKL complex	endosome	Reactome DB_ID: 190081	Protein83	
Complex6	Activated TrkA receptor complex	endosome	Reactome DB_ID: 190083	Complex7	
Complex6	Activated TrkA receptor complex	endosome	Reactome DB_ID: 190083	Protein5	
Complex60	Active TrkA receptor:Phospho-Frs2:CrkL:C3G complex	endosome	Reactome DB_ID: 190070	Protein84	
Complex60	Active TrkA receptor:Phospho-Frs2:CrkL:C3G complex	endosome	Reactome DB_ID: 190070	Complex6	
Complex60	Active TrkA receptor:Phospho-Frs2:CrkL:C3G complex	endosome	Reactome DB_ID: 190070	Protein81	
Complex60	Active TrkA receptor:Phospho-Frs2:CrkL:C3G complex	endosome	Reactome DB_ID: 190070	Protein83	
Complex61	Rap1-GDP	endosome	Reactome DB_ID: 190077	SmallMolecule10	
Complex61	Rap1-GDP	endosome	Reactome DB_ID: 190077	Protein85	
Complex62	Rap1-GTP	endosome	Reactome DB_ID: 190069	SmallMolecule11	
Complex62	Rap1-GTP	endosome	Reactome DB_ID: 190069	Protein85	
Complex63	B-Raf complex	endosome	Reactome DB_ID: 190075	Protein86	
Complex63	B-Raf complex	endosome	Reactome DB_ID: 190075	Protein87	
Complex63	B-Raf complex	endosome	Reactome DB_ID: 190075	SmallMolecule12	
Complex64	Rap1-GTP:B-Raf complex	endosome	Reactome DB_ID: 190082	Complex63	
Complex64	Rap1-GTP:B-Raf complex	endosome	Reactome DB_ID: 190082	SmallMolecule11	
Complex64	Rap1-GTP:B-Raf complex	endosome	Reactome DB_ID: 190082	Protein85	
Complex65	ARMS:Crk	cytosol	Reactome DB_ID: 169872	Protein88	
Complex65	ARMS:Crk	cytosol	Reactome DB_ID: 169872	Protein89	
Complex66	Active TrkA receptor:ARMS:Crk complex	plasma membrane	Reactome DB_ID: 169871	Complex65	
Complex66	Active TrkA receptor:ARMS:Crk complex	plasma membrane	Reactome DB_ID: 169871	Complex5	
Complex67	Active TrkA receptor:Phospho-ARMS:Crk complex	plasma membrane	Reactome DB_ID: 169865	Complex68	
Complex67	Active TrkA receptor:Phospho-ARMS:Crk complex	plasma membrane	Reactome DB_ID: 169865	Complex5	
Complex68	Phospho-ARMS:Crk	cytosol	Reactome DB_ID: 169854	Protein89	
Complex68	Phospho-ARMS:Crk	cytosol	Reactome DB_ID: 169854	Protein90	
Complex69	Active TrkA receptor:Phospho-ARMS:Crk:C3G complex	plasma membrane	Reactome DB_ID: 169857	Complex68	
Complex69	Active TrkA receptor:Phospho-ARMS:Crk:C3G complex	plasma membrane	Reactome DB_ID: 169857	Complex5	
Complex7	beta-NGF homodimer	endosome	Reactome DB_ID: 190067	Protein4	
Complex70	Rap1-GDP	cytosol	Reactome DB_ID: 169860	SmallMolecule5	
Complex70	Rap1-GDP	cytosol	Reactome DB_ID: 169860	Protein91	
Complex71	Rap1-GTP	cytosol	Reactome DB_ID: 169866	SmallMolecule4	
Complex71	Rap1-GTP	cytosol	Reactome DB_ID: 169866	Protein91	
Complex72	B-Raf complex	cytosol	Reactome DB_ID: 170966	Protein79	
Complex72	B-Raf complex	cytosol	Reactome DB_ID: 170966	Protein29	
Complex72	B-Raf complex	cytosol	Reactome DB_ID: 170966	SmallMolecule7	
Complex73	Active TrkA:Phospho-ARMS:Crk:C3G:Rap1-GTP complex	plasma membrane	Reactome DB_ID: 169874	Complex71	
Complex73	Active TrkA:Phospho-ARMS:Crk:C3G:Rap1-GTP complex	plasma membrane	Reactome DB_ID: 169874	Complex69	
Complex74	Active TrkA:Phospho-ARMS:Crk:C3G:Rap1:Phospho-B-Raf complex	plasma membrane	Reactome DB_ID: 169882	Complex75	
Complex74	Active TrkA:Phospho-ARMS:Crk:C3G:Rap1:Phospho-B-Raf complex	plasma membrane	Reactome DB_ID: 169882	Complex71	
Complex74	Active TrkA:Phospho-ARMS:Crk:C3G:Rap1:Phospho-B-Raf complex	plasma membrane	Reactome DB_ID: 169882	Complex69	
Complex75	Phospho-B-Raf	cytosol	Reactome DB_ID: 169877	Protein92	
Complex75	Phospho-B-Raf	cytosol	Reactome DB_ID: 169877	SmallMolecule7	
Complex76	Active TrkA receptor:Phospho-PLCG1 complex	plasma membrane	Reactome DB_ID: 167681	Protein93	
Complex76	Active TrkA receptor:Phospho-PLCG1 complex	plasma membrane	Reactome DB_ID: 167681	Complex5	
Complex77	IP3 receptor homotetramer	endoplasmic reticulum membrane	Reactome DB_ID: 169686	Protein100	
Complex78	IP3 receptor:IP3 complex	endoplasmic reticulum membrane	Reactome DB_ID: 169696	SmallMolecule15	
Complex78	IP3 receptor:IP3 complex	endoplasmic reticulum membrane	Reactome DB_ID: 169696	Complex77	
Complex79	Ca(4)CaM	cytosol	Reactome DB_ID: 74294	SmallMolecule18	
Complex79	Ca(4)CaM	cytosol	Reactome DB_ID: 74294	Protein104	
Complex8	Adenosine:Adenosine A2a receptor	Golgi membrane	Reactome DB_ID: 187653	Protein6	
Complex8	Adenosine:Adenosine A2a receptor	Golgi membrane	Reactome DB_ID: 187653	SmallMolecule3	
Complex80	Adenylate cyclase (Mg2+ cofactor)	plasma membrane	Reactome DB_ID: 170665	Protein105	
Complex80	Adenylate cyclase (Mg2+ cofactor)	plasma membrane	Reactome DB_ID: 170665	SmallMolecule21	
Complex81	active Calmodulin	cytosol	Reactome DB_ID: 194447	SmallMolecule18	
Complex81	active Calmodulin	cytosol	Reactome DB_ID: 194447	Protein104	
Complex82	PKA tetramer	cytosol	Reactome DB_ID: 111922	Protein115	
Complex82	PKA tetramer	cytosol	Reactome DB_ID: 111922	Protein120	
Complex83	cAMP:PKA regulatory subunit	cytosol	Reactome DB_ID: 111923	Protein115	
Complex83	cAMP:PKA regulatory subunit	cytosol	Reactome DB_ID: 111923	SmallMolecule19	
Complex84	phospho-CREB dimer	nucleoplasm	Reactome DB_ID: 111911	Protein129	
Complex84	phospho-CREB dimer	nucleoplasm	Reactome DB_ID: 111911	PhysicalEntity4	
Complex85	Calmodulin:CaMK IV	cytosol	Reactome DB_ID: 111900	Protein130	
Complex85	Calmodulin:CaMK IV	cytosol	Reactome DB_ID: 111900	Complex79	
Complex86	Calmodulin:CaMK IV	nucleoplasm	Reactome DB_ID: 112281	Complex87	
Complex86	Calmodulin:CaMK IV	nucleoplasm	Reactome DB_ID: 112281	Protein132	
Complex87	Ca(4)CaM	nucleoplasm	Reactome DB_ID: 629658	SmallMolecule24	
Complex87	Ca(4)CaM	nucleoplasm	Reactome DB_ID: 629658	Protein131	
Complex88	phospho-CaMK IV:Calmodulin	nucleoplasm	Reactome DB_ID: 111904	Protein133	
Complex88	phospho-CaMK IV:Calmodulin	nucleoplasm	Reactome DB_ID: 111904	Complex89	
Complex89	active Calmodulin	nucleoplasm	Reactome DB_ID: 194846	SmallMolecule24	
Complex89	active Calmodulin	nucleoplasm	Reactome DB_ID: 194846	Protein131	
Complex9	PACAP:PACAP type 1 receptor	Golgi membrane	Reactome DB_ID: 187656	Protein13	
Complex9	PACAP:PACAP type 1 receptor	Golgi membrane	Reactome DB_ID: 187656	Protein14	
Complex91	Cam-PDE 1A homodimer	cytosol	Reactome DB_ID: 111974	Protein134	
Complex92	Cam-PDE 1B homodimer	cytosol	Reactome DB_ID: 111975	Protein135	
Complex93	Cam-PDE 1C homodimer	cytosol	Reactome DB_ID: 111976	Protein136	
Complex94	active Cam-PDE 1	cytosol	Reactome DB_ID: 111953	Complex90	
Complex95	GRK2:calmodulin	plasma membrane	Reactome DB_ID: 111965	Protein137	
Complex95	GRK2:calmodulin	plasma membrane	Reactome DB_ID: 111965	Protein104	
Complex96	active PKC (alpha, gamma, delta)	cytosol	Reactome DB_ID: 112002	Protein139	
Complex96	active PKC (alpha, gamma, delta)	cytosol	Reactome DB_ID: 112002	SmallMolecule18	
Complex97	Activated TrkA receptor:IRS1/2	plasma membrane	Reactome DB_ID: 198307	Protein3	
Complex97	Activated TrkA receptor:IRS1/2	plasma membrane	Reactome DB_ID: 198307	Complex3	
Complex97	Activated TrkA receptor:IRS1/2	plasma membrane	Reactome DB_ID: 198307	Protein142	
Complex98	Activated TrkA receptor:Phospho-IRS1/2	plasma membrane	Reactome DB_ID: 198299	Protein3	
Complex98	Activated TrkA receptor:Phospho-IRS1/2	plasma membrane	Reactome DB_ID: 198299	Protein145	
Complex98	Activated TrkA receptor:Phospho-IRS1/2	plasma membrane	Reactome DB_ID: 198299	Complex3	
Complex99	PI3K	cytosol	Reactome DB_ID: 74693	Protein148	
Complex99	PI3K	cytosol	Reactome DB_ID: 74693	Protein151	
