BiochemicalReaction1	Pro-EGF is cleaved to form mature EGF	Protein1	Protein2	
BiochemicalReaction233	Polyubiquitinated NRIF binds to p62 (Sequestosome)	Protein540	Complex318	
BiochemicalReaction233	Polyubiquitinated NRIF binds to p62 (Sequestosome)	Complex317	Complex318	
BiochemicalReaction234	Polyubiquitinated NRIF migrates to the nucleus	Complex318	Complex319	
BiochemicalReaction235	p75NTR binds to NADE	Protein558	Complex321	
BiochemicalReaction235	p75NTR binds to NADE	Complex306	Complex321	
BiochemicalReaction236	p75NTR:NADE promotes caspase2/3 activation	Protein559	Complex322	
BiochemicalReaction237	14-3-3epsilon attentuates NADE-related apoptosis	Complex321	Complex328	
BiochemicalReaction237	14-3-3epsilon attentuates NADE-related apoptosis	Complex327	Complex328	
BiochemicalReaction238	PRDM4 (SC1) binds to p75NTR	Protein567	Complex329	
BiochemicalReaction238	PRDM4 (SC1) binds to p75NTR	Complex306	Complex329	
BiochemicalReaction239	PRDM4 translocates to the nucleus	Protein567	Protein568	
BiochemicalReaction24	cAMP hydrolysis by Cam-PDE 1	SmallMolecule10	SmallMolecule16	
BiochemicalReaction24	cAMP hydrolysis by Cam-PDE 1	SmallMolecule5	SmallMolecule16	
BiochemicalReaction240	PRDM4 inhibits cyclin E transcription	Protein569	Complex330	
BiochemicalReaction240	PRDM4 inhibits cyclin E transcription	Protein568	Complex330	
BiochemicalReaction241	p75NTR interacts with RIP2	Protein573	Complex331	
BiochemicalReaction241	p75NTR interacts with RIP2	Complex306	Complex331	
BiochemicalReaction242	p75NTR interacts with IRAK:MYD88	Complex332	Complex334	
BiochemicalReaction242	p75NTR interacts with IRAK:MYD88	Complex306	Complex334	
BiochemicalReaction243	IRAK is activated	SmallMolecule2	Complex335	
BiochemicalReaction243	IRAK is activated	Complex334	Complex335	
BiochemicalReaction243	IRAK is activated	Complex334	SmallMolecule3	
BiochemicalReaction243	IRAK is activated	SmallMolecule2	SmallMolecule3	
BiochemicalReaction244	IRAK interacts with TRAF6	Protein533	Complex336	
BiochemicalReaction244	IRAK interacts with TRAF6	Complex335	Complex336	
BiochemicalReaction245	MYD88 dissociates	Complex336	Complex337	
BiochemicalReaction245	MYD88 dissociates	Complex336	Complex333	
BiochemicalReaction246	p62 is recruited and forms a complex with TRAF6	Protein540	Complex338	
BiochemicalReaction246	p62 is recruited and forms a complex with TRAF6	Complex337	Complex338	
BiochemicalReaction247	TRAF6 is auto-ubiquitinated	Complex338	Complex339	
BiochemicalReaction247	TRAF6 is auto-ubiquitinated	Protein281	Complex339	
BiochemicalReaction248	p62 recruits an atypical PKC	Protein579	Complex340	
BiochemicalReaction248	p62 recruits an atypical PKC	Complex338	Complex340	
BiochemicalReaction249	IKK-beta is recruited	Complex338	Complex342	
BiochemicalReaction249	IKK-beta is recruited	Complex341	Complex342	
BiochemicalReaction25	Inhibition of GRK2 by calmodulin	Protein56	Complex26	
BiochemicalReaction25	Inhibition of GRK2 by calmodulin	Protein23	Complex26	
BiochemicalReaction250	IKKbeta is activated	Complex342	Complex343	
BiochemicalReaction250	IKKbeta is activated	SmallMolecule2	Complex343	
BiochemicalReaction250	IKKbeta is activated	SmallMolecule2	SmallMolecule3	
BiochemicalReaction250	IKKbeta is activated	Complex342	SmallMolecule3	
BiochemicalReaction251	IKKbeta phosphorylates IkB causing NF-kB to dissociate	Complex345	Complex346	
BiochemicalReaction251	IKKbeta phosphorylates IkB causing NF-kB to dissociate	SmallMolecule2	Complex346	
BiochemicalReaction251	IKKbeta phosphorylates IkB causing NF-kB to dissociate	SmallMolecule2	Protein585	
BiochemicalReaction251	IKKbeta phosphorylates IkB causing NF-kB to dissociate	Complex345	Protein585	
BiochemicalReaction251	IKKbeta phosphorylates IkB causing NF-kB to dissociate	SmallMolecule2	SmallMolecule3	
BiochemicalReaction251	IKKbeta phosphorylates IkB causing NF-kB to dissociate	Complex345	SmallMolecule3	
BiochemicalReaction252	IkB is ubiquitinated and degraded	Protein585	Complex347	
BiochemicalReaction252	IkB is ubiquitinated and degraded	Protein281	Complex347	
BiochemicalReaction253	NF-kB migrates to the nucleus and turns on transcription	Complex346	Complex348	
BiochemicalReaction254	Sphingomyelinase is activated by the NGF:p75NTR complex	SmallMolecule12	Complex349	
BiochemicalReaction254	Sphingomyelinase is activated by the NGF:p75NTR complex	Protein588	Complex349	
BiochemicalReaction255	Production of ceramide which can activate JNK and other targets	SmallMolecule5	SmallMolecule31	
BiochemicalReaction255	Production of ceramide which can activate JNK and other targets	SmallMolecule30	SmallMolecule31	
BiochemicalReaction255	Production of ceramide which can activate JNK and other targets	SmallMolecule30	SmallMolecule32	
BiochemicalReaction255	Production of ceramide which can activate JNK and other targets	SmallMolecule5	SmallMolecule32	
BiochemicalReaction256	p75NTR and RHOA-GDI interact	Complex350	Complex352	
BiochemicalReaction256	p75NTR and RHOA-GDI interact	Protein486	Complex352	
BiochemicalReaction257	NGF binding to p75NTR inactivates RHOA	Complex352	Complex353	
BiochemicalReaction257	NGF binding to p75NTR inactivates RHOA	Complex303	Complex353	
BiochemicalReaction258	p75NTR interacts with the NOGO receptor	PhysicalEntity14	Complex354	
BiochemicalReaction258	p75NTR interacts with the NOGO receptor	Protein486	Complex354	
BiochemicalReaction259	p75NTR:NgR complex interacts with the axonal inhibitor LINGO1	Protein591	Complex355	
BiochemicalReaction259	p75NTR:NgR complex interacts with the axonal inhibitor LINGO1	Complex354	Complex355	
BiochemicalReaction26	PKC phosphorylates GRK2	Protein56	SmallMolecule3	
BiochemicalReaction26	PKC phosphorylates GRK2	SmallMolecule2	SmallMolecule3	
BiochemicalReaction26	PKC phosphorylates GRK2	SmallMolecule2	Protein57	
BiochemicalReaction26	PKC phosphorylates GRK2	Protein56	Protein57	
BiochemicalReaction260	Myelin components can interact with p75NTR:NgR:LINGO1	Protein592	Complex356	
BiochemicalReaction260	Myelin components can interact with p75NTR:NgR:LINGO1	Complex355	Complex356	
BiochemicalReaction261	The p75NTR:NgR:MDGI complex reduces RHOA-GDI activity, displacing RHOA	Complex357	Complex351	
BiochemicalReaction261	The p75NTR:NgR:MDGI complex reduces RHOA-GDI activity, displacing RHOA	Complex357	Complex358	
BiochemicalReaction262	RhoA is activated by nucleotide exchange and inhibits axonal growth	Complex351	Complex359	
BiochemicalReaction263	alpha-secretase cleaves the p75NTR extracellular domain	Protein486	Protein598	
BiochemicalReaction263	alpha-secretase cleaves the p75NTR extracellular domain	Protein486	Protein597	
BiochemicalReaction264	The p75NTR C-terminal fragment enters endosomes	Protein597	Protein599	
BiochemicalReaction265	gamma-secretase cleaves the p75NTR transmembrane domain	Protein597	Protein600	
BiochemicalReaction265	gamma-secretase cleaves the p75NTR transmembrane domain	Protein597	Protein601	
BiochemicalReaction266	p75NTR ICD signals to NF-kB	Protein533	Complex361	
BiochemicalReaction266	p75NTR ICD signals to NF-kB	Complex346	Complex361	
BiochemicalReaction266	p75NTR ICD signals to NF-kB	Protein601	Complex361	
BiochemicalReaction267	Part of the ICD migrates to the nucleus	Protein601	Protein602	
BiochemicalReaction268	beta-NGF dimer binds to TrkA receptor	Protein603	Complex362	
BiochemicalReaction268	beta-NGF dimer binds to TrkA receptor	Complex303	Complex362	
BiochemicalReaction269	The bound receptor dimerizes	Protein603	Complex364	
BiochemicalReaction269	The bound receptor dimerizes	Complex362	Complex364	
BiochemicalReaction27	GRB2 binds SOS1	Protein61	Complex28	
BiochemicalReaction27	GRB2 binds SOS1	Protein62	Complex28	
BiochemicalReaction270	TrkA receptor autophosphorylates	SmallMolecule2	Complex365	
BiochemicalReaction270	TrkA receptor autophosphorylates	Complex364	Complex365	
BiochemicalReaction270	TrkA receptor autophosphorylates	Complex364	SmallMolecule3	
BiochemicalReaction270	TrkA receptor autophosphorylates	SmallMolecule2	SmallMolecule3	
BiochemicalReaction271	Activated TrkA receptor internalizes to endosomes	Complex365	Complex366	
BiochemicalReaction272	TRKA activation by adenosine A2a receptor	Protein607	Protein611	
BiochemicalReaction272	TRKA activation by adenosine A2a receptor	Protein608	Protein611	
BiochemicalReaction272	TRKA activation by adenosine A2a receptor	SmallMolecule33	Protein611	
BiochemicalReaction272	TRKA activation by adenosine A2a receptor	SmallMolecule33	Complex368	
BiochemicalReaction272	TRKA activation by adenosine A2a receptor	Protein608	Complex368	
BiochemicalReaction272	TRKA activation by adenosine A2a receptor	Protein607	Complex368	
BiochemicalReaction273	TRKA activation by PACAP type 1 receptor	Protein608	Protein611	
BiochemicalReaction273	TRKA activation by PACAP type 1 receptor	Protein615	Protein611	
BiochemicalReaction273	TRKA activation by PACAP type 1 receptor	Protein614	Protein611	
BiochemicalReaction273	TRKA activation by PACAP type 1 receptor	Protein614	Complex369	
BiochemicalReaction273	TRKA activation by PACAP type 1 receptor	Protein615	Complex369	
BiochemicalReaction273	TRKA activation by PACAP type 1 receptor	Protein608	Complex369	
BiochemicalReaction274	SHC binds to the activated TrkA receptor	Complex365	Complex370	
BiochemicalReaction274	SHC binds to the activated TrkA receptor	Protein616	Complex370	
BiochemicalReaction275	SHC, complexed with TrkA, is tyrosine-phosphorylated	Complex370	Complex371	
BiochemicalReaction276	Phospho-Shc dissociates from the TrkA receptor	Complex371	Protein373	
BiochemicalReaction276	Phospho-Shc dissociates from the TrkA receptor	Complex371	Complex365	
BiochemicalReaction277	Ral-GDS binds to Ras-GTP	Protein619	Complex372	
BiochemicalReaction277	Ral-GDS binds to Ras-GTP	Complex31	Complex372	
BiochemicalReaction278	Guanine nucleotide exchange on RAL	Complex373	SmallMolecule18	
BiochemicalReaction278	Guanine nucleotide exchange on RAL	SmallMolecule17	SmallMolecule18	
BiochemicalReaction278	Guanine nucleotide exchange on RAL	SmallMolecule17	Complex376	
BiochemicalReaction278	Guanine nucleotide exchange on RAL	Complex373	Complex376	
BiochemicalReaction279	Activation of SRC by RAL-GTP	Protein10	Protein622	
BiochemicalReaction279	Activation of SRC by RAL-GTP	Complex376	Protein622	
BiochemicalReaction279	Activation of SRC by RAL-GTP	Complex376	Complex373	
BiochemicalReaction279	Activation of SRC by RAL-GTP	Protein10	Complex373	
BiochemicalReaction28	GRB2:SOS1 complex binds to EGF:EGFR complex	Complex4	Complex29	
BiochemicalReaction28	GRB2:SOS1 complex binds to EGF:EGFR complex	Complex28	Complex29	
BiochemicalReaction280	Binding and activation of MAP Kinase	SmallMolecule2	Complex380	
BiochemicalReaction280	Binding and activation of MAP Kinase	Complex379	Complex380	
BiochemicalReaction280	Binding and activation of MAP Kinase	Complex379	SmallMolecule3	
BiochemicalReaction280	Binding and activation of MAP Kinase	SmallMolecule2	SmallMolecule3	
BiochemicalReaction281	MAP kinase activates MAPKAPK2, MAPKAPK3 and MSK1	SmallMolecule2	Protein634	
BiochemicalReaction281	MAP kinase activates MAPKAPK2, MAPKAPK3 and MSK1	Protein631	Protein634	
BiochemicalReaction281	MAP kinase activates MAPKAPK2, MAPKAPK3 and MSK1	Protein631	SmallMolecule3	
BiochemicalReaction281	MAP kinase activates MAPKAPK2, MAPKAPK3 and MSK1	SmallMolecule2	SmallMolecule3	
BiochemicalReaction282	TRKA recruits RIT and RIN	Complex381	Complex382	
BiochemicalReaction282	TRKA recruits RIT and RIN	Complex365	Complex382	
BiochemicalReaction283	RIT/RIN are activated	Complex382	Complex383	
BiochemicalReaction283	RIT/RIN are activated	SmallMolecule17	Complex383	
BiochemicalReaction283	RIT/RIN are activated	SmallMolecule17	SmallMolecule18	
BiochemicalReaction283	RIT/RIN are activated	Complex382	SmallMolecule18	
BiochemicalReaction284	RIT/RIN-GTP binds B-RAF	Complex383	Complex386	
BiochemicalReaction284	RIT/RIN-GTP binds B-RAF	Complex385	Complex386	
BiochemicalReaction285	FRS2 binds to active TrkA receptor	Protein640	Complex387	
BiochemicalReaction285	FRS2 binds to active TrkA receptor	Complex366	Complex387	
BiochemicalReaction286	FRS2 is phosphorylated by active TrkA receptor	Complex387	Complex388	
BiochemicalReaction286	FRS2 is phosphorylated by active TrkA receptor	SmallMolecule35	Complex388	
BiochemicalReaction286	FRS2 is phosphorylated by active TrkA receptor	SmallMolecule35	SmallMolecule36	
BiochemicalReaction286	FRS2 is phosphorylated by active TrkA receptor	Complex387	SmallMolecule36	
BiochemicalReaction287	p-FRS2 binds CRKL	Protein642	Complex390	
BiochemicalReaction287	p-FRS2 binds CRKL	Complex388	Complex390	
BiochemicalReaction288	Phospho-Frs2:CrkL engages C3G	Protein643	Complex391	
BiochemicalReaction288	Phospho-Frs2:CrkL engages C3G	Complex390	Complex391	
BiochemicalReaction289	(Frs2)C3G stimulates nucleotide exchange on Rap1	Complex392	Complex393	
BiochemicalReaction289	(Frs2)C3G stimulates nucleotide exchange on Rap1	SmallMolecule38	Complex393	
BiochemicalReaction289	(Frs2)C3G stimulates nucleotide exchange on Rap1	SmallMolecule38	SmallMolecule37	
BiochemicalReaction289	(Frs2)C3G stimulates nucleotide exchange on Rap1	Complex392	SmallMolecule37	
BiochemicalReaction29	SOS1-mediated nucleotide exchange of RAS (EGF:EGFR:GRB2:SOS1)	SmallMolecule17	Complex31	
BiochemicalReaction29	SOS1-mediated nucleotide exchange of RAS (EGF:EGFR:GRB2:SOS1)	Complex30	Complex31	
BiochemicalReaction29	SOS1-mediated nucleotide exchange of RAS (EGF:EGFR:GRB2:SOS1)	Complex30	SmallMolecule18	
BiochemicalReaction29	SOS1-mediated nucleotide exchange of RAS (EGF:EGFR:GRB2:SOS1)	SmallMolecule17	SmallMolecule18	
BiochemicalReaction290	(Frs2)Rap1-GTP binds to and activates B-Raf	Complex394	Complex395	
BiochemicalReaction290	(Frs2)Rap1-GTP binds to and activates B-Raf	Complex393	Complex395	
BiochemicalReaction291	ARMS:Crk complex binds to active TrkA receptor	Complex365	Complex397	
BiochemicalReaction291	ARMS:Crk complex binds to active TrkA receptor	Complex396	Complex397	
BiochemicalReaction292	ARMS is phosphorylated by active TrkA receptor	SmallMolecule2	Complex398	
BiochemicalReaction292	ARMS is phosphorylated by active TrkA receptor	Complex397	Complex398	
BiochemicalReaction292	ARMS is phosphorylated by active TrkA receptor	Complex397	SmallMolecule3	
BiochemicalReaction292	ARMS is phosphorylated by active TrkA receptor	SmallMolecule2	SmallMolecule3	
BiochemicalReaction293	Crk's SH3 domain engages C3G	Complex398	Complex400	
BiochemicalReaction294	C3G stimulates nucleotide exchange on Rap1	Complex401	Complex402	
BiochemicalReaction294	C3G stimulates nucleotide exchange on Rap1	SmallMolecule17	Complex402	
BiochemicalReaction294	C3G stimulates nucleotide exchange on Rap1	SmallMolecule17	SmallMolecule18	
BiochemicalReaction294	C3G stimulates nucleotide exchange on Rap1	Complex401	SmallMolecule18	
BiochemicalReaction295	(ARMS)Rap1-GTP binds and activates B-Raf	Complex403	Protein67	
BiochemicalReaction295	(ARMS)Rap1-GTP binds and activates B-Raf	Complex404	Protein67	
BiochemicalReaction295	(ARMS)Rap1-GTP binds and activates B-Raf	Complex404	Complex405	
BiochemicalReaction295	(ARMS)Rap1-GTP binds and activates B-Raf	Complex403	Complex405	
BiochemicalReaction296	Binding of PLCG1 to active TrkA receptor	Protein342	Complex389	
BiochemicalReaction296	Binding of PLCG1 to active TrkA receptor	Complex365	Complex389	
BiochemicalReaction297	Active PLCG1 dissociates from TrkA receptor	Complex407	Protein12	
BiochemicalReaction297	Active PLCG1 dissociates from TrkA receptor	Complex407	Complex365	
BiochemicalReaction298	Active TRKA binds IRS1/2	Complex365	Complex408	
BiochemicalReaction298	Active TRKA binds IRS1/2	Protein651	Complex408	
BiochemicalReaction299	TRKA phosphorylates IRS	SmallMolecule2	Complex409	
BiochemicalReaction299	TRKA phosphorylates IRS	Complex408	Complex409	
BiochemicalReaction299	TRKA phosphorylates IRS	Complex408	SmallMolecule3	
BiochemicalReaction299	TRKA phosphorylates IRS	SmallMolecule2	SmallMolecule3	
BiochemicalReaction3	EGFR dimerization	Complex2	Complex3	
BiochemicalReaction30	p-RAF binds 14-3-3 beta/alpha	Protein67	Complex32	
BiochemicalReaction30	p-RAF binds 14-3-3 beta/alpha	Protein68	Complex32	
BiochemicalReaction300	Active IRS recruits PI3K to the plasma membrane and activates it	Complex102	Complex410	
BiochemicalReaction300	Active IRS recruits PI3K to the plasma membrane and activates it	Complex409	Complex410	
BiochemicalReaction301	PI3K produces PIP3 and other phosphatidyl inositides	SmallMolecule4	SmallMolecule19	
BiochemicalReaction301	PI3K produces PIP3 and other phosphatidyl inositides	SmallMolecule2	SmallMolecule19	
BiochemicalReaction301	PI3K produces PIP3 and other phosphatidyl inositides	SmallMolecule2	SmallMolecule3	
BiochemicalReaction301	PI3K produces PIP3 and other phosphatidyl inositides	SmallMolecule4	SmallMolecule3	
BiochemicalReaction302	PIP3 binds to RhoA and activates it	Protein589	Complex411	
BiochemicalReaction302	PIP3 binds to RhoA and activates it	SmallMolecule19	Complex411	
BiochemicalReaction303	STAT3 activation	Protein653	Protein654	
BiochemicalReaction303	STAT3 activation	SmallMolecule2	Protein654	
BiochemicalReaction303	STAT3 activation	SmallMolecule2	SmallMolecule3	
BiochemicalReaction303	STAT3 activation	Protein653	SmallMolecule3	
BiochemicalReaction304	ERK5 is activated	SmallMolecule2	Protein656	
BiochemicalReaction304	ERK5 is activated	Protein655	Protein656	
BiochemicalReaction304	ERK5 is activated	Protein655	SmallMolecule3	
BiochemicalReaction304	ERK5 is activated	SmallMolecule2	SmallMolecule3	
BiochemicalReaction305	ERK5 translocates to the nucleus	Protein656	Protein658	
BiochemicalReaction306	Formation of clathrin-coated vesicle	Complex365	Complex412	
BiochemicalReaction306	Formation of clathrin-coated vesicle	Complex189	Complex412	
BiochemicalReaction307	Endocytosis (internalization) of clathrin-coated vesicle	SmallMolecule5	SmallMolecule21	
BiochemicalReaction307	Endocytosis (internalization) of clathrin-coated vesicle	Complex412	SmallMolecule21	
BiochemicalReaction307	Endocytosis (internalization) of clathrin-coated vesicle	SmallMolecule17	SmallMolecule21	
BiochemicalReaction307	Endocytosis (internalization) of clathrin-coated vesicle	Protein659	SmallMolecule21	
BiochemicalReaction307	Endocytosis (internalization) of clathrin-coated vesicle	Protein659	Complex413	
BiochemicalReaction307	Endocytosis (internalization) of clathrin-coated vesicle	SmallMolecule17	Complex413	
BiochemicalReaction307	Endocytosis (internalization) of clathrin-coated vesicle	Complex412	Complex413	
BiochemicalReaction307	Endocytosis (internalization) of clathrin-coated vesicle	SmallMolecule5	Complex413	
BiochemicalReaction307	Endocytosis (internalization) of clathrin-coated vesicle	Protein659	SmallMolecule18	
BiochemicalReaction307	Endocytosis (internalization) of clathrin-coated vesicle	SmallMolecule17	SmallMolecule18	
BiochemicalReaction307	Endocytosis (internalization) of clathrin-coated vesicle	Complex412	SmallMolecule18	
BiochemicalReaction307	Endocytosis (internalization) of clathrin-coated vesicle	SmallMolecule5	SmallMolecule18	
BiochemicalReaction308	Axonal transport of NGF:Trk complexes	Complex413	Complex414	
BiochemicalReaction309	ERK1/2 activates ELK1	SmallMolecule13	Protein666	
BiochemicalReaction309	ERK1/2 activates ELK1	Protein665	Protein666	
BiochemicalReaction309	ERK1/2 activates ELK1	Protein665	SmallMolecule14	
BiochemicalReaction309	ERK1/2 activates ELK1	SmallMolecule13	SmallMolecule14	
BiochemicalReaction31	Transient dissociation of 14-3-3 upon Ras binding	Complex32	Complex33	
BiochemicalReaction31	Transient dissociation of 14-3-3 upon Ras binding	Complex31	Complex33	
BiochemicalReaction31	Transient dissociation of 14-3-3 upon Ras binding	Complex31	Protein67	
BiochemicalReaction31	Transient dissociation of 14-3-3 upon Ras binding	Complex32	Protein67	
BiochemicalReaction310	ERK1/2 phosphorylates MSK1	Protein667	Protein668	
BiochemicalReaction310	ERK1/2 phosphorylates MSK1	SmallMolecule13	Protein668	
BiochemicalReaction310	ERK1/2 phosphorylates MSK1	SmallMolecule13	SmallMolecule14	
BiochemicalReaction310	ERK1/2 phosphorylates MSK1	Protein667	SmallMolecule14	
BiochemicalReaction311	p38MAPK phosphorylates MSK1	Protein667	Protein668	
BiochemicalReaction311	p38MAPK phosphorylates MSK1	SmallMolecule13	Protein668	
BiochemicalReaction311	p38MAPK phosphorylates MSK1	SmallMolecule13	SmallMolecule14	
BiochemicalReaction311	p38MAPK phosphorylates MSK1	Protein667	SmallMolecule14	
BiochemicalReaction312	ERK1/2/5 activate RSK1/2/3	SmallMolecule13	Protein676	
BiochemicalReaction312	ERK1/2/5 activate RSK1/2/3	Protein672	Protein676	
BiochemicalReaction312	ERK1/2/5 activate RSK1/2/3	Protein672	SmallMolecule14	
BiochemicalReaction312	ERK1/2/5 activate RSK1/2/3	SmallMolecule13	SmallMolecule14	
BiochemicalReaction313	ERK5 activates the transcription factor MEF2	SmallMolecule13	Protein684	
BiochemicalReaction313	ERK5 activates the transcription factor MEF2	Protein681	Protein684	
BiochemicalReaction313	ERK5 activates the transcription factor MEF2	Protein681	SmallMolecule14	
BiochemicalReaction313	ERK5 activates the transcription factor MEF2	SmallMolecule13	SmallMolecule14	
BiochemicalReaction314	ERKs are inactivated by protein phosphatase 2A	SmallMolecule40	Protein687	
BiochemicalReaction314	ERKs are inactivated by protein phosphatase 2A	Protein680	Protein687	
BiochemicalReaction314	ERKs are inactivated by protein phosphatase 2A	Protein680	SmallMolecule41	
BiochemicalReaction314	ERKs are inactivated by protein phosphatase 2A	SmallMolecule40	SmallMolecule41	
BiochemicalReaction315	ERKs are inactivated by dual-specific phosphatases (DUSPs)	SmallMolecule40	Protein687	
BiochemicalReaction315	ERKs are inactivated by dual-specific phosphatases (DUSPs)	Protein680	Protein687	
BiochemicalReaction315	ERKs are inactivated by dual-specific phosphatases (DUSPs)	Protein680	SmallMolecule41	
BiochemicalReaction315	ERKs are inactivated by dual-specific phosphatases (DUSPs)	SmallMolecule40	SmallMolecule41	
BiochemicalReaction316	MSK1 activates CREB	Protein47	Protein48	
BiochemicalReaction316	MSK1 activates CREB	SmallMolecule13	Protein48	
BiochemicalReaction316	MSK1 activates CREB	SmallMolecule13	SmallMolecule14	
BiochemicalReaction316	MSK1 activates CREB	Protein47	SmallMolecule14	
BiochemicalReaction317	MSK1 activates ATF1	Protein703	Protein704	
BiochemicalReaction317	MSK1 activates ATF1	SmallMolecule13	Protein704	
BiochemicalReaction317	MSK1 activates ATF1	SmallMolecule13	SmallMolecule14	
BiochemicalReaction317	MSK1 activates ATF1	Protein703	SmallMolecule14	
BiochemicalReaction318	RSK1/2/3 phosphorylates CREB at Serine 133	Protein47	Protein48	
BiochemicalReaction318	RSK1/2/3 phosphorylates CREB at Serine 133	SmallMolecule13	Protein48	
BiochemicalReaction318	RSK1/2/3 phosphorylates CREB at Serine 133	SmallMolecule13	SmallMolecule14	
BiochemicalReaction318	RSK1/2/3 phosphorylates CREB at Serine 133	Protein47	SmallMolecule14	
BiochemicalReaction319	MAPKAPK2 phosphorylates CREB at Serine 133	Protein47	Protein48	
BiochemicalReaction319	MAPKAPK2 phosphorylates CREB at Serine 133	SmallMolecule13	Protein48	
BiochemicalReaction319	MAPKAPK2 phosphorylates CREB at Serine 133	SmallMolecule13	SmallMolecule14	
BiochemicalReaction319	MAPKAPK2 phosphorylates CREB at Serine 133	Protein47	SmallMolecule14	
BiochemicalReaction32	Stabilisation of RAS:RAF by 14-3-3	Complex33	Complex34	
BiochemicalReaction32	Stabilisation of RAS:RAF by 14-3-3	Protein67	Complex34	
BiochemicalReaction320	Translocation of PDGF from ER to Golgi	Complex417	Complex423	
BiochemicalReaction321	Processing of classical PDGFs	Complex429	Complex103	
BiochemicalReaction321	Processing of classical PDGFs	Complex429	Protein718	
BiochemicalReaction322	Release of novel PDGFs as latent factors	Complex430	Complex431	
BiochemicalReaction323	Extracellular processing of novel PDGFs	Complex431	Protein727	
BiochemicalReaction323	Extracellular processing of novel PDGFs	Complex431	Complex434	
BiochemicalReaction324	PDGF binds to extracellular matrix proteins	PhysicalEntity17	Complex443	
BiochemicalReaction324	PDGF binds to extracellular matrix proteins	Protein812	Complex443	
BiochemicalReaction325	PDGF dimer binds two receptors simultaneously	Protein813	Complex444	
BiochemicalReaction325	PDGF dimer binds two receptors simultaneously	Complex103	Complex444	
BiochemicalReaction326	Autophosphorylation of PDGF beta receptors	SmallMolecule2	Complex450	
BiochemicalReaction326	Autophosphorylation of PDGF beta receptors	Complex449	Complex450	
BiochemicalReaction326	Autophosphorylation of PDGF beta receptors	Complex449	SmallMolecule3	
BiochemicalReaction326	Autophosphorylation of PDGF beta receptors	SmallMolecule2	SmallMolecule3	
BiochemicalReaction327	Autophosphorylation of PDGF alpha receptors	SmallMolecule2	Complex452	
BiochemicalReaction327	Autophosphorylation of PDGF alpha receptors	Complex451	Complex452	
BiochemicalReaction327	Autophosphorylation of PDGF alpha receptors	Complex451	SmallMolecule3	
BiochemicalReaction327	Autophosphorylation of PDGF alpha receptors	SmallMolecule2	SmallMolecule3	
BiochemicalReaction328	Autophosphorylation of PDGF alpha/beta receptors	Complex453	Complex455	
BiochemicalReaction328	Autophosphorylation of PDGF alpha/beta receptors	SmallMolecule2	Complex455	
BiochemicalReaction328	Autophosphorylation of PDGF alpha/beta receptors	SmallMolecule2	SmallMolecule3	
BiochemicalReaction328	Autophosphorylation of PDGF alpha/beta receptors	Complex453	SmallMolecule3	
BiochemicalReaction329	PI3-kinase binds to the active receptor	Complex456	Complex97	
BiochemicalReaction329	PI3-kinase binds to the active receptor	Complex102	Complex97	
BiochemicalReaction33	Stabilisation of RAF by further phosphorylation	SmallMolecule2	Complex35	
BiochemicalReaction33	Stabilisation of RAF by further phosphorylation	Complex34	Complex35	
BiochemicalReaction33	Stabilisation of RAF by further phosphorylation	Complex34	SmallMolecule3	
BiochemicalReaction33	Stabilisation of RAF by further phosphorylation	SmallMolecule2	SmallMolecule3	
BiochemicalReaction330	PI3K catalyses the phosphorylation of PIP2 to PIP3	SmallMolecule4	SmallMolecule19	
BiochemicalReaction330	PI3K catalyses the phosphorylation of PIP2 to PIP3	SmallMolecule2	SmallMolecule19	
BiochemicalReaction330	PI3K catalyses the phosphorylation of PIP2 to PIP3	SmallMolecule2	SmallMolecule3	
BiochemicalReaction330	PI3K catalyses the phosphorylation of PIP2 to PIP3	SmallMolecule4	SmallMolecule3	
BiochemicalReaction331	PLC-gamma binds to the active receptor	Protein342	Complex457	
BiochemicalReaction331	PLC-gamma binds to the active receptor	Complex456	Complex457	
BiochemicalReaction332	Phosphorylation of PLCgamma by PDGFR	Complex457	Complex458	
BiochemicalReaction333	Activated PLC gamma dissociates from the PDGF receptor	Complex458	Complex456	
BiochemicalReaction333	Activated PLC gamma dissociates from the PDGF receptor	Complex458	Protein12	
BiochemicalReaction334	SH2 domain of Src binds to the active receptor	Complex456	Complex459	
BiochemicalReaction334	SH2 domain of Src binds to the active receptor	Protein10	Complex459	
BiochemicalReaction335	Activation of Src	SmallMolecule2	Complex460	
BiochemicalReaction335	Activation of Src	Complex459	Complex460	
BiochemicalReaction335	Activation of Src	Complex459	SmallMolecule3	
BiochemicalReaction335	Activation of Src	SmallMolecule2	SmallMolecule3	
BiochemicalReaction336	SHP2 binds to the active receptor	Complex456	Complex461	
BiochemicalReaction336	SHP2 binds to the active receptor	Protein272	Complex461	
BiochemicalReaction337	GAP binds to PDGF-beta receptors only	Protein816	Complex462	
BiochemicalReaction337	GAP binds to PDGF-beta receptors only	Complex450	Complex462	
BiochemicalReaction338	Grb2/Sos1 complex binds to the active receptor	Complex456	Complex463	
BiochemicalReaction338	Grb2/Sos1 complex binds to the active receptor	Complex28	Complex463	
BiochemicalReaction339	Sos-mediated nucleotide exchange of Ras (PDGF receptor:Grb2:Sos)	Complex30	Complex31	
BiochemicalReaction339	Sos-mediated nucleotide exchange of Ras (PDGF receptor:Grb2:Sos)	SmallMolecule17	Complex31	
