Complex1	DAP12 dimer	plasma membrane	Reactome DB_ID: 548940	Protein1	
Complex43	Klotho bound to FGF23	plasma membrane	Reactome DB_ID: 190208	Complex44	
Complex44	Klotho homodimer	plasma membrane	Reactome DB_ID: 190309	Complex45	
Complex46	Membrane-bound Klotho homodimer	plasma membrane	Reactome DB_ID: 190204	Protein55	
Complex47	Secreted Klotho homodimer	extracellular region	Reactome DB_ID: 190203	Protein56	
Complex49	Activated FGFR2b long homodimer 	plasma membrane	Reactome DB_ID: 190411	Protein57	
Complex49	Activated FGFR2b long homodimer 	plasma membrane	Reactome DB_ID: 190411	SmallMolecule5	
Complex49	Activated FGFR2b long homodimer 	plasma membrane	Reactome DB_ID: 190411	Protein59	
Complex5	KIR2DS2:HLA-C1 (Cw3)	plasma membrane	Reactome DB_ID: 2272718	Protein4	
Complex5	KIR2DS2:HLA-C1 (Cw3)	plasma membrane	Reactome DB_ID: 2272718	Complex6	
Complex50	Activated FGFR2b short homodimer bound to FGF	plasma membrane	Reactome DB_ID: 192597	Protein57	
Complex50	Activated FGFR2b short homodimer bound to FGF	plasma membrane	Reactome DB_ID: 192597	SmallMolecule5	
Complex50	Activated FGFR2b short homodimer bound to FGF	plasma membrane	Reactome DB_ID: 192597	Protein60	
Complex52	Activated FGFR2c long homodimer 	plasma membrane	Reactome DB_ID: 190418	Protein61	
Complex52	Activated FGFR2c long homodimer 	plasma membrane	Reactome DB_ID: 190418	SmallMolecule5	
Complex52	Activated FGFR2c long homodimer 	plasma membrane	Reactome DB_ID: 190418	Protein62	
Complex53	Activated FGFR2c short homodimer bound to FGF	plasma membrane	Reactome DB_ID: 192592	Protein65	
Complex53	Activated FGFR2c short homodimer bound to FGF	plasma membrane	Reactome DB_ID: 192592	SmallMolecule5	
Complex53	Activated FGFR2c short homodimer bound to FGF	plasma membrane	Reactome DB_ID: 192592	Protein62	
Complex54	Activated FGFR3b homodimer	plasma membrane	Reactome DB_ID: 190380	Protein66	
Complex54	Activated FGFR3b homodimer	plasma membrane	Reactome DB_ID: 190380	Protein67	
Complex54	Activated FGFR3b homodimer	plasma membrane	Reactome DB_ID: 190380	SmallMolecule5	
Complex55	Activated FGFR3c homodimer 	plasma membrane	Reactome DB_ID: 190389	Protein68	
Complex55	Activated FGFR3c homodimer 	plasma membrane	Reactome DB_ID: 190389	SmallMolecule5	
Complex55	Activated FGFR3c homodimer 	plasma membrane	Reactome DB_ID: 190389	Protein69	
Complex56	Activated FGFR4 homodimer	plasma membrane	Reactome DB_ID: 190328	Protein70	
Complex56	Activated FGFR4 homodimer	plasma membrane	Reactome DB_ID: 190328	SmallMolecule5	
Complex56	Activated FGFR4 homodimer	plasma membrane	Reactome DB_ID: 190328	Protein72	
Complex57	Activated FGFR4 bound to FGF19:BetaKlotho	plasma membrane	Reactome DB_ID: 1307958	Protein73	
Complex57	Activated FGFR4 bound to FGF19:BetaKlotho	plasma membrane	Reactome DB_ID: 1307958	Protein71	
Complex57	Activated FGFR4 bound to FGF19:BetaKlotho	plasma membrane	Reactome DB_ID: 1307958	Protein72	
Complex58	Activated FGFR:p-FRS2alpha:p-SHP2:GRB2:GAB1:PI3K	plasma membrane	Reactome DB_ID: 1268236	Complex59	
Complex58	Activated FGFR:p-FRS2alpha:p-SHP2:GRB2:GAB1:PI3K	plasma membrane	Reactome DB_ID: 1268236	Protein32	
Complex59	Activated FGFR:p-FRS2alpha:p-SHP2:GRB2:GAB1:PI3KR1	plasma membrane	Reactome DB_ID: 1315468	Complex60	
Complex59	Activated FGFR:p-FRS2alpha:p-SHP2:GRB2:GAB1:PI3KR1	plasma membrane	Reactome DB_ID: 1315468	Complex38	
Complex6	HLA-C Cw3 (group 1)	plasma membrane	Reactome DB_ID: 199562	Protein3	
Complex6	HLA-C Cw3 (group 1)	plasma membrane	Reactome DB_ID: 199562	Protein5	
Complex60	Activated FGFR:p-FRS2-alpha:p-SHP2	plasma membrane	Reactome DB_ID: 190361	Protein75	
Complex60	Activated FGFR:p-FRS2-alpha:p-SHP2	plasma membrane	Reactome DB_ID: 190361	Complex39	
Complex61	PI3K:p-KIT:sSCF dimer:p-KIT	plasma membrane	Reactome DB_ID: 205177	Complex62	
Complex61	PI3K:p-KIT:sSCF dimer:p-KIT	plasma membrane	Reactome DB_ID: 205177	Complex63	
Complex62	PI3K alpha	cytosol	Reactome DB_ID: 198379	Protein32	
Complex62	PI3K alpha	cytosol	Reactome DB_ID: 198379	Protein76	
Complex63	p-KIT complex	plasma membrane	Reactome DB_ID: 205310	Protein78	
Complex63	p-KIT complex	plasma membrane	Reactome DB_ID: 205310	Complex64	
Complex64	sSCF dimer	extracellular region	Reactome DB_ID: 1433307	Protein79	
Complex65	CD28:PI3K	plasma membrane	Reactome DB_ID: 388783	Complex62	
Complex65	CD28:PI3K	plasma membrane	Reactome DB_ID: 388783	Complex66	
Complex66	phospho CD28:B7-1/B7-2	plasma membrane	Reactome DB_ID: 388777	PhysicalEntity5	
Complex66	phospho CD28:B7-1/B7-2	plasma membrane	Reactome DB_ID: 388777	Complex68	
Complex66	phospho CD28:B7-1/B7-2	plasma membrane	Reactome DB_ID: 388777	Protein83	
Complex67	CD80 (B7-1) homodimer	plasma membrane	Reactome DB_ID: 179787	Protein80	
Complex68	Phospho CD28 homodimer	plasma membrane	Reactome DB_ID: 388778	Protein82	
Complex69	PDGF:Phospho-PDGF receptor dimer:PI3K	plasma membrane	Reactome DB_ID: 186789	Complex70	
Complex69	PDGF:Phospho-PDGF receptor dimer:PI3K	plasma membrane	Reactome DB_ID: 186789	Complex33	
Complex69	PDGF:Phospho-PDGF receptor dimer:PI3K	plasma membrane	Reactome DB_ID: 186789	Complex74	
Complex7	HLA-C1:KIR2DS2:DAP12 dimer:KIR2DS2:HLA-C1	plasma membrane	Reactome DB_ID: 210244	Complex1	
Complex7	HLA-C1:KIR2DS2:DAP12 dimer:KIR2DS2:HLA-C1	plasma membrane	Reactome DB_ID: 210244	Complex5	
Complex71	Phospho-alpha receptor homodimer	plasma membrane	Reactome DB_ID: 186816	Protein84	
Complex72	Phospho-alpha-Phospho-beta receptor heterodimer	plasma membrane	Reactome DB_ID: 186769	Protein85	
Complex72	Phospho-alpha-Phospho-beta receptor heterodimer	plasma membrane	Reactome DB_ID: 186769	Protein84	
Complex73	Phospho-beta receptor homodimer	plasma membrane	Reactome DB_ID: 186805	Protein85	
Complex75	PDGF A homodimer	extracellular region	Reactome DB_ID: 380761	Protein86	
Complex76	PDGF B homodimer	extracellular region	Reactome DB_ID: 184206	Protein89	
Complex77	PDGF A/B heterodimer	extracellular region	Reactome DB_ID: 380759	Protein90	
Complex77	PDGF A/B heterodimer	extracellular region	Reactome DB_ID: 380759	Protein88	
Complex78	PI3K bound to TRAT	plasma membrane	Reactome DB_ID: 202283	Complex33	
Complex78	PI3K bound to TRAT	plasma membrane	Reactome DB_ID: 202283	Protein92	
Complex79	Phospho-IRS1/2:PI3K(p85:p110)	plasma membrane	Reactome DB_ID: 198344	Complex33	
Complex79	Phospho-IRS1/2:PI3K(p85:p110)	plasma membrane	Reactome DB_ID: 198344	Protein93	
Complex8	KIR2DS4:HLA-C Cw4/HLA-C Cw3	plasma membrane	Reactome DB_ID: 2272706	Complex9	
Complex8	KIR2DS4:HLA-C Cw4/HLA-C Cw3	plasma membrane	Reactome DB_ID: 2272706	Protein6	
Complex80	PI3K:GRB2:GAB1:P-ERBB2:P-EGFR	plasma membrane	Reactome DB_ID: 1306961	Protein32	
Complex80	PI3K:GRB2:GAB1:P-ERBB2:P-EGFR	plasma membrane	Reactome DB_ID: 1306961	Complex81	
Complex81	PI3Kp85:GRB2:GAB1:P-ERBB2:P-EGFR	plasma membrane	Reactome DB_ID: 1306962	Protein96	
Complex81	PI3Kp85:GRB2:GAB1:P-ERBB2:P-EGFR	plasma membrane	Reactome DB_ID: 1306962	Complex82	
Complex82	EGF:p-EGFR:p-ERBB2:GRB2:GAB1	plasma membrane	Reactome DB_ID: 1306958	Complex83	
Complex82	EGF:p-EGFR:p-ERBB2:GRB2:GAB1	plasma membrane	Reactome DB_ID: 1306958	Complex87	
Complex84	EGF:p-6Y-EGFR:p-6Y-ERBB2	plasma membrane	Reactome DB_ID: 1963593	Protein97	
Complex84	EGF:p-6Y-EGFR:p-6Y-ERBB2	plasma membrane	Reactome DB_ID: 1963593	Complex85	
Complex85	EGF:p-6Y-EGFR	plasma membrane	Reactome DB_ID: 1248702	Protein98	
Complex85	EGF:p-6Y-EGFR	plasma membrane	Reactome DB_ID: 1248702	Protein99	
Complex86	EGF:p-6Y-EGFR:p-7Y-ERBB2	plasma membrane	Reactome DB_ID: 1248703	Protein100	
Complex86	EGF:p-6Y-EGFR:p-7Y-ERBB2	plasma membrane	Reactome DB_ID: 1248703	Complex85	
Complex87	GRB2:GAB1	cytosol	Reactome DB_ID: 179849	Protein37	
Complex87	GRB2:GAB1	cytosol	Reactome DB_ID: 179849	Protein38	
Complex88	NRG1/2:p-ERBB3:p-ERBB2:PI3K	plasma membrane	Reactome DB_ID: 1250508	Protein32	
Complex88	NRG1/2:p-ERBB3:p-ERBB2:PI3K	plasma membrane	Reactome DB_ID: 1250508	Complex89	
Complex89	NRG1/2:p-ERBB3:p-ERBB2:PIK3R1	plasma membrane	Reactome DB_ID: 1250191	Protein96	
Complex89	NRG1/2:p-ERBB3:p-ERBB2:PIK3R1	plasma membrane	Reactome DB_ID: 1250191	Complex90	
Complex91	NRG1/2:p-10Y-ERBB3:p-Y-ERBB2	plasma membrane	Reactome DB_ID: 1963583	Complex92	
Complex91	NRG1/2:p-10Y-ERBB3:p-Y-ERBB2	plasma membrane	Reactome DB_ID: 1963583	Protein106	
Complex92	NRG1/2:P-ERBB3	plasma membrane	Reactome DB_ID: 1248743	Protein101	
Complex92	NRG1/2:P-ERBB3	plasma membrane	Reactome DB_ID: 1248743	PhysicalEntity6	
Complex93	NRG1/2:p-10Y-ERBB3:p-Y,877-ERBB2	plasma membrane	Reactome DB_ID: 1248749	Complex92	
Complex93	NRG1/2:p-10Y-ERBB3:p-Y,877-ERBB2	plasma membrane	Reactome DB_ID: 1248749	Protein107	
Complex94	NRGs/EGFLs:p-ERBB4cyt1:p-ERBB2:PI3K	plasma membrane	Reactome DB_ID: 1306974	Protein32	
Complex94	NRGs/EGFLs:p-ERBB4cyt1:p-ERBB2:PI3K	plasma membrane	Reactome DB_ID: 1306974	Complex95	
Complex95	NRGs/EGFLs:p-ERBB4cyt1:p-ERBB2:PIK3R1	plasma membrane	Reactome DB_ID: 1306942	Complex96	
Complex95	NRGs/EGFLs:p-ERBB4cyt1:p-ERBB2:PIK3R1	plasma membrane	Reactome DB_ID: 1306942	Protein96	
Complex97	NRGs/EGFLs:p-ERBB4cyt1:p-6Y-ERBB2	plasma membrane	Reactome DB_ID: 1250316	Protein97	
Complex97	NRGs/EGFLs:p-ERBB4cyt1:p-6Y-ERBB2	plasma membrane	Reactome DB_ID: 1250316	Complex98	
Complex98	NRGs/EGF-like ligands:P-ERBB4cyt1	plasma membrane	Reactome DB_ID: 1250305	Protein108	
Complex98	NRGs/EGF-like ligands:P-ERBB4cyt1	plasma membrane	Reactome DB_ID: 1250305	PhysicalEntity7	
Complex99	NRGs/EGFLs:p-ERBB4cyt1:p-7Y-ERBB2	plasma membrane	Reactome DB_ID: 1963579	Protein100	
Complex99	NRGs/EGFLs:p-ERBB4cyt1:p-7Y-ERBB2	plasma membrane	Reactome DB_ID: 1963579	Complex98	
