Complex1	Apo-GP96 dimer	endoplasmic reticulum lumen	Reactome DB_ID: 1678941	Protein1	
Complex216	p-3S,3T-IRAK1:p-S,2T-IRAK4:oligo-MyD88:Mal:activated TLR	plasma membrane	Reactome DB_ID: 166360	Protein46	
Complex217	TRAF6:hp-IRAK1:p-IRAK4:oligo-MyD88 :Mal:activated TLR	plasma membrane	Reactome DB_ID: 937053	Complex216	
Complex217	TRAF6:hp-IRAK1:p-IRAK4:oligo-MyD88 :Mal:activated TLR	plasma membrane	Reactome DB_ID: 937053	Protein49	
Complex218	TRAF6:p-IRAK2 :p-IRAK4:oligo-MyD88 :Mal:activated TLR	plasma membrane	Reactome DB_ID: 2262774	Complex212	
Complex218	TRAF6:p-IRAK2 :p-IRAK4:oligo-MyD88 :Mal:activated TLR	plasma membrane	Reactome DB_ID: 2262774	Protein49	
Complex22	TLR5 homodimer:bacterial flagellin	plasma membrane	Reactome DB_ID: 188027	Protein31	
Complex22	TLR5 homodimer:bacterial flagellin	plasma membrane	Reactome DB_ID: 188027	Protein32	
Complex23	MyD88 complexed with the activated TLR5 or 10 receptor	plasma membrane	Reactome DB_ID: 975860	Complex24	
Complex23	MyD88 complexed with the activated TLR5 or 10 receptor	plasma membrane	Reactome DB_ID: 975860	Complex21	
Complex24	MYD88 homodimer	plasma membrane	Reactome DB_ID: 937078	Protein33	
Complex25	oligo-MyD88:activated TLR5 or 10	plasma membrane	Reactome DB_ID: 975864	Complex26	
Complex25	oligo-MyD88:activated TLR5 or 10	plasma membrane	Reactome DB_ID: 975864	Complex21	
Complex26	MyD88 oligomer	plasma membrane	Reactome DB_ID: 937013	Protein33	
Complex27	IRAK4:oligo-MyD88:activated TLR5 or 10	plasma membrane	Reactome DB_ID: 975876	Complex25	
Complex27	IRAK4:oligo-MyD88:activated TLR5 or 10	plasma membrane	Reactome DB_ID: 975876	Protein35	
Complex28	p-S,2T-IRAK4:oligo-MyD88:activated TLR5 or 10	plasma membrane	Reactome DB_ID: 975870	Complex25	
Complex28	p-S,2T-IRAK4:oligo-MyD88:activated TLR5 or 10	plasma membrane	Reactome DB_ID: 975870	Protein36	
Complex29	IRAK1 or IRAK2 :p-IRAK4:MyD88 oligomer:activated TLR5 or 10	plasma membrane	Reactome DB_ID: 975875	Protein40	
Complex29	IRAK1 or IRAK2 :p-IRAK4:MyD88 oligomer:activated TLR5 or 10	plasma membrane	Reactome DB_ID: 975875	Complex28	
Complex30	IRAK2:p-S,2T-IRAK4:oligo-MyD88:activated TLR5/10	plasma membrane	Reactome DB_ID: 975859	Complex28	
Complex30	IRAK2:p-S,2T-IRAK4:oligo-MyD88:activated TLR5/10	plasma membrane	Reactome DB_ID: 975859	Protein42	
Complex31	p-IRAK2:p-IRAK4:oligo-MyD88:activated TLR5 or 10	plasma membrane	Reactome DB_ID: 975867	Complex28	
Complex31	p-IRAK2:p-IRAK4:oligo-MyD88:activated TLR5 or 10	plasma membrane	Reactome DB_ID: 975867	Protein43	
Complex32	IRAK1:p-S,2T-IRAK4:oligo-MyD88:activated TLR5/10 	plasma membrane	Reactome DB_ID: 975868	Complex28	
Complex32	IRAK1:p-S,2T-IRAK4:oligo-MyD88:activated TLR5/10 	plasma membrane	Reactome DB_ID: 975868	Protein41	
Complex33	p-IRAK1:p-IRAK4:oligo-MyD88l:activated TLR5 or 10	plasma membrane	Reactome DB_ID: 975872	Protein44	
Complex33	p-IRAK1:p-IRAK4:oligo-MyD88l:activated TLR5 or 10	plasma membrane	Reactome DB_ID: 975872	Complex28	
Complex34	pp-IRAK1:p-IRAK4:oligo-MyD88 :activated TLR5 or 10 complex	plasma membrane	Reactome DB_ID: 975883	Complex28	
Complex34	pp-IRAK1:p-IRAK4:oligo-MyD88 :activated TLR5 or 10 complex	plasma membrane	Reactome DB_ID: 975883	Protein45	
Complex35	hp-IRAK1:activated IRAK4:MyD88oligomer:activated TLR5 or 10	plasma membrane	Reactome DB_ID: 975877	Protein46	
Complex35	hp-IRAK1:activated IRAK4:MyD88oligomer:activated TLR5 or 10	plasma membrane	Reactome DB_ID: 975877	Complex28	
Complex36	hp-IRAK1 or p-IRAK2 : pIRAK4:MyD88:activated TLR5/10	plasma membrane	Reactome DB_ID: 975881	Protein48	
Complex36	hp-IRAK1 or p-IRAK2 : pIRAK4:MyD88:activated TLR5/10	plasma membrane	Reactome DB_ID: 975881	Complex28	
Complex37	TRAF6:hp-IRAK1/or p-IRAK2:p-IRAK4:oligo-MyD88 :activated TLR5 or 10	plasma membrane	Reactome DB_ID: 975869	Protein49	
Complex37	TRAF6:hp-IRAK1/or p-IRAK2:p-IRAK4:oligo-MyD88 :activated TLR5 or 10	plasma membrane	Reactome DB_ID: 975869	Complex36	
Complex39	TRAF6:hp-IRAK1	plasma membrane	Reactome DB_ID: 937036	Protein46	
Complex39	TRAF6:hp-IRAK1	plasma membrane	Reactome DB_ID: 937036	Protein49	
Complex4	FL-TLR7 dimer	endoplasmic reticulum membrane	Reactome DB_ID: 1678995	Protein3	
Complex40	TRAF6:p-IRAK2	plasma membrane	Reactome DB_ID: 936961	Protein43	
Complex40	TRAF6:p-IRAK2	plasma membrane	Reactome DB_ID: 936961	Protein49	
Complex41	TRAF6:hp-IRAK1:Pellino	plasma membrane	Reactome DB_ID: 937020	Complex39	
Complex41	TRAF6:hp-IRAK1:Pellino	plasma membrane	Reactome DB_ID: 937020	Protein50	
Complex42	p-Pellino:hp-IRAK1:TRAF6	plasma membrane	Reactome DB_ID: 937040	Complex39	
Complex42	p-Pellino:hp-IRAK1:TRAF6	plasma membrane	Reactome DB_ID: 937040	Protein50	
Complex43	TRIKA1	cytosol	Reactome DB_ID: 202463	Protein54	
Complex43	TRIKA1	cytosol	Reactome DB_ID: 202463	Protein55	
Complex44	K63-linked polyUb p-IRAK1:TRAF6	cytosol	Reactome DB_ID: 937043	Protein47	
Complex44	K63-linked polyUb p-IRAK1:TRAF6	cytosol	Reactome DB_ID: 937043	Protein56	
Complex45	IKK complex	cytosol	Reactome DB_ID: 168113	Protein57	
Complex45	IKK complex	cytosol	Reactome DB_ID: 168113	Protein58	
Complex45	IKK complex	cytosol	Reactome DB_ID: 168113	Protein59	
Complex46	TRAF6:K63-linked polyUb p-IRAK1:IKK complex	cytosol	Reactome DB_ID: 937038	Complex44	
Complex46	TRAF6:K63-linked polyUb p-IRAK1:IKK complex	cytosol	Reactome DB_ID: 937038	Complex45	
Complex47	p-IRAK2:oligo-TRAF6	plasma membrane	Reactome DB_ID: 936990	Complex40	
Complex47	p-IRAK2:oligo-TRAF6	plasma membrane	Reactome DB_ID: 936990	Protein49	
Complex48	p-IRAK2:K63-linked pUb oligo-TRAF6	plasma membrane	Reactome DB_ID: 936988	Protein75	
Complex48	p-IRAK2:K63-linked pUb oligo-TRAF6	plasma membrane	Reactome DB_ID: 936988	Protein43	
Complex49	TAK1 complex	plasma membrane	Reactome DB_ID: 446878	Protein76	
Complex49	TAK1 complex	plasma membrane	Reactome DB_ID: 446878	Protein77	
Complex49	TAK1 complex	plasma membrane	Reactome DB_ID: 446878	Protein78	
Complex5	FL-TLR8 dimer	endoplasmic reticulum membrane	Reactome DB_ID: 1678913	Protein5	
Complex50	p-IRAK2:K63-linked pUb oligo-TRAF6:free K63 pUb:TAK1 complex	plasma membrane	Reactome DB_ID: 936953	PhysicalEntity6	
Complex50	p-IRAK2:K63-linked pUb oligo-TRAF6:free K63 pUb:TAK1 complex	plasma membrane	Reactome DB_ID: 936953	Complex48	
Complex50	p-IRAK2:K63-linked pUb oligo-TRAF6:free K63 pUb:TAK1 complex	plasma membrane	Reactome DB_ID: 936953	Complex49	
Complex51	p-IRAK2:K63-linked pUb oligo-TRAF6:free K63-linked pUb:p-TAK1complex	plasma membrane	Reactome DB_ID: 937008	PhysicalEntity6	
Complex51	p-IRAK2:K63-linked pUb oligo-TRAF6:free K63-linked pUb:p-TAK1complex	plasma membrane	Reactome DB_ID: 937008	Protein77	
Complex51	p-IRAK2:K63-linked pUb oligo-TRAF6:free K63-linked pUb:p-TAK1complex	plasma membrane	Reactome DB_ID: 937008	Complex48	
Complex51	p-IRAK2:K63-linked pUb oligo-TRAF6:free K63-linked pUb:p-TAK1complex	plasma membrane	Reactome DB_ID: 937008	Protein81	
Complex51	p-IRAK2:K63-linked pUb oligo-TRAF6:free K63-linked pUb:p-TAK1complex	plasma membrane	Reactome DB_ID: 937008	Protein78	
Complex52	MEKK1:activated TRAF6	cytosol	Reactome DB_ID: 166867	Protein47	
Complex52	MEKK1:activated TRAF6	cytosol	Reactome DB_ID: 166867	Protein82	
Complex53	Activated IKK Complex	cytosol	Reactome DB_ID: 177663	Protein84	
Complex53	Activated IKK Complex	cytosol	Reactome DB_ID: 177663	Protein85	
Complex53	Activated IKK Complex	cytosol	Reactome DB_ID: 177663	Protein58	
Complex55	hp-IRAK1:K6-poly-Ub oligo-TRAF6:Activated TAK1 complex	cytosol	Reactome DB_ID: 450186	Complex56	
Complex55	hp-IRAK1:K6-poly-Ub oligo-TRAF6:Activated TAK1 complex	cytosol	Reactome DB_ID: 450186	Complex49	
Complex56	hp-IRAK1:K6 poly-Ub oligo-TRAF6	cytosol	Reactome DB_ID: 450144	Protein86	
Complex56	hp-IRAK1:K6 poly-Ub oligo-TRAF6	cytosol	Reactome DB_ID: 450144	Complex57	
Complex57	hp-IRAK1:K6-polyUb TRAF6	cytosol	Reactome DB_ID: 450147	Protein87	
Complex57	hp-IRAK1:K6-polyUb TRAF6	cytosol	Reactome DB_ID: 450147	Protein86	
Complex58	PAMP:NOD oligomer:K63-polyUb-RIP2:NEMO:activated TAK1 complex	cytosol	Reactome DB_ID: 706477	Complex59	
Complex58	PAMP:NOD oligomer:K63-polyUb-RIP2:NEMO:activated TAK1 complex	cytosol	Reactome DB_ID: 706477	Complex49	
Complex59	PAMP:NOD oligomer:K63-polyUb-RIP2:NEMO	cytosol	Reactome DB_ID: 706480	PhysicalEntity6	
Complex59	PAMP:NOD oligomer:K63-polyUb-RIP2:NEMO	cytosol	Reactome DB_ID: 706480	Protein58	
Complex59	PAMP:NOD oligomer:K63-polyUb-RIP2:NEMO	cytosol	Reactome DB_ID: 706480	Complex60	
Complex6	FL-TLR9 dimer	endoplasmic reticulum membrane	Reactome DB_ID: 1678978	Protein4	
Complex60	PAMP:NOD oligomer:K63-Ub-RIP2	cytosol	Reactome DB_ID: 706482	Protein88	
Complex60	PAMP:NOD oligomer:K63-Ub-RIP2	cytosol	Reactome DB_ID: 706482	Complex61	
Complex62	NOD1:iE-DAP oligomer	cytosol	Reactome DB_ID: 622306	Complex63	
Complex63	NOD1:iE-DAP	cytosol	Reactome DB_ID: 168408	Protein89	
Complex63	NOD1:iE-DAP	cytosol	Reactome DB_ID: 168408	SmallMolecule6	
Complex64	MDP:NOD2 oligomer	cytosol	Reactome DB_ID: 708350	Complex65	
Complex65	MDP:NOD2	cytosol	Reactome DB_ID: 168414	SmallMolecule7	
Complex65	MDP:NOD2	cytosol	Reactome DB_ID: 168414	Protein90	
Complex66	pUb-TRAF6:TAB1:TAB2/TAB3:free polyubiquitin chain : phospho-TAK1	cytosol	Reactome DB_ID: 847073	Protein91	
Complex66	pUb-TRAF6:TAB1:TAB2/TAB3:free polyubiquitin chain : phospho-TAK1	cytosol	Reactome DB_ID: 847073	PhysicalEntity6	
Complex66	pUb-TRAF6:TAB1:TAB2/TAB3:free polyubiquitin chain : phospho-TAK1	cytosol	Reactome DB_ID: 847073	Protein86	
Complex66	pUb-TRAF6:TAB1:TAB2/TAB3:free polyubiquitin chain : phospho-TAK1	cytosol	Reactome DB_ID: 847073	Protein77	
Complex66	pUb-TRAF6:TAB1:TAB2/TAB3:free polyubiquitin chain : phospho-TAK1	cytosol	Reactome DB_ID: 847073	Protein81	
Complex67	p-IRAK2:K63-linked pUb oligo-TRAF6:free K63-linked pUb:p-TAK1complex	cytosol	Reactome DB_ID: 937060	PhysicalEntity6	
Complex67	p-IRAK2:K63-linked pUb oligo-TRAF6:free K63-linked pUb:p-TAK1complex	cytosol	Reactome DB_ID: 937060	Complex68	
Complex67	p-IRAK2:K63-linked pUb oligo-TRAF6:free K63-linked pUb:p-TAK1complex	cytosol	Reactome DB_ID: 937060	Protein81	
Complex68	p-IRAK2:K63-linked pUb oligo-TRAF6	cytosol	Reactome DB_ID: 937064	Protein86	
Complex68	p-IRAK2:K63-linked pUb oligo-TRAF6	cytosol	Reactome DB_ID: 937064	Protein94	
Complex69	IkBs:NFkB	cytosol	Reactome DB_ID: 168130	Complex70	
Complex69	IkBs:NFkB	cytosol	Reactome DB_ID: 168130	Protein99	
Complex7	intracellular TLR:UNC93B1	endoplasmic reticulum membrane	Reactome DB_ID: 1678926	Protein7	
Complex7	intracellular TLR:UNC93B1	endoplasmic reticulum membrane	Reactome DB_ID: 1678926	PhysicalEntity1	
Complex70	NFkB Complex	cytosol	Reactome DB_ID: 168155	Protein95	
Complex70	NFkB Complex	cytosol	Reactome DB_ID: 168155	Protein96	
Complex71	NFkB Complex	nucleoplasm	Reactome DB_ID: 177673	Protein105	
Complex71	NFkB Complex	nucleoplasm	Reactome DB_ID: 177673	Protein108	
Complex72	AGER ligands:AGER	plasma membrane	Reactome DB_ID: 879365	PhysicalEntity7	
Complex72	AGER ligands:AGER	plasma membrane	Reactome DB_ID: 879365	Protein115	
Complex73	AGE adducts:Peptide	extracellular region	Reactome DB_ID: 879479	SmallMolecule8	
Complex73	AGE adducts:Peptide	extracellular region	Reactome DB_ID: 879479	SmallMolecule9	
Complex74	S100A12 dimer	extracellular region	Reactome DB_ID: 879439	Protein109	
Complex75	S100B homodimer	extracellular region	Reactome DB_ID: 879449	Protein110	
Complex76	DHX9:CpG:MyD88	cytosol	Reactome DB_ID: 3134868	Protein116	
Complex76	DHX9:CpG:MyD88	cytosol	Reactome DB_ID: 3134868	Complex77	
Complex77	DHX9:CpG	cytosol	Reactome DB_ID: 3134960	Protein117	
Complex77	DHX9:CpG	cytosol	Reactome DB_ID: 3134960	PhysicalEntity8	
Complex78	p38 MAPK:MAPKAPK2/3	nucleoplasm	Reactome DB_ID: 450269	Protein145	
Complex78	p38 MAPK:MAPKAPK2/3	nucleoplasm	Reactome DB_ID: 450269	Protein148	
Complex79	phospho-p38 MAPK: MAPKAPK2/3	nucleoplasm	Reactome DB_ID: 450213	Protein148	
Complex79	phospho-p38 MAPK: MAPKAPK2/3	nucleoplasm	Reactome DB_ID: 450213	Protein151	
Complex8	intracellular TLR:UNC93B1	Golgi membrane	Reactome DB_ID: 1679067	Protein9	
Complex8	intracellular TLR:UNC93B1	Golgi membrane	Reactome DB_ID: 1679067	PhysicalEntity2	
Complex80	p-p38 MAPK:p-MAPKAPK2/3	nucleoplasm	Reactome DB_ID: 450254	Protein151	
Complex80	p-p38 MAPK:p-MAPKAPK2/3	nucleoplasm	Reactome DB_ID: 450254	Protein154	
Complex81	phospho-p38 MAPK : phospho MAPKAPK2 or phospho MaPKAPK3	cytosol	Reactome DB_ID: 450241	Protein157	
Complex81	phospho-p38 MAPK : phospho MAPKAPK2 or phospho MaPKAPK3	cytosol	Reactome DB_ID: 450241	Protein160	
Complex82	MEK1:ERK-1	cytosol	Reactome DB_ID: 109838	Protein165	
Complex82	MEK1:ERK-1	cytosol	Reactome DB_ID: 109838	Protein170	
Complex83	phospho-ERK-1:MEK1	cytosol	Reactome DB_ID: 109843	Protein171	
Complex83	phospho-ERK-1:MEK1	cytosol	Reactome DB_ID: 109843	Protein165	
Complex84	phospho-ERK-1 dimer	cytosol	Reactome DB_ID: 109844	Protein171	
Complex85	phospho-ERK-1 dimer	nucleoplasm	Reactome DB_ID: 109845	Protein172	
Complex86	IL6:Tyrosine phosphorylated hexameric IL-6 receptor:Activated JAKs:p-SHP2	plasma membrane	Reactome DB_ID: 1112753	Protein173	
Complex86	IL6:Tyrosine phosphorylated hexameric IL-6 receptor:Activated JAKs:p-SHP2	plasma membrane	Reactome DB_ID: 1112753	Complex87	
Complex87	Tyrosine phosphorylated IL6 receptor hexamer:Activated JAKs	plasma membrane	Reactome DB_ID: 1112594	Complex88	
Complex89	IL6:IL6RA:Tyrosine phosphorylated IL6RB:Activated JAKs	plasma membrane	Reactome DB_ID: 1112585	Complex90	
Complex89	IL6:IL6RA:Tyrosine phosphorylated IL6RB:Activated JAKs	plasma membrane	Reactome DB_ID: 1112585	Complex91	
Complex9	FL-TLR7 dimer	Golgi membrane	Reactome DB_ID: 1679085	Protein11	
Complex90	Tyrosine phosphorylated IL6RB:Activated JAKs	plasma membrane	Reactome DB_ID: 1112563	Protein174	
Complex90	Tyrosine phosphorylated IL6RB:Activated JAKs	plasma membrane	Reactome DB_ID: 1112563	Protein175	
Complex91	IL6:IL6RA	plasma membrane	Reactome DB_ID: 1067638	Protein179	
Complex91	IL6:IL6RA	plasma membrane	Reactome DB_ID: 1067638	Protein180	
Complex92	IL6:sIL6R:Tyrosine phosphorylated IL6RB:Activated JAKs	plasma membrane	Reactome DB_ID: 1112570	Complex90	
Complex92	IL6:sIL6R:Tyrosine phosphorylated IL6RB:Activated JAKs	plasma membrane	Reactome DB_ID: 1112570	Complex93	
Complex93	IL6:sIL6R	extracellular region	Reactome DB_ID: 1067687	Protein181	
Complex93	IL6:sIL6R	extracellular region	Reactome DB_ID: 1067687	Protein179	
Complex94	MEK2:ERK-2	cytosol	Reactome DB_ID: 109849	Protein182	
Complex94	MEK2:ERK-2	cytosol	Reactome DB_ID: 109849	Protein183	
Complex95	phospho-ERK-2:MEK2	cytosol	Reactome DB_ID: 109854	Protein184	
Complex95	phospho-ERK-2:MEK2	cytosol	Reactome DB_ID: 109854	Protein182	
Complex96	phospho-ERK-2 dimer	cytosol	Reactome DB_ID: 109855	Protein184	
Complex97	phospho-ERK-2 dimer	nucleoplasm	Reactome DB_ID: 109856	Protein185	
Complex99	PP2A-ABdeltaC complex	nucleoplasm	Reactome DB_ID: 165970	Protein210	
Complex99	PP2A-ABdeltaC complex	nucleoplasm	Reactome DB_ID: 165970	Protein211	
Complex99	PP2A-ABdeltaC complex	nucleoplasm	Reactome DB_ID: 165970	Protein214	
