Complex1	pro-beta-NGF homodimer	endoplasmic reticulum lumen	Reactome DB_ID: 166554	Protein2	
Complex228	NRGs/EGF-like ligands:P-ERBB4cyt1	plasma membrane	Reactome DB_ID: 1250305	PhysicalEntity11	
Complex229	NRGs/EGFLs:p-ERBB4cyt1:p-7Y-ERBB2	plasma membrane	Reactome DB_ID: 1963579	Protein362	
Complex229	NRGs/EGFLs:p-ERBB4cyt1:p-7Y-ERBB2	plasma membrane	Reactome DB_ID: 1963579	Complex228	
Complex23	K63 linked polyubiquitin chain	nucleoplasm	Reactome DB_ID: 205097	Protein86	
Complex230	PI3K:p-ERBB4cyt1	plasma membrane	Reactome DB_ID: 1250373	Protein294	
Complex230	PI3K:p-ERBB4cyt1	plasma membrane	Reactome DB_ID: 1250373	Complex231	
Complex231	PIK3R1:p-ERBB4cyt1	plasma membrane	Reactome DB_ID: 1250356	Complex232	
Complex231	PIK3R1:p-ERBB4cyt1	plasma membrane	Reactome DB_ID: 1250356	Protein358	
Complex233	p-ERBB4jmAcyt1	plasma membrane	Reactome DB_ID: 1251953	Complex234	
Complex234	NRGs/EGF-like ligands:P-ERBB4jmAcyt1	plasma membrane	Reactome DB_ID: 1251957	Protein371	
Complex234	NRGs/EGF-like ligands:P-ERBB4jmAcyt1	plasma membrane	Reactome DB_ID: 1251957	PhysicalEntity11	
Complex235	p-ERBB4jmBcyt1	plasma membrane	Reactome DB_ID: 1251954	Complex236	
Complex236	NRGs/EGF-like ligands:P-ERBB4jmBcyt1	plasma membrane	Reactome DB_ID: 1251958	Protein372	
Complex236	NRGs/EGF-like ligands:P-ERBB4jmBcyt1	plasma membrane	Reactome DB_ID: 1251958	PhysicalEntity11	
Complex237	EGF:p-6Y-EGFR:GRB2:GAB1:PIK3	plasma membrane	Reactome DB_ID: 179791	Protein294	
Complex237	EGF:p-6Y-EGFR:GRB2:GAB1:PIK3	plasma membrane	Reactome DB_ID: 179791	Protein297	
Complex237	EGF:p-6Y-EGFR:GRB2:GAB1:PIK3	plasma membrane	Reactome DB_ID: 179791	Complex238	
Complex237	EGF:p-6Y-EGFR:GRB2:GAB1:PIK3	plasma membrane	Reactome DB_ID: 179791	Complex217	
Complex238	EGF:p-6Y-EGFR	plasma membrane	Reactome DB_ID: 179882	Complex239	
Complex239	EGF:Phospho-EGFR	plasma membrane	Reactome DB_ID: 179860	Protein360	
Complex239	EGF:Phospho-EGFR	plasma membrane	Reactome DB_ID: 179860	Protein361	
Complex24	NGF:p75NTR:NADE	plasma membrane	Reactome DB_ID: 204978	Complex9	
Complex24	NGF:p75NTR:NADE	plasma membrane	Reactome DB_ID: 204978	Protein102	
Complex240	CD19 Signalosome	plasma membrane	Reactome DB_ID: 2076233	Protein380	
Complex240	CD19 Signalosome	plasma membrane	Reactome DB_ID: 2076233	Protein381	
Complex240	CD19 Signalosome	plasma membrane	Reactome DB_ID: 2076233	Complex241	
Complex240	CD19 Signalosome	plasma membrane	Reactome DB_ID: 2076233	Protein383	
Complex241	PIK3CD:PIK3R1	plasma membrane	Reactome DB_ID: 1045152	Protein358	
Complex241	PIK3CD:PIK3R1	plasma membrane	Reactome DB_ID: 1045152	Protein382	
Complex242	AKT:PIP3	plasma membrane	Reactome DB_ID: 2317329	Protein388	
Complex242	AKT:PIP3	plasma membrane	Reactome DB_ID: 2317329	SmallMolecule32	
Complex243	PDK1:PIP3	plasma membrane	Reactome DB_ID: 377179	Protein393	
Complex243	PDK1:PIP3	plasma membrane	Reactome DB_ID: 377179	SmallMolecule32	
Complex244	p-S-AKT:PIP3	plasma membrane	Reactome DB_ID: 2317310	Protein394	
Complex244	p-S-AKT:PIP3	plasma membrane	Reactome DB_ID: 2317310	SmallMolecule32	
Complex245	TORC2 complex	cytosol	Reactome DB_ID: 198626	Protein398	
Complex245	TORC2 complex	cytosol	Reactome DB_ID: 198626	Protein399	
Complex245	TORC2 complex	cytosol	Reactome DB_ID: 198626	Protein400	
Complex245	TORC2 complex	cytosol	Reactome DB_ID: 198626	Protein401	
Complex246	AKT:PIP3:THEM4/TRIB3	plasma membrane	Reactome DB_ID: 199453	Protein402	
Complex246	AKT:PIP3:THEM4/TRIB3	plasma membrane	Reactome DB_ID: 199453	Complex242	
Complex247	p-S-AKT:PDPK1:PIP3	plasma membrane	Reactome DB_ID: 2317313	Complex243	
Complex247	p-S-AKT:PDPK1:PIP3	plasma membrane	Reactome DB_ID: 2317313	Complex244	
Complex248	PTEN:Mg2+	cytosol	Reactome DB_ID: 199426	SmallMolecule14	
Complex248	PTEN:Mg2+	cytosol	Reactome DB_ID: 199426	Protein450	
Complex249	PHLPP (Mn2+ cofactor)	cytosol	Reactome DB_ID: 199450	SmallMolecule36	
Complex249	PHLPP (Mn2+ cofactor)	cytosol	Reactome DB_ID: 199450	Protein455	
Complex250	PDPK1:PIP2	plasma membrane	Reactome DB_ID: 2219520	Protein393	
Complex250	PDPK1:PIP2	plasma membrane	Reactome DB_ID: 2219520	SmallMolecule21	
Complex252	miR-26A Endonucleolytic RISC	cytosol	Reactome DB_ID: 2318744	Complex253	
Complex252	miR-26A Endonucleolytic RISC	cytosol	Reactome DB_ID: 2318744	Protein459	
Complex252	miR-26A Endonucleolytic RISC	cytosol	Reactome DB_ID: 2318744	Protein460	
Complex253	miR-26A Endonucleolytic Minimal RISC	cytosol	Reactome DB_ID: 2318741	Rna1	
Complex253	miR-26A Endonucleolytic Minimal RISC	cytosol	Reactome DB_ID: 2318741	Protein458	
Complex254	miR-26A Nonendonucleolytic RISC	cytosol	Reactome DB_ID: 2318738	Protein459	
Complex254	miR-26A Nonendonucleolytic RISC	cytosol	Reactome DB_ID: 2318738	Complex255	
Complex254	miR-26A Nonendonucleolytic RISC	cytosol	Reactome DB_ID: 2318738	Protein460	
Complex255	Argonaute1/3/4: miR-26A	cytosol	Reactome DB_ID: 2318739	Protein464	
Complex255	Argonaute1/3/4: miR-26A	cytosol	Reactome DB_ID: 2318739	Rna1	
Complex256	PTEN mRNA:miR-26A RISC	cytosol	Reactome DB_ID: 2318750	Complex251	
Complex256	PTEN mRNA:miR-26A RISC	cytosol	Reactome DB_ID: 2318750	Rna4	
Complex257	Clathrin-coated vesicle	plasma membrane	Reactome DB_ID: 177505	Complex258	
Complex257	Clathrin-coated vesicle	plasma membrane	Reactome DB_ID: 177505	Complex259	
Complex258	AP-2 complex	plasma membrane	Reactome DB_ID: 177480	Protein474	
Complex258	AP-2 complex	plasma membrane	Reactome DB_ID: 177480	Protein477	
Complex258	AP-2 complex	plasma membrane	Reactome DB_ID: 177480	Protein478	
Complex258	AP-2 complex	plasma membrane	Reactome DB_ID: 177480	Protein479	
Complex259	Clathrin	plasma membrane	Reactome DB_ID: 177482	Protein480	
Complex26	Active Caspase-2 heterotetramer	cytosol	Reactome DB_ID: 350852	Complex27	
Complex260	Activated TrkA receptor complex:Clathrin-coated vesicle	plasma membrane	Reactome DB_ID: 177506	Complex257	
Complex260	Activated TrkA receptor complex:Clathrin-coated vesicle	plasma membrane	Reactome DB_ID: 177506	Complex68	
Complex261	Activated TrkA receptor complex:Clathrin-coated vesicle	plasma membrane	Reactome DB_ID: 177490	Protein481	
Complex261	Activated TrkA receptor complex:Clathrin-coated vesicle	plasma membrane	Reactome DB_ID: 177490	Complex257	
Complex261	Activated TrkA receptor complex:Clathrin-coated vesicle	plasma membrane	Reactome DB_ID: 177490	Complex68	
Complex262	Activated TrkA receptor complex:Clathrin-coated vesicle:dynein:dynactin complex	plasma membrane	Reactome DB_ID: 177507	Protein481	
Complex262	Activated TrkA receptor complex:Clathrin-coated vesicle:dynein:dynactin complex	plasma membrane	Reactome DB_ID: 177507	Complex257	
Complex262	Activated TrkA receptor complex:Clathrin-coated vesicle:dynein:dynactin complex	plasma membrane	Reactome DB_ID: 177507	Complex68	
Complex264	PP2A-ABdeltaC complex	nucleoplasm	Reactome DB_ID: 165970	Protein513	
Complex264	PP2A-ABdeltaC complex	nucleoplasm	Reactome DB_ID: 165970	Protein516	
Complex264	PP2A-ABdeltaC complex	nucleoplasm	Reactome DB_ID: 165970	Protein517	
Complex27	Caspase-2	cytosol	Reactome DB_ID: 205098	Protein106	
Complex27	Caspase-2	cytosol	Reactome DB_ID: 205098	Protein107	
Complex28	Active Caspase-3 heterotetramer	cytosol	Reactome DB_ID: 350870	Complex29	
Complex29	Caspase-3 heterodimer	cytosol	Reactome DB_ID: 350888	Protein108	
Complex29	Caspase-3 heterodimer	cytosol	Reactome DB_ID: 350888	Protein109	
Complex3	mature beta-NGF homodimer	Golgi lumen	Reactome DB_ID: 187017	Protein4	
Complex30	YWHAE dimer	cytosol	Reactome DB_ID: 194364	Protein110	
Complex31	NGF ligand:p75NTR:NADE:14-3-3epsilon	plasma membrane	Reactome DB_ID: 205018	Complex9	
Complex31	NGF ligand:p75NTR:NADE:14-3-3epsilon	plasma membrane	Reactome DB_ID: 205018	Protein102	
Complex31	NGF ligand:p75NTR:NADE:14-3-3epsilon	plasma membrane	Reactome DB_ID: 205018	Complex30	
Complex32	NGF:p75NTR:PRDM4	plasma membrane	Reactome DB_ID: 204972	Protein111	
Complex32	NGF:p75NTR:PRDM4	plasma membrane	Reactome DB_ID: 204972	Complex6	
Complex32	NGF:p75NTR:PRDM4	plasma membrane	Reactome DB_ID: 204972	Protein12	
Complex33	PRDM4:Histone deacetylase	nucleoplasm	Reactome DB_ID: 205111	Protein112	
Complex33	PRDM4:Histone deacetylase	nucleoplasm	Reactome DB_ID: 205111	Protein113	
Complex34	NGF:p75NTR:RIP2	plasma membrane	Reactome DB_ID: 209578	Complex9	
Complex34	NGF:p75NTR:RIP2	plasma membrane	Reactome DB_ID: 209578	Protein117	
Complex35	IRAK1:MYD88	cytosol	Reactome DB_ID: 193874	Protein118	
Complex35	IRAK1:MYD88	cytosol	Reactome DB_ID: 193874	Complex36	
Complex36	MYD88 homodimer	cytosol	Reactome DB_ID: 193932	Protein119	
Complex37	NGF ligand:p75NTR:IRAK1:MYD88	plasma membrane	Reactome DB_ID: 209570	Complex9	
Complex37	NGF ligand:p75NTR:IRAK1:MYD88	plasma membrane	Reactome DB_ID: 209570	Complex35	
Complex38	NGF ligand:p75NTR:p-IRAK1:MYD88	plasma membrane	Reactome DB_ID: 209572	Complex9	
Complex38	NGF ligand:p75NTR:p-IRAK1:MYD88	plasma membrane	Reactome DB_ID: 209572	Protein120	
Complex38	NGF ligand:p75NTR:p-IRAK1:MYD88	plasma membrane	Reactome DB_ID: 209572	Complex36	
Complex39	NGF ligand:p75NTR:Phospho-IRAK1:MYD88:TRAF6	plasma membrane	Reactome DB_ID: 209574	Complex9	
Complex39	NGF ligand:p75NTR:Phospho-IRAK1:MYD88:TRAF6	plasma membrane	Reactome DB_ID: 209574	Protein120	
Complex39	NGF ligand:p75NTR:Phospho-IRAK1:MYD88:TRAF6	plasma membrane	Reactome DB_ID: 209574	Protein62	
Complex39	NGF ligand:p75NTR:Phospho-IRAK1:MYD88:TRAF6	plasma membrane	Reactome DB_ID: 209574	Complex36	
Complex4	Subtilisin/kexin convertase (Calcium dependant)	Golgi lumen	Reactome DB_ID: 166611	Protein5	
Complex4	Subtilisin/kexin convertase (Calcium dependant)	Golgi lumen	Reactome DB_ID: 166611	SmallMolecule1	
Complex40	NGF ligand:p75NTR:Phospho-IRAK1:TRAF6	plasma membrane	Reactome DB_ID: 209569	Complex9	
Complex40	NGF ligand:p75NTR:Phospho-IRAK1:TRAF6	plasma membrane	Reactome DB_ID: 209569	Protein120	
Complex40	NGF ligand:p75NTR:Phospho-IRAK1:TRAF6	plasma membrane	Reactome DB_ID: 209569	Protein62	
Complex41	NGF ligand:p75NTR:Phospho-IRAK1:TRAF6:p62	plasma membrane	Reactome DB_ID: 209577	Complex9	
Complex41	NGF ligand:p75NTR:Phospho-IRAK1:TRAF6:p62	plasma membrane	Reactome DB_ID: 209577	Protein120	
Complex41	NGF ligand:p75NTR:Phospho-IRAK1:TRAF6:p62	plasma membrane	Reactome DB_ID: 209577	Protein84	
Complex41	NGF ligand:p75NTR:Phospho-IRAK1:TRAF6:p62	plasma membrane	Reactome DB_ID: 209577	Protein62	
Complex42	NGF ligand:p75NTR:Phospho-IRAK1:polyubiquitinated TRAF6:p62	plasma membrane	Reactome DB_ID: 209542	Complex9	
Complex42	NGF ligand:p75NTR:Phospho-IRAK1:polyubiquitinated TRAF6:p62	plasma membrane	Reactome DB_ID: 209542	Protein121	
Complex42	NGF ligand:p75NTR:Phospho-IRAK1:polyubiquitinated TRAF6:p62	plasma membrane	Reactome DB_ID: 209542	Protein84	
Complex42	NGF ligand:p75NTR:Phospho-IRAK1:polyubiquitinated TRAF6:p62	plasma membrane	Reactome DB_ID: 209542	Protein122	
Complex43	NGF ligand:p75NTR:Phospho-IRAK1:TRAF6:p62:aPKCi	plasma membrane	Reactome DB_ID: 209558	Complex9	
Complex43	NGF ligand:p75NTR:Phospho-IRAK1:TRAF6:p62:aPKCi	plasma membrane	Reactome DB_ID: 209558	Protein120	
Complex43	NGF ligand:p75NTR:Phospho-IRAK1:TRAF6:p62:aPKCi	plasma membrane	Reactome DB_ID: 209558	Protein123	
Complex43	NGF ligand:p75NTR:Phospho-IRAK1:TRAF6:p62:aPKCi	plasma membrane	Reactome DB_ID: 209558	Protein84	
Complex43	NGF ligand:p75NTR:Phospho-IRAK1:TRAF6:p62:aPKCi	plasma membrane	Reactome DB_ID: 209558	Protein62	
Complex44	IKK-beta homdimer	cytosol	Reactome DB_ID: 193897	Protein124	
Complex45	NGF ligand:p75NTR:Phospho-IRAK1:TRAF6:p62:IKK-beta	plasma membrane	Reactome DB_ID: 209533	Complex9	
Complex45	NGF ligand:p75NTR:Phospho-IRAK1:TRAF6:p62:IKK-beta	plasma membrane	Reactome DB_ID: 209533	Protein120	
Complex45	NGF ligand:p75NTR:Phospho-IRAK1:TRAF6:p62:IKK-beta	plasma membrane	Reactome DB_ID: 209533	Complex44	
Complex45	NGF ligand:p75NTR:Phospho-IRAK1:TRAF6:p62:IKK-beta	plasma membrane	Reactome DB_ID: 209533	Protein84	
Complex45	NGF ligand:p75NTR:Phospho-IRAK1:TRAF6:p62:IKK-beta	plasma membrane	Reactome DB_ID: 209533	Protein62	
Complex46	NGF ligand:p75NTR:Phospho-IRAK1:TRAF6:p62:Phospho-IKK-beta	plasma membrane	Reactome DB_ID: 209565	Complex9	
Complex46	NGF ligand:p75NTR:Phospho-IRAK1:TRAF6:p62:Phospho-IKK-beta	plasma membrane	Reactome DB_ID: 209565	Protein120	
Complex46	NGF ligand:p75NTR:Phospho-IRAK1:TRAF6:p62:Phospho-IKK-beta	plasma membrane	Reactome DB_ID: 209565	Protein84	
Complex46	NGF ligand:p75NTR:Phospho-IRAK1:TRAF6:p62:Phospho-IKK-beta	plasma membrane	Reactome DB_ID: 209565	Protein62	
Complex46	NGF ligand:p75NTR:Phospho-IRAK1:TRAF6:p62:Phospho-IKK-beta	plasma membrane	Reactome DB_ID: 209565	Complex47	
Complex47	Phospho-IKK-beta homdimer	cytosol	Reactome DB_ID: 193888	Protein125	
Complex48	IkB(alpha):NF-kB complex	cytosol	Reactome DB_ID: 193938	Complex49	
Complex48	IkB(alpha):NF-kB complex	cytosol	Reactome DB_ID: 193938	Protein128	
Complex49	NF-kB complex	cytosol	Reactome DB_ID: 194043	Protein126	
Complex49	NF-kB complex	cytosol	Reactome DB_ID: 194043	Protein127	
Complex5	pro-beta-NGF homodimer	extracellular region	Reactome DB_ID: 187029	Protein9	
Complex50	Ubiquitinated phospho-IkB	cytosol	Reactome DB_ID: 209535	Protein69	
Complex50	Ubiquitinated phospho-IkB	cytosol	Reactome DB_ID: 209535	Protein129	
Complex51	NF-kB complex	nucleoplasm	Reactome DB_ID: 194047	Protein130	
Complex51	NF-kB complex	nucleoplasm	Reactome DB_ID: 194047	Protein131	
Complex52	Active N-SMase:Mg2+	plasma membrane	Reactome DB_ID: 194354	Protein132	
Complex52	Active N-SMase:Mg2+	plasma membrane	Reactome DB_ID: 194354	SmallMolecule8	
Complex53	RHOA:RHO-GDIalpha	plasma membrane	Reactome DB_ID: 194533	Complex54	
Complex53	RHOA:RHO-GDIalpha	plasma membrane	Reactome DB_ID: 194533	Protein134	
Complex54	RhoA (Mg cofactor):GDP	plasma membrane	Reactome DB_ID: 194489	Protein133	
Complex54	RhoA (Mg cofactor):GDP	plasma membrane	Reactome DB_ID: 194489	SmallMolecule5	
Complex54	RhoA (Mg cofactor):GDP	plasma membrane	Reactome DB_ID: 194489	SmallMolecule8	
Complex55	RHOA:RHO-GDIalpha:p75NTR	plasma membrane	Reactome DB_ID: 194466	Complex54	
Complex55	RHOA:RHO-GDIalpha:p75NTR	plasma membrane	Reactome DB_ID: 194466	Protein134	
Complex55	RHOA:RHO-GDIalpha:p75NTR	plasma membrane	Reactome DB_ID: 194466	Protein12	
Complex56	RhoA:Rho-GDIalpha:p75NTR:NGF	plasma membrane	Reactome DB_ID: 194506	Complex54	
Complex56	RhoA:Rho-GDIalpha:p75NTR:NGF	plasma membrane	Reactome DB_ID: 194506	Protein134	
Complex56	RhoA:Rho-GDIalpha:p75NTR:NGF	plasma membrane	Reactome DB_ID: 194506	Complex6	
Complex56	RhoA:Rho-GDIalpha:p75NTR:NGF	plasma membrane	Reactome DB_ID: 194506	Protein12	
Complex57	p75NTR:NgR	plasma membrane	Reactome DB_ID: 194513	PhysicalEntity2	
Complex57	p75NTR:NgR	plasma membrane	Reactome DB_ID: 194513	Protein12	
Complex58	p75NTR:NgR:LINGO1	plasma membrane	Reactome DB_ID: 194583	Protein135	
Complex58	p75NTR:NgR:LINGO1	plasma membrane	Reactome DB_ID: 194583	PhysicalEntity2	
Complex58	p75NTR:NgR:LINGO1	plasma membrane	Reactome DB_ID: 194583	Protein12	
Complex59	p75NTR:NgR:LINGO1:myelin component	plasma membrane	Reactome DB_ID: 194499	Protein135	
Complex59	p75NTR:NgR:LINGO1:myelin component	plasma membrane	Reactome DB_ID: 194499	Protein136	
Complex59	p75NTR:NgR:LINGO1:myelin component	plasma membrane	Reactome DB_ID: 194499	PhysicalEntity2	
Complex59	p75NTR:NgR:LINGO1:myelin component	plasma membrane	Reactome DB_ID: 194499	Protein12	
Complex6	mature beta-NGF homodimer	extracellular region	Reactome DB_ID: 187031	Protein10	
Complex60	RHOA:RHO-GDI:p75NTR:NgR:myelin component	plasma membrane	Reactome DB_ID: 194481	Protein136	
Complex60	RHOA:RHO-GDI:p75NTR:NgR:myelin component	plasma membrane	Reactome DB_ID: 194481	Complex53	
Complex60	RHOA:RHO-GDI:p75NTR:NgR:myelin component	plasma membrane	Reactome DB_ID: 194481	PhysicalEntity2	
Complex60	RHOA:RHO-GDI:p75NTR:NgR:myelin component	plasma membrane	Reactome DB_ID: 194481	Protein12	
Complex61	RHO-GDI:p75NTR:NgR:myelin component	plasma membrane	Reactome DB_ID: 194528	Protein136	
Complex61	RHO-GDI:p75NTR:NgR:myelin component	plasma membrane	Reactome DB_ID: 194528	Protein134	
Complex61	RHO-GDI:p75NTR:NgR:myelin component	plasma membrane	Reactome DB_ID: 194528	PhysicalEntity2	
Complex61	RHO-GDI:p75NTR:NgR:myelin component	plasma membrane	Reactome DB_ID: 194528	Protein12	
Complex62	RhoA (Mg cofactor):GTP	plasma membrane	Reactome DB_ID: 194545	Protein133	
Complex62	RhoA (Mg cofactor):GTP	plasma membrane	Reactome DB_ID: 194545	SmallMolecule6	
Complex62	RhoA (Mg cofactor):GTP	plasma membrane	Reactome DB_ID: 194545	SmallMolecule8	
Complex63	ADAM 17 metalloprotease (Zn cofactor)	plasma membrane	Reactome DB_ID: 194538	Protein143	
Complex63	ADAM 17 metalloprotease (Zn cofactor)	plasma membrane	Reactome DB_ID: 194538	SmallMolecule8	
Complex64	NF-kB:p75NTR ICD:TRAF6	cytosol	Reactome DB_ID: 197481	Complex49	
Complex64	NF-kB:p75NTR ICD:TRAF6	cytosol	Reactome DB_ID: 197481	Protein62	
Complex64	NF-kB:p75NTR ICD:TRAF6	cytosol	Reactome DB_ID: 197481	Protein146	
Complex65	beta-NGF dimer:TrkA receptor	plasma membrane	Reactome DB_ID: 166537	Complex66	
Complex65	beta-NGF dimer:TrkA receptor	plasma membrane	Reactome DB_ID: 166537	Protein148	
Complex66	beta-NGF homodimer	extracellular region	Reactome DB_ID: 167057	Protein10	
Complex67	beta-NGF dimer:TrkA receptor dimer	plasma membrane	Reactome DB_ID: 166543	Complex66	
Complex67	beta-NGF dimer:TrkA receptor dimer	plasma membrane	Reactome DB_ID: 166543	Protein148	
Complex68	Activated TrkA receptor complex	plasma membrane	Reactome DB_ID: 166540	Protein149	
Complex68	Activated TrkA receptor complex	plasma membrane	Reactome DB_ID: 166540	Complex66	
Complex69	Activated TrkA receptor complex	endosome	Reactome DB_ID: 190083	Complex70	
Complex69	Activated TrkA receptor complex	endosome	Reactome DB_ID: 190083	Protein151	
Complex7	p75NTR:sortilin complex	plasma membrane	Reactome DB_ID: 193698	Protein11	
Complex7	p75NTR:sortilin complex	plasma membrane	Reactome DB_ID: 193698	Protein12	
Complex70	beta-NGF homodimer	endosome	Reactome DB_ID: 190067	Protein150	
Complex71	Adenosine:Adenosine A2a receptor	Golgi membrane	Reactome DB_ID: 187653	Protein152	
Complex71	Adenosine:Adenosine A2a receptor	Golgi membrane	Reactome DB_ID: 187653	SmallMolecule13	
Complex72	PACAP:PACAP type 1 receptor	Golgi membrane	Reactome DB_ID: 187656	Protein159	
Complex72	PACAP:PACAP type 1 receptor	Golgi membrane	Reactome DB_ID: 187656	Protein160	
Complex73	Activated TrkA receptor:SHC	plasma membrane	Reactome DB_ID: 167020	Complex68	
Complex73	Activated TrkA receptor:SHC	plasma membrane	Reactome DB_ID: 167020	Protein161	
Complex74	Activated TrkA receptor:p-SHC	plasma membrane	Reactome DB_ID: 167015	Complex68	
Complex74	Activated TrkA receptor:p-SHC	plasma membrane	Reactome DB_ID: 167015	Protein165	
Complex75	GRB2:SOS1	cytosol	Reactome DB_ID: 109797	Protein37	
Complex75	GRB2:SOS1	cytosol	Reactome DB_ID: 109797	Protein169	
Complex76	GRB2:SOS:Phospho-SHC	cytosol	Reactome DB_ID: 109798	Protein165	
Complex76	GRB2:SOS:Phospho-SHC	cytosol	Reactome DB_ID: 109798	Complex75	
Complex77	p21 RAS:GDP	plasma membrane	Reactome DB_ID: 109796	Protein170	
Complex77	p21 RAS:GDP	plasma membrane	Reactome DB_ID: 109796	SmallMolecule7	
Complex78	p21 RAS:GTP	plasma membrane	Reactome DB_ID: 109783	SmallMolecule4	
Complex78	p21 RAS:GTP	plasma membrane	Reactome DB_ID: 109783	Protein170	
Complex79	p-Raf1(S259,S621):14-3-3 protein beta/alpha	cytosol	Reactome DB_ID: 109787	Protein174	
Complex79	p-Raf1(S259,S621):14-3-3 protein beta/alpha	cytosol	Reactome DB_ID: 109787	Protein175	
Complex8	pro-beta NGF:p75NTR:sortilin	plasma membrane	Reactome DB_ID: 193678	Complex5	
Complex8	pro-beta NGF:p75NTR:sortilin	plasma membrane	Reactome DB_ID: 193678	Complex7	
Complex80	RAS:RAF	plasma membrane	Reactome DB_ID: 109788	Protein175	
Complex80	RAS:RAF	plasma membrane	Reactome DB_ID: 109788	Complex78	
Complex81	RAS:RAF:14-3-3	plasma membrane	Reactome DB_ID: 109789	Complex80	
Complex81	RAS:RAF:14-3-3	plasma membrane	Reactome DB_ID: 109789	Protein174	
Complex82	Activated RAF1 complex	plasma membrane	Reactome DB_ID: 109793	Protein174	
Complex82	Activated RAF1 complex	plasma membrane	Reactome DB_ID: 109793	Complex78	
Complex82	Activated RAF1 complex	plasma membrane	Reactome DB_ID: 109793	Protein176	
Complex83	HRAS:GTP	plasma membrane	Reactome DB_ID: 167204	Protein171	
Complex83	HRAS:GTP	plasma membrane	Reactome DB_ID: 167204	SmallMolecule4	
Complex84	Ras:GTP:p-Raf1(S259,S621)	plasma membrane	Reactome DB_ID: 206716	Protein175	
Complex84	Ras:GTP:p-Raf1(S259,S621)	plasma membrane	Reactome DB_ID: 206716	Complex83	
Complex85	Activated RAF1 complex:MEK	plasma membrane	Reactome DB_ID: 112406	Protein177	
Complex85	Activated RAF1 complex:MEK	plasma membrane	Reactome DB_ID: 112406	Complex82	
Complex86	Activated RAF1 complex:MEK1	plasma membrane	Reactome DB_ID: 109794	Complex82	
Complex86	Activated RAF1 complex:MEK1	plasma membrane	Reactome DB_ID: 109794	Protein178	
Complex87	Activated RAF1 complex:MEK2	plasma membrane	Reactome DB_ID: 109795	Protein179	
Complex87	Activated RAF1 complex:MEK2	plasma membrane	Reactome DB_ID: 109795	Complex82	
Complex88	MEK1:ERK-1	cytosol	Reactome DB_ID: 109838	Protein180	
Complex88	MEK1:ERK-1	cytosol	Reactome DB_ID: 109838	Protein187	
Complex89	phospho-ERK-1:MEK1	cytosol	Reactome DB_ID: 109843	Protein180	
Complex89	phospho-ERK-1:MEK1	cytosol	Reactome DB_ID: 109843	Protein188	
Complex9	mature NGF homodimer:p75NTR	plasma membrane	Reactome DB_ID: 205123	Complex6	
Complex9	mature NGF homodimer:p75NTR	plasma membrane	Reactome DB_ID: 205123	Protein12	
Complex90	phospho-ERK-1 dimer	cytosol	Reactome DB_ID: 109844	Protein188	
Complex91	phospho-ERK-1 dimer	nucleoplasm	Reactome DB_ID: 109845	Protein189	
Complex92	IL6:Tyrosine phosphorylated hexameric IL-6 receptor:Activated JAKs:p-SHP2	plasma membrane	Reactome DB_ID: 1112753	Protein190	
Complex92	IL6:Tyrosine phosphorylated hexameric IL-6 receptor:Activated JAKs:p-SHP2	plasma membrane	Reactome DB_ID: 1112753	Complex93	
Complex93	Tyrosine phosphorylated IL6 receptor hexamer:Activated JAKs	plasma membrane	Reactome DB_ID: 1112594	Complex94	
Complex95	IL6:IL6RA:Tyrosine phosphorylated IL6RB:Activated JAKs	plasma membrane	Reactome DB_ID: 1112585	Complex96	
Complex95	IL6:IL6RA:Tyrosine phosphorylated IL6RB:Activated JAKs	plasma membrane	Reactome DB_ID: 1112585	Complex97	
Complex96	Tyrosine phosphorylated IL6RB:Activated JAKs	plasma membrane	Reactome DB_ID: 1112563	Protein191	
Complex96	Tyrosine phosphorylated IL6RB:Activated JAKs	plasma membrane	Reactome DB_ID: 1112563	Protein192	
Complex97	IL6:IL6RA	plasma membrane	Reactome DB_ID: 1067638	Protein196	
Complex97	IL6:IL6RA	plasma membrane	Reactome DB_ID: 1067638	Protein197	
Complex98	IL6:sIL6R:Tyrosine phosphorylated IL6RB:Activated JAKs	plasma membrane	Reactome DB_ID: 1112570	Complex96	
Complex98	IL6:sIL6R:Tyrosine phosphorylated IL6RB:Activated JAKs	plasma membrane	Reactome DB_ID: 1112570	Complex99	
Complex99	IL6:sIL6R	extracellular region	Reactome DB_ID: 1067687	Protein196	
Complex99	IL6:sIL6R	extracellular region	Reactome DB_ID: 1067687	Protein198	
