Complex1	TP53 Tetramer	nucleoplasm	Reactome DB_ID: 3209194	Protein1	
Complex190	Centrosome:p-T288-AURKA:p-S252-BORA:PLK1	cytosol	Reactome DB_ID: 3000313	Complex191	
Complex190	Centrosome:p-T288-AURKA:p-S252-BORA:PLK1	cytosol	Reactome DB_ID: 3000313	Complex188	
Complex191	p-S252-BORA:PLK1	cytosol	Reactome DB_ID: 3000315	Protein462	
Complex191	p-S252-BORA:PLK1	cytosol	Reactome DB_ID: 3000315	Protein391	
Complex192	p-S252-BORA:p-T210-PLK1	cytosol	Reactome DB_ID: 3000305	Protein462	
Complex192	p-S252-BORA:p-T210-PLK1	cytosol	Reactome DB_ID: 3000305	Protein463	
Complex194	SCF-beta-TrCP1 complex	cytosol	Reactome DB_ID: 174155	Protein465	
Complex194	SCF-beta-TrCP1 complex	cytosol	Reactome DB_ID: 174155	Protein466	
Complex194	SCF-beta-TrCP1 complex	cytosol	Reactome DB_ID: 174155	Protein467	
Complex195	SCF-beta-TrCP2 complex	cytosol	Reactome DB_ID: 1168592	Protein465	
Complex195	SCF-beta-TrCP2 complex	cytosol	Reactome DB_ID: 1168592	Protein468	
Complex195	SCF-beta-TrCP2 complex	cytosol	Reactome DB_ID: 1168592	Protein467	
Complex196	p-S252,S497,T501-BORA:SCF-beta-TrCp1/2	cytosol	Reactome DB_ID: 3000340	Protein464	
Complex196	p-S252,S497,T501-BORA:SCF-beta-TrCp1/2	cytosol	Reactome DB_ID: 3000340	Complex193	
Complex197	Ub-p-S252,S497,T501-BORA	cytosol	Reactome DB_ID: 3000337	Protein9	
Complex197	Ub-p-S252,S497,T501-BORA	cytosol	Reactome DB_ID: 3000337	Protein464	
Complex198	OPTN:RAB8A:GTP	Golgi membrane	Reactome DB_ID: 2562537	Complex199	
Complex198	OPTN:RAB8A:GTP	Golgi membrane	Reactome DB_ID: 2562537	Protein470	
Complex199	RAB8A:GTP	Golgi membrane	Reactome DB_ID: 2562539	SmallMolecule23	
Complex199	RAB8A:GTP	Golgi membrane	Reactome DB_ID: 2562539	Protein469	
Complex2	p-S15-TP53 Tetramer	nucleoplasm	Reactome DB_ID: 349474	Protein2	
Complex20	Rad17-RFC complex bound to DNA	nucleoplasm	Reactome DB_ID: 176204	Complex19	
Complex20	Rad17-RFC complex bound to DNA	nucleoplasm	Reactome DB_ID: 176204	Complex17	
Complex200	Phosphorylated Myosin Phosphatase	nucleoplasm	Reactome DB_ID: 3002804	Protein475	
Complex200	Phosphorylated Myosin Phosphatase	nucleoplasm	Reactome DB_ID: 3002804	Protein476	
Complex200	Phosphorylated Myosin Phosphatase	nucleoplasm	Reactome DB_ID: 3002804	Protein477	
Complex201	p-T611-FOXM1:p-T210-PLK1	nucleoplasm	Reactome DB_ID: 4088136	Protein473	
Complex201	p-T611-FOXM1:p-T210-PLK1	nucleoplasm	Reactome DB_ID: 4088136	Protein394	
Complex202	p-T611,S730,S739-FOXM1:EP300:CDC25A Gene	nucleoplasm	Reactome DB_ID: 4088158	Protein481	
Complex202	p-T611,S730,S739-FOXM1:EP300:CDC25A Gene	nucleoplasm	Reactome DB_ID: 4088158	Dna2	
Complex202	p-T611,S730,S739-FOXM1:EP300:CDC25A Gene	nucleoplasm	Reactome DB_ID: 4088158	Protein480	
Complex203	p-T611,S730,S739-FOXM1:MuvB:MYBL2:PLK1 Gene	nucleoplasm	Reactome DB_ID: 4088300	Protein173	
Complex203	p-T611,S730,S739-FOXM1:MuvB:MYBL2:PLK1 Gene	nucleoplasm	Reactome DB_ID: 4088300	Complex42	
Complex203	p-T611,S730,S739-FOXM1:MuvB:MYBL2:PLK1 Gene	nucleoplasm	Reactome DB_ID: 4088300	Protein480	
Complex203	p-T611,S730,S739-FOXM1:MuvB:MYBL2:PLK1 Gene	nucleoplasm	Reactome DB_ID: 4088300	Dna3	
Complex204	p-T611,S730,S739-FOXM1:MuvB:MYBL2:CCNB1 Gene	nucleoplasm	Reactome DB_ID: 4088308	Protein173	
Complex204	p-T611,S730,S739-FOXM1:MuvB:MYBL2:CCNB1 Gene	nucleoplasm	Reactome DB_ID: 4088308	Complex42	
Complex204	p-T611,S730,S739-FOXM1:MuvB:MYBL2:CCNB1 Gene	nucleoplasm	Reactome DB_ID: 4088308	Dna4	
Complex204	p-T611,S730,S739-FOXM1:MuvB:MYBL2:CCNB1 Gene	nucleoplasm	Reactome DB_ID: 4088308	Protein480	
Complex205	p-T611,S730,S739-FOXM1:MuvB:MYBL2:CCNB2 Gene	nucleoplasm	Reactome DB_ID: 4088297	Protein173	
Complex205	p-T611,S730,S739-FOXM1:MuvB:MYBL2:CCNB2 Gene	nucleoplasm	Reactome DB_ID: 4088297	Complex42	
Complex205	p-T611,S730,S739-FOXM1:MuvB:MYBL2:CCNB2 Gene	nucleoplasm	Reactome DB_ID: 4088297	Protein480	
Complex205	p-T611,S730,S739-FOXM1:MuvB:MYBL2:CCNB2 Gene	nucleoplasm	Reactome DB_ID: 4088297	Dna5	
Complex206	p-T611,S730,S739-FOXM1:CENPF Gene	nucleoplasm	Reactome DB_ID: 4088442	Dna6	
Complex206	p-T611,S730,S739-FOXM1:CENPF Gene	nucleoplasm	Reactome DB_ID: 4088442	Protein480	
Complex207	Centrosomes containing recruited CDK11p58	cytosol	Reactome DB_ID: 380453	Protein483	
Complex207	Centrosomes containing recruited CDK11p58	cytosol	Reactome DB_ID: 380453	Complex186	
Complex208	Centrosome associated  Plk1	cytosol	Reactome DB_ID: 380288	Protein391	
Complex208	Centrosome associated  Plk1	cytosol	Reactome DB_ID: 380288	Complex186	
Complex209	centrosome-nucleated microtubules	cytosol	Reactome DB_ID: 379273	PhysicalEntity36	
Complex209	centrosome-nucleated microtubules	cytosol	Reactome DB_ID: 379273	Complex210	
Complex21	9-1-1 complex	nucleoplasm	Reactome DB_ID: 176312	Protein106	
Complex21	9-1-1 complex	nucleoplasm	Reactome DB_ID: 176312	Protein109	
Complex21	9-1-1 complex	nucleoplasm	Reactome DB_ID: 176312	Protein110	
Complex210	gamma-tubulin complex	cytosol	Reactome DB_ID: 379277	Protein488	
Complex210	gamma-tubulin complex	cytosol	Reactome DB_ID: 379277	Protein489	
Complex210	gamma-tubulin complex	cytosol	Reactome DB_ID: 379277	Protein453	
Complex210	gamma-tubulin complex	cytosol	Reactome DB_ID: 379277	Protein490	
Complex210	gamma-tubulin complex	cytosol	Reactome DB_ID: 379277	Complex211	
Complex211	gamma-TuSC	cytosol	Reactome DB_ID: 380447	Protein491	
Complex211	gamma-TuSC	cytosol	Reactome DB_ID: 380447	Protein492	
Complex211	gamma-TuSC	cytosol	Reactome DB_ID: 380447	Protein493	
Complex211	gamma-TuSC	cytosol	Reactome DB_ID: 380447	Protein414	
Complex212	NuMA homodimer	cytosol	Reactome DB_ID: 380486	Protein494	
Complex213	centrosome-associated NuMA	cytosol	Reactome DB_ID: 380503	Complex209	
Complex213	centrosome-associated NuMA	cytosol	Reactome DB_ID: 380503	Complex212	
Complex214	NuMA-bound microtubules	cytosol	Reactome DB_ID: 380495	Complex209	
Complex214	NuMA-bound microtubules	cytosol	Reactome DB_ID: 380495	Complex212	
Complex215	Mature centrosomes enriched in gamma-TURC complexes	cytosol	Reactome DB_ID: 380440	Complex186	
Complex215	Mature centrosomes enriched in gamma-TURC complexes	cytosol	Reactome DB_ID: 380440	Complex210	
Complex216	cNAP-1 depleted centrosome	cytosol	Reactome DB_ID: 380698	Protein397	
Complex216	cNAP-1 depleted centrosome	cytosol	Reactome DB_ID: 380698	Protein398	
Complex216	cNAP-1 depleted centrosome	cytosol	Reactome DB_ID: 380698	Protein399	
Complex216	cNAP-1 depleted centrosome	cytosol	Reactome DB_ID: 380698	Protein400	
Complex216	cNAP-1 depleted centrosome	cytosol	Reactome DB_ID: 380698	Protein401	
Complex216	cNAP-1 depleted centrosome	cytosol	Reactome DB_ID: 380698	Protein402	
Complex216	cNAP-1 depleted centrosome	cytosol	Reactome DB_ID: 380698	Protein403	
Complex216	cNAP-1 depleted centrosome	cytosol	Reactome DB_ID: 380698	Protein404	
Complex216	cNAP-1 depleted centrosome	cytosol	Reactome DB_ID: 380698	Protein405	
Complex216	cNAP-1 depleted centrosome	cytosol	Reactome DB_ID: 380698	Protein406	
Complex216	cNAP-1 depleted centrosome	cytosol	Reactome DB_ID: 380698	Protein407	
Complex216	cNAP-1 depleted centrosome	cytosol	Reactome DB_ID: 380698	Protein408	
Complex216	cNAP-1 depleted centrosome	cytosol	Reactome DB_ID: 380698	Protein409	
Complex216	cNAP-1 depleted centrosome	cytosol	Reactome DB_ID: 380698	Protein410	
Complex216	cNAP-1 depleted centrosome	cytosol	Reactome DB_ID: 380698	Protein411	
Complex216	cNAP-1 depleted centrosome	cytosol	Reactome DB_ID: 380698	Protein412	
Complex216	cNAP-1 depleted centrosome	cytosol	Reactome DB_ID: 380698	Protein414	
Complex216	cNAP-1 depleted centrosome	cytosol	Reactome DB_ID: 380698	Protein415	
Complex216	cNAP-1 depleted centrosome	cytosol	Reactome DB_ID: 380698	Protein416	
Complex216	cNAP-1 depleted centrosome	cytosol	Reactome DB_ID: 380698	Protein417	
Complex216	cNAP-1 depleted centrosome	cytosol	Reactome DB_ID: 380698	Protein418	
Complex216	cNAP-1 depleted centrosome	cytosol	Reactome DB_ID: 380698	Protein419	
Complex216	cNAP-1 depleted centrosome	cytosol	Reactome DB_ID: 380698	Protein420	
Complex216	cNAP-1 depleted centrosome	cytosol	Reactome DB_ID: 380698	Protein421	
Complex216	cNAP-1 depleted centrosome	cytosol	Reactome DB_ID: 380698	Protein422	
Complex216	cNAP-1 depleted centrosome	cytosol	Reactome DB_ID: 380698	Protein423	
Complex216	cNAP-1 depleted centrosome	cytosol	Reactome DB_ID: 380698	Protein424	
Complex216	cNAP-1 depleted centrosome	cytosol	Reactome DB_ID: 380698	Protein391	
Complex216	cNAP-1 depleted centrosome	cytosol	Reactome DB_ID: 380698	Protein425	
Complex216	cNAP-1 depleted centrosome	cytosol	Reactome DB_ID: 380698	Protein426	
Complex216	cNAP-1 depleted centrosome	cytosol	Reactome DB_ID: 380698	Protein427	
Complex216	cNAP-1 depleted centrosome	cytosol	Reactome DB_ID: 380698	Protein428	
Complex216	cNAP-1 depleted centrosome	cytosol	Reactome DB_ID: 380698	Protein429	
Complex216	cNAP-1 depleted centrosome	cytosol	Reactome DB_ID: 380698	Protein431	
Complex216	cNAP-1 depleted centrosome	cytosol	Reactome DB_ID: 380698	Protein432	
Complex216	cNAP-1 depleted centrosome	cytosol	Reactome DB_ID: 380698	Protein430	
Complex216	cNAP-1 depleted centrosome	cytosol	Reactome DB_ID: 380698	Protein433	
Complex216	cNAP-1 depleted centrosome	cytosol	Reactome DB_ID: 380698	Protein434	
Complex216	cNAP-1 depleted centrosome	cytosol	Reactome DB_ID: 380698	Protein435	
Complex216	cNAP-1 depleted centrosome	cytosol	Reactome DB_ID: 380698	Protein436	
Complex216	cNAP-1 depleted centrosome	cytosol	Reactome DB_ID: 380698	Protein437	
Complex216	cNAP-1 depleted centrosome	cytosol	Reactome DB_ID: 380698	Protein92	
Complex216	cNAP-1 depleted centrosome	cytosol	Reactome DB_ID: 380698	Protein438	
Complex216	cNAP-1 depleted centrosome	cytosol	Reactome DB_ID: 380698	Protein439	
Complex216	cNAP-1 depleted centrosome	cytosol	Reactome DB_ID: 380698	Protein440	
Complex216	cNAP-1 depleted centrosome	cytosol	Reactome DB_ID: 380698	Protein441	
Complex216	cNAP-1 depleted centrosome	cytosol	Reactome DB_ID: 380698	Protein442	
Complex216	cNAP-1 depleted centrosome	cytosol	Reactome DB_ID: 380698	Protein443	
Complex216	cNAP-1 depleted centrosome	cytosol	Reactome DB_ID: 380698	Protein444	
Complex216	cNAP-1 depleted centrosome	cytosol	Reactome DB_ID: 380698	Protein445	
Complex216	cNAP-1 depleted centrosome	cytosol	Reactome DB_ID: 380698	Protein446	
Complex216	cNAP-1 depleted centrosome	cytosol	Reactome DB_ID: 380698	Protein447	
Complex216	cNAP-1 depleted centrosome	cytosol	Reactome DB_ID: 380698	Protein448	
Complex216	cNAP-1 depleted centrosome	cytosol	Reactome DB_ID: 380698	Protein449	
Complex216	cNAP-1 depleted centrosome	cytosol	Reactome DB_ID: 380698	Protein450	
Complex216	cNAP-1 depleted centrosome	cytosol	Reactome DB_ID: 380698	Protein451	
Complex216	cNAP-1 depleted centrosome	cytosol	Reactome DB_ID: 380698	Protein452	
Complex216	cNAP-1 depleted centrosome	cytosol	Reactome DB_ID: 380698	Protein453	
Complex216	cNAP-1 depleted centrosome	cytosol	Reactome DB_ID: 380698	Protein454	
Complex216	cNAP-1 depleted centrosome	cytosol	Reactome DB_ID: 380698	Protein455	
Complex216	cNAP-1 depleted centrosome	cytosol	Reactome DB_ID: 380698	Protein456	
Complex217	centrosome containing phosphorylated Nlp	cytosol	Reactome DB_ID: 380704	Protein397	
Complex217	centrosome containing phosphorylated Nlp	cytosol	Reactome DB_ID: 380704	Protein398	
Complex217	centrosome containing phosphorylated Nlp	cytosol	Reactome DB_ID: 380704	Protein399	
Complex217	centrosome containing phosphorylated Nlp	cytosol	Reactome DB_ID: 380704	Protein400	
Complex217	centrosome containing phosphorylated Nlp	cytosol	Reactome DB_ID: 380704	Protein401	
Complex217	centrosome containing phosphorylated Nlp	cytosol	Reactome DB_ID: 380704	Protein402	
Complex217	centrosome containing phosphorylated Nlp	cytosol	Reactome DB_ID: 380704	Protein403	
Complex217	centrosome containing phosphorylated Nlp	cytosol	Reactome DB_ID: 380704	Protein404	
Complex217	centrosome containing phosphorylated Nlp	cytosol	Reactome DB_ID: 380704	Protein405	
Complex217	centrosome containing phosphorylated Nlp	cytosol	Reactome DB_ID: 380704	Protein406	
Complex217	centrosome containing phosphorylated Nlp	cytosol	Reactome DB_ID: 380704	Protein407	
Complex217	centrosome containing phosphorylated Nlp	cytosol	Reactome DB_ID: 380704	Protein408	
Complex217	centrosome containing phosphorylated Nlp	cytosol	Reactome DB_ID: 380704	Protein409	
Complex217	centrosome containing phosphorylated Nlp	cytosol	Reactome DB_ID: 380704	Protein410	
Complex217	centrosome containing phosphorylated Nlp	cytosol	Reactome DB_ID: 380704	Protein411	
Complex217	centrosome containing phosphorylated Nlp	cytosol	Reactome DB_ID: 380704	Protein412	
Complex217	centrosome containing phosphorylated Nlp	cytosol	Reactome DB_ID: 380704	Protein413	
Complex217	centrosome containing phosphorylated Nlp	cytosol	Reactome DB_ID: 380704	Protein414	
Complex217	centrosome containing phosphorylated Nlp	cytosol	Reactome DB_ID: 380704	Protein415	
Complex217	centrosome containing phosphorylated Nlp	cytosol	Reactome DB_ID: 380704	Protein416	
Complex217	centrosome containing phosphorylated Nlp	cytosol	Reactome DB_ID: 380704	Protein417	
Complex217	centrosome containing phosphorylated Nlp	cytosol	Reactome DB_ID: 380704	Protein418	
Complex217	centrosome containing phosphorylated Nlp	cytosol	Reactome DB_ID: 380704	Protein419	
Complex217	centrosome containing phosphorylated Nlp	cytosol	Reactome DB_ID: 380704	Protein420	
Complex217	centrosome containing phosphorylated Nlp	cytosol	Reactome DB_ID: 380704	Protein421	
Complex217	centrosome containing phosphorylated Nlp	cytosol	Reactome DB_ID: 380704	Protein422	
Complex217	centrosome containing phosphorylated Nlp	cytosol	Reactome DB_ID: 380704	Protein423	
Complex217	centrosome containing phosphorylated Nlp	cytosol	Reactome DB_ID: 380704	Protein424	
Complex217	centrosome containing phosphorylated Nlp	cytosol	Reactome DB_ID: 380704	Protein495	
Complex217	centrosome containing phosphorylated Nlp	cytosol	Reactome DB_ID: 380704	Protein391	
Complex217	centrosome containing phosphorylated Nlp	cytosol	Reactome DB_ID: 380704	Protein425	
Complex217	centrosome containing phosphorylated Nlp	cytosol	Reactome DB_ID: 380704	Protein426	
Complex217	centrosome containing phosphorylated Nlp	cytosol	Reactome DB_ID: 380704	Protein427	
Complex217	centrosome containing phosphorylated Nlp	cytosol	Reactome DB_ID: 380704	Protein428	
Complex217	centrosome containing phosphorylated Nlp	cytosol	Reactome DB_ID: 380704	Protein429	
Complex217	centrosome containing phosphorylated Nlp	cytosol	Reactome DB_ID: 380704	Protein430	
Complex217	centrosome containing phosphorylated Nlp	cytosol	Reactome DB_ID: 380704	Protein431	
Complex217	centrosome containing phosphorylated Nlp	cytosol	Reactome DB_ID: 380704	Protein432	
Complex217	centrosome containing phosphorylated Nlp	cytosol	Reactome DB_ID: 380704	Protein433	
Complex217	centrosome containing phosphorylated Nlp	cytosol	Reactome DB_ID: 380704	Protein434	
Complex217	centrosome containing phosphorylated Nlp	cytosol	Reactome DB_ID: 380704	Protein436	
Complex217	centrosome containing phosphorylated Nlp	cytosol	Reactome DB_ID: 380704	Protein437	
Complex217	centrosome containing phosphorylated Nlp	cytosol	Reactome DB_ID: 380704	Protein92	
Complex217	centrosome containing phosphorylated Nlp	cytosol	Reactome DB_ID: 380704	Protein438	
Complex217	centrosome containing phosphorylated Nlp	cytosol	Reactome DB_ID: 380704	Protein439	
Complex217	centrosome containing phosphorylated Nlp	cytosol	Reactome DB_ID: 380704	Protein440	
Complex217	centrosome containing phosphorylated Nlp	cytosol	Reactome DB_ID: 380704	Protein441	
Complex217	centrosome containing phosphorylated Nlp	cytosol	Reactome DB_ID: 380704	Protein442	
Complex217	centrosome containing phosphorylated Nlp	cytosol	Reactome DB_ID: 380704	Protein443	
Complex217	centrosome containing phosphorylated Nlp	cytosol	Reactome DB_ID: 380704	Protein444	
Complex217	centrosome containing phosphorylated Nlp	cytosol	Reactome DB_ID: 380704	Protein445	
Complex217	centrosome containing phosphorylated Nlp	cytosol	Reactome DB_ID: 380704	Protein446	
Complex217	centrosome containing phosphorylated Nlp	cytosol	Reactome DB_ID: 380704	Protein447	
Complex217	centrosome containing phosphorylated Nlp	cytosol	Reactome DB_ID: 380704	Protein448	
Complex217	centrosome containing phosphorylated Nlp	cytosol	Reactome DB_ID: 380704	Protein449	
Complex217	centrosome containing phosphorylated Nlp	cytosol	Reactome DB_ID: 380704	Protein450	
Complex217	centrosome containing phosphorylated Nlp	cytosol	Reactome DB_ID: 380704	Protein451	
Complex217	centrosome containing phosphorylated Nlp	cytosol	Reactome DB_ID: 380704	Protein452	
Complex217	centrosome containing phosphorylated Nlp	cytosol	Reactome DB_ID: 380704	Protein453	
Complex217	centrosome containing phosphorylated Nlp	cytosol	Reactome DB_ID: 380704	Protein454	
Complex217	centrosome containing phosphorylated Nlp	cytosol	Reactome DB_ID: 380704	Protein455	
Complex217	centrosome containing phosphorylated Nlp	cytosol	Reactome DB_ID: 380704	Protein456	
Complex218	Nlp-depleted centrosome	cytosol	Reactome DB_ID: 380705	Protein397	
Complex218	Nlp-depleted centrosome	cytosol	Reactome DB_ID: 380705	Protein398	
Complex218	Nlp-depleted centrosome	cytosol	Reactome DB_ID: 380705	Protein399	
Complex218	Nlp-depleted centrosome	cytosol	Reactome DB_ID: 380705	Protein400	
Complex218	Nlp-depleted centrosome	cytosol	Reactome DB_ID: 380705	Protein401	
Complex218	Nlp-depleted centrosome	cytosol	Reactome DB_ID: 380705	Protein402	
Complex218	Nlp-depleted centrosome	cytosol	Reactome DB_ID: 380705	Protein403	
Complex218	Nlp-depleted centrosome	cytosol	Reactome DB_ID: 380705	Protein404	
Complex218	Nlp-depleted centrosome	cytosol	Reactome DB_ID: 380705	Protein405	
Complex218	Nlp-depleted centrosome	cytosol	Reactome DB_ID: 380705	Protein406	
Complex218	Nlp-depleted centrosome	cytosol	Reactome DB_ID: 380705	Protein407	
Complex218	Nlp-depleted centrosome	cytosol	Reactome DB_ID: 380705	Protein408	
Complex218	Nlp-depleted centrosome	cytosol	Reactome DB_ID: 380705	Protein409	
Complex218	Nlp-depleted centrosome	cytosol	Reactome DB_ID: 380705	Protein410	
Complex218	Nlp-depleted centrosome	cytosol	Reactome DB_ID: 380705	Protein411	
Complex218	Nlp-depleted centrosome	cytosol	Reactome DB_ID: 380705	Protein412	
Complex218	Nlp-depleted centrosome	cytosol	Reactome DB_ID: 380705	Protein413	
Complex218	Nlp-depleted centrosome	cytosol	Reactome DB_ID: 380705	Protein414	
Complex218	Nlp-depleted centrosome	cytosol	Reactome DB_ID: 380705	Protein415	
Complex218	Nlp-depleted centrosome	cytosol	Reactome DB_ID: 380705	Protein416	
Complex218	Nlp-depleted centrosome	cytosol	Reactome DB_ID: 380705	Protein417	
Complex218	Nlp-depleted centrosome	cytosol	Reactome DB_ID: 380705	Protein418	
Complex218	Nlp-depleted centrosome	cytosol	Reactome DB_ID: 380705	Protein419	
Complex218	Nlp-depleted centrosome	cytosol	Reactome DB_ID: 380705	Protein420	
Complex218	Nlp-depleted centrosome	cytosol	Reactome DB_ID: 380705	Protein421	
Complex218	Nlp-depleted centrosome	cytosol	Reactome DB_ID: 380705	Protein422	
Complex218	Nlp-depleted centrosome	cytosol	Reactome DB_ID: 380705	Protein423	
Complex218	Nlp-depleted centrosome	cytosol	Reactome DB_ID: 380705	Protein424	
Complex218	Nlp-depleted centrosome	cytosol	Reactome DB_ID: 380705	Protein391	
Complex218	Nlp-depleted centrosome	cytosol	Reactome DB_ID: 380705	Protein425	
Complex218	Nlp-depleted centrosome	cytosol	Reactome DB_ID: 380705	Protein426	
Complex218	Nlp-depleted centrosome	cytosol	Reactome DB_ID: 380705	Protein427	
Complex218	Nlp-depleted centrosome	cytosol	Reactome DB_ID: 380705	Protein428	
Complex218	Nlp-depleted centrosome	cytosol	Reactome DB_ID: 380705	Protein429	
Complex218	Nlp-depleted centrosome	cytosol	Reactome DB_ID: 380705	Protein430	
Complex218	Nlp-depleted centrosome	cytosol	Reactome DB_ID: 380705	Protein431	
Complex218	Nlp-depleted centrosome	cytosol	Reactome DB_ID: 380705	Protein432	
Complex218	Nlp-depleted centrosome	cytosol	Reactome DB_ID: 380705	Protein433	
Complex218	Nlp-depleted centrosome	cytosol	Reactome DB_ID: 380705	Protein434	
Complex218	Nlp-depleted centrosome	cytosol	Reactome DB_ID: 380705	Protein436	
Complex218	Nlp-depleted centrosome	cytosol	Reactome DB_ID: 380705	Protein437	
Complex218	Nlp-depleted centrosome	cytosol	Reactome DB_ID: 380705	Protein92	
Complex218	Nlp-depleted centrosome	cytosol	Reactome DB_ID: 380705	Protein438	
Complex218	Nlp-depleted centrosome	cytosol	Reactome DB_ID: 380705	Protein439	
Complex218	Nlp-depleted centrosome	cytosol	Reactome DB_ID: 380705	Protein440	
Complex218	Nlp-depleted centrosome	cytosol	Reactome DB_ID: 380705	Protein441	
Complex218	Nlp-depleted centrosome	cytosol	Reactome DB_ID: 380705	Protein442	
Complex218	Nlp-depleted centrosome	cytosol	Reactome DB_ID: 380705	Protein443	
Complex218	Nlp-depleted centrosome	cytosol	Reactome DB_ID: 380705	Protein444	
Complex218	Nlp-depleted centrosome	cytosol	Reactome DB_ID: 380705	Protein445	
Complex218	Nlp-depleted centrosome	cytosol	Reactome DB_ID: 380705	Protein446	
Complex218	Nlp-depleted centrosome	cytosol	Reactome DB_ID: 380705	Protein447	
Complex218	Nlp-depleted centrosome	cytosol	Reactome DB_ID: 380705	Protein448	
Complex218	Nlp-depleted centrosome	cytosol	Reactome DB_ID: 380705	Protein449	
Complex218	Nlp-depleted centrosome	cytosol	Reactome DB_ID: 380705	Protein450	
Complex218	Nlp-depleted centrosome	cytosol	Reactome DB_ID: 380705	Protein451	
Complex218	Nlp-depleted centrosome	cytosol	Reactome DB_ID: 380705	Protein452	
Complex218	Nlp-depleted centrosome	cytosol	Reactome DB_ID: 380705	Protein453	
Complex218	Nlp-depleted centrosome	cytosol	Reactome DB_ID: 380705	Protein454	
Complex218	Nlp-depleted centrosome	cytosol	Reactome DB_ID: 380705	Protein455	
Complex218	Nlp-depleted centrosome	cytosol	Reactome DB_ID: 380705	Protein456	
Complex219	GRASP65:GM130:p115:RAB1:GTP	Golgi membrane	Reactome DB_ID: 2172177	Complex220	
Complex219	GRASP65:GM130:p115:RAB1:GTP	Golgi membrane	Reactome DB_ID: 2172177	Complex221	
Complex219	GRASP65:GM130:p115:RAB1:GTP	Golgi membrane	Reactome DB_ID: 2172177	Protein500	
Complex219	GRASP65:GM130:p115:RAB1:GTP	Golgi membrane	Reactome DB_ID: 2172177	Protein501	
Complex22	Rad9-Hus1-Rad1 bound to DNA	nucleoplasm	Reactome DB_ID: 176256	Complex21	
Complex22	Rad9-Hus1-Rad1 bound to DNA	nucleoplasm	Reactome DB_ID: 176256	Complex20	
Complex220	RAB1:GTP	Golgi membrane	Reactome DB_ID: 2311340	SmallMolecule23	
Complex220	RAB1:GTP	Golgi membrane	Reactome DB_ID: 2311340	Protein496	
Complex221	USO1 homodimer	Golgi membrane	Reactome DB_ID: 2311335	Protein499	
Complex222	USO1 homodimer	ER to Golgi transport vesicle membrane	Reactome DB_ID: 2311342	Protein502	
Complex223	p-T216,S274,S373-GRASP65:p-S37-GM130:p-RAB1:GTP	Golgi membrane	Reactome DB_ID: 2172185	Complex224	
Complex223	p-T216,S274,S373-GRASP65:p-S37-GM130:p-RAB1:GTP	Golgi membrane	Reactome DB_ID: 2172185	Protein506	
Complex223	p-T216,S274,S373-GRASP65:p-S37-GM130:p-RAB1:GTP	Golgi membrane	Reactome DB_ID: 2172185	Protein507	
Complex224	p-RAB1:GTP	Golgi membrane	Reactome DB_ID: 2311336	SmallMolecule23	
Complex224	p-RAB1:GTP	Golgi membrane	Reactome DB_ID: 2311336	Protein503	
Complex225	p-T216,S274,S373-GORASP1:p-S37-GOLGA2:p-RAB1:GTP:PLK1	Golgi membrane	Reactome DB_ID: 2172193	Protein391	
Complex225	p-T216,S274,S373-GORASP1:p-S37-GOLGA2:p-RAB1:GTP:PLK1	Golgi membrane	Reactome DB_ID: 2172193	Complex223	
Complex226	p-T216,S189,S274,S373-GORASP1:p-S37-GOLGA2:p-RAB1:GTP:PLK1	Golgi membrane	Reactome DB_ID: 2314414	Protein508	
Complex226	p-T216,S189,S274,S373-GORASP1:p-S37-GOLGA2:p-RAB1:GTP:PLK1	Golgi membrane	Reactome DB_ID: 2314414	Protein391	
Complex226	p-T216,S189,S274,S373-GORASP1:p-S37-GOLGA2:p-RAB1:GTP:PLK1	Golgi membrane	Reactome DB_ID: 2314414	Complex224	
Complex226	p-T216,S189,S274,S373-GORASP1:p-S37-GOLGA2:p-RAB1:GTP:PLK1	Golgi membrane	Reactome DB_ID: 2314414	Protein507	
Complex227	GORASP2:BLZF1:RAB2A:GTP	Golgi membrane	Reactome DB_ID: 2422429	Complex228	
Complex227	GORASP2:BLZF1:RAB2A:GTP	Golgi membrane	Reactome DB_ID: 2422429	Protein510	
Complex227	GORASP2:BLZF1:RAB2A:GTP	Golgi membrane	Reactome DB_ID: 2422429	Protein511	
Complex228	RAB2A:GTP	Golgi membrane	Reactome DB_ID: 2422449	SmallMolecule23	
Complex228	RAB2A:GTP	Golgi membrane	Reactome DB_ID: 2422449	Protein509	
Complex229	p-T222,225-GORASP2:BLZF1:RAB2A:GTP	Golgi membrane	Reactome DB_ID: 2422951	Protein512	
Complex229	p-T222,225-GORASP2:BLZF1:RAB2A:GTP	Golgi membrane	Reactome DB_ID: 2422951	Complex228	
Complex229	p-T222,225-GORASP2:BLZF1:RAB2A:GTP	Golgi membrane	Reactome DB_ID: 2422951	Protein510	
Complex23	Cdc45:CDK:DDK:Mcm10:pre-replicative complex	nucleoplasm	Reactome DB_ID: 68564	Complex24	
Complex23	Cdc45:CDK:DDK:Mcm10:pre-replicative complex	nucleoplasm	Reactome DB_ID: 68564	Protein128	
Complex231	p-Y204-ERK1b homodimer	cytosol	Reactome DB_ID: 2422444	Protein513	
Complex232	phospho-ERK-2 dimer	cytosol	Reactome DB_ID: 109855	Protein514	
