BiochemicalReaction1	The signal peptide is excised from beta-NGF pre-pro-precursor	Protein1	Protein2	
BiochemicalReaction42	Production of ceramide which can activate JNK and other targets	SmallMolecule10	SmallMolecule12	
BiochemicalReaction42	Production of ceramide which can activate JNK and other targets	SmallMolecule9	SmallMolecule12	
BiochemicalReaction43	p75NTR and RHOA-GDI interact	Complex53	Complex55	
BiochemicalReaction43	p75NTR and RHOA-GDI interact	Protein12	Complex55	
BiochemicalReaction44	NGF binding to p75NTR inactivates RHOA	Complex55	Complex56	
BiochemicalReaction44	NGF binding to p75NTR inactivates RHOA	Complex6	Complex56	
BiochemicalReaction45	p75NTR interacts with the NOGO receptor	PhysicalEntity2	Complex57	
BiochemicalReaction45	p75NTR interacts with the NOGO receptor	Protein12	Complex57	
BiochemicalReaction46	p75NTR:NgR complex interacts with the axonal inhibitor LINGO1	Protein135	Complex58	
BiochemicalReaction46	p75NTR:NgR complex interacts with the axonal inhibitor LINGO1	Complex57	Complex58	
BiochemicalReaction47	Myelin components can interact with p75NTR:NgR:LINGO1	Protein136	Complex59	
BiochemicalReaction47	Myelin components can interact with p75NTR:NgR:LINGO1	Complex58	Complex59	
BiochemicalReaction48	The p75NTR:NgR:MDGI complex reduces RHOA-GDI activity, displacing RHOA	Complex60	Complex61	
BiochemicalReaction48	The p75NTR:NgR:MDGI complex reduces RHOA-GDI activity, displacing RHOA	Complex60	Complex54	
BiochemicalReaction49	RhoA is activated by nucleotide exchange and inhibits axonal growth	Complex54	Complex62	
BiochemicalReaction5	Pro-beta-NGF and mature beta-NGF are secreted	Complex3	Complex5	
BiochemicalReaction5	Pro-beta-NGF and mature beta-NGF are secreted	Complex2	Complex5	
BiochemicalReaction5	Pro-beta-NGF and mature beta-NGF are secreted	Complex2	Complex6	
BiochemicalReaction5	Pro-beta-NGF and mature beta-NGF are secreted	Complex3	Complex6	
BiochemicalReaction50	alpha-secretase cleaves the p75NTR extracellular domain	Protein12	Protein141	
BiochemicalReaction50	alpha-secretase cleaves the p75NTR extracellular domain	Protein12	Protein142	
BiochemicalReaction51	The p75NTR C-terminal fragment enters endosomes	Protein141	Protein144	
BiochemicalReaction52	gamma-secretase cleaves the p75NTR transmembrane domain	Protein141	Protein145	
BiochemicalReaction52	gamma-secretase cleaves the p75NTR transmembrane domain	Protein141	Protein146	
BiochemicalReaction53	p75NTR ICD signals to NF-kB	Complex49	Complex64	
BiochemicalReaction53	p75NTR ICD signals to NF-kB	Protein62	Complex64	
BiochemicalReaction53	p75NTR ICD signals to NF-kB	Protein146	Complex64	
BiochemicalReaction54	Part of the ICD migrates to the nucleus	Protein146	Protein147	
BiochemicalReaction55	beta-NGF dimer binds to TrkA receptor	Complex6	Complex65	
BiochemicalReaction55	beta-NGF dimer binds to TrkA receptor	Protein148	Complex65	
BiochemicalReaction56	The bound receptor dimerizes	Complex65	Complex67	
BiochemicalReaction56	The bound receptor dimerizes	Protein148	Complex67	
BiochemicalReaction57	TrkA receptor autophosphorylates	Complex67	SmallMolecule3	
BiochemicalReaction57	TrkA receptor autophosphorylates	SmallMolecule2	SmallMolecule3	
BiochemicalReaction57	TrkA receptor autophosphorylates	SmallMolecule2	Complex68	
BiochemicalReaction57	TrkA receptor autophosphorylates	Complex67	Complex68	
BiochemicalReaction58	Activated TrkA receptor internalizes to endosomes	Complex68	Complex69	
BiochemicalReaction59	TRKA activation by adenosine A2a receptor	Protein152	Protein156	
BiochemicalReaction59	TRKA activation by adenosine A2a receptor	Protein153	Protein156	
BiochemicalReaction59	TRKA activation by adenosine A2a receptor	SmallMolecule13	Protein156	
BiochemicalReaction59	TRKA activation by adenosine A2a receptor	SmallMolecule13	Complex71	
BiochemicalReaction59	TRKA activation by adenosine A2a receptor	Protein153	Complex71	
BiochemicalReaction59	TRKA activation by adenosine A2a receptor	Protein152	Complex71	
BiochemicalReaction6	Binding of pro-NGF to p75NTR:sortilin	Complex7	Complex8	
BiochemicalReaction6	Binding of pro-NGF to p75NTR:sortilin	Complex5	Complex8	
BiochemicalReaction60	TRKA activation by PACAP type 1 receptor	Protein159	Complex72	
BiochemicalReaction60	TRKA activation by PACAP type 1 receptor	Protein160	Complex72	
BiochemicalReaction60	TRKA activation by PACAP type 1 receptor	Protein153	Complex72	
BiochemicalReaction60	TRKA activation by PACAP type 1 receptor	Protein153	Protein156	
BiochemicalReaction60	TRKA activation by PACAP type 1 receptor	Protein160	Protein156	
BiochemicalReaction60	TRKA activation by PACAP type 1 receptor	Protein159	Protein156	
BiochemicalReaction61	SHC binds to the activated TrkA receptor	Complex68	Complex73	
BiochemicalReaction61	SHC binds to the activated TrkA receptor	Protein161	Complex73	
BiochemicalReaction62	SHC, complexed with TrkA, is tyrosine-phosphorylated	Complex73	Complex74	
BiochemicalReaction63	Phospho-Shc dissociates from the TrkA receptor	Complex74	Complex68	
BiochemicalReaction63	Phospho-Shc dissociates from the TrkA receptor	Complex74	Protein165	
BiochemicalReaction64	GRB2:SOS binds to SHC-P	Protein165	Complex76	
BiochemicalReaction64	GRB2:SOS binds to SHC-P	Complex75	Complex76	
BiochemicalReaction65	SOS mediated nucleotide exchange of RAS (SHC)	SmallMolecule4	Complex78	
BiochemicalReaction65	SOS mediated nucleotide exchange of RAS (SHC)	Complex77	Complex78	
BiochemicalReaction65	SOS mediated nucleotide exchange of RAS (SHC)	Complex77	SmallMolecule7	
BiochemicalReaction65	SOS mediated nucleotide exchange of RAS (SHC)	SmallMolecule4	SmallMolecule7	
BiochemicalReaction66	p-RAF binds 14-3-3 beta/alpha	Protein174	Complex79	
BiochemicalReaction66	p-RAF binds 14-3-3 beta/alpha	Protein175	Complex79	
BiochemicalReaction67	Transient dissociation of 14-3-3 upon Ras binding	Complex79	Complex80	
BiochemicalReaction67	Transient dissociation of 14-3-3 upon Ras binding	Complex78	Complex80	
BiochemicalReaction67	Transient dissociation of 14-3-3 upon Ras binding	Complex78	Protein174	
BiochemicalReaction67	Transient dissociation of 14-3-3 upon Ras binding	Complex79	Protein174	
BiochemicalReaction68	Stabilisation of RAS:RAF by 14-3-3	Complex80	Complex81	
BiochemicalReaction68	Stabilisation of RAS:RAF by 14-3-3	Protein174	Complex81	
BiochemicalReaction69	Stabilisation of RAF by further phosphorylation	SmallMolecule2	Complex82	
BiochemicalReaction69	Stabilisation of RAF by further phosphorylation	Complex81	Complex82	
BiochemicalReaction69	Stabilisation of RAF by further phosphorylation	Complex81	SmallMolecule3	
BiochemicalReaction69	Stabilisation of RAF by further phosphorylation	SmallMolecule2	SmallMolecule3	
BiochemicalReaction7	NGF homodimer binds to p75NTR	Complex6	Complex9	
BiochemicalReaction7	NGF homodimer binds to p75NTR	Protein12	Complex9	
BiochemicalReaction70	Phosphorylated human RAF1 binds to RAS:GTP complex	Protein175	Complex84	
BiochemicalReaction70	Phosphorylated human RAF1 binds to RAS:GTP complex	Complex83	Complex84	
BiochemicalReaction71	Activated RAF1 complex binds MEK	Protein177	Complex85	
BiochemicalReaction71	Activated RAF1 complex binds MEK	Complex82	Complex85	
BiochemicalReaction72	RAF1  phosphorylates MEK1	SmallMolecule2	Protein180	
BiochemicalReaction72	RAF1  phosphorylates MEK1	Complex86	Protein180	
BiochemicalReaction72	RAF1  phosphorylates MEK1	Complex86	Complex82	
BiochemicalReaction72	RAF1  phosphorylates MEK1	SmallMolecule2	Complex82	
BiochemicalReaction72	RAF1  phosphorylates MEK1	Complex86	SmallMolecule3	
BiochemicalReaction72	RAF1  phosphorylates MEK1	SmallMolecule2	SmallMolecule3	
BiochemicalReaction73	RAF1 phosphorylates MEK2	Complex87	Complex82	
BiochemicalReaction73	RAF1 phosphorylates MEK2	SmallMolecule2	Complex82	
BiochemicalReaction73	RAF1 phosphorylates MEK2	SmallMolecule2	SmallMolecule3	
BiochemicalReaction73	RAF1 phosphorylates MEK2	Complex87	SmallMolecule3	
BiochemicalReaction73	RAF1 phosphorylates MEK2	SmallMolecule2	Protein181	
BiochemicalReaction73	RAF1 phosphorylates MEK2	Complex87	Protein181	
BiochemicalReaction74	Inactivation of MEK1 by p34cdc2	Protein182	SmallMolecule3	
BiochemicalReaction74	Inactivation of MEK1 by p34cdc2	SmallMolecule2	SmallMolecule3	
BiochemicalReaction74	Inactivation of MEK1 by p34cdc2	SmallMolecule2	Protein183	
BiochemicalReaction74	Inactivation of MEK1 by p34cdc2	Protein182	Protein183	
BiochemicalReaction75	MEK1 binds ERK-1	Protein180	Complex88	
BiochemicalReaction75	MEK1 binds ERK-1	Protein187	Complex88	
BiochemicalReaction76	MEK1 phosphorylates ERK-1	Complex88	Complex89	
BiochemicalReaction76	MEK1 phosphorylates ERK-1	SmallMolecule2	Complex89	
BiochemicalReaction76	MEK1 phosphorylates ERK-1	SmallMolecule2	SmallMolecule3	
BiochemicalReaction76	MEK1 phosphorylates ERK-1	Complex88	SmallMolecule3	
BiochemicalReaction77	Dissociation of phospho-ERK-1:MEK1	Complex89	Protein180	
BiochemicalReaction77	Dissociation of phospho-ERK-1:MEK1	Complex89	Protein188	
BiochemicalReaction78	Dimerisation of phospho-ERK-1	Protein188	Complex90	
BiochemicalReaction79	Nuclear translocation of phospho-ERK-1 dimer	Complex90	Complex91	
BiochemicalReaction8	NGF:p75NTR complex binds to NRAGE	Complex9	Complex10	
BiochemicalReaction8	NGF:p75NTR complex binds to NRAGE	Protein13	Complex10	
BiochemicalReaction80	MEK2 binds ERK-2	Protein181	Complex100	
BiochemicalReaction80	MEK2 binds ERK-2	Protein199	Complex100	
BiochemicalReaction81	MEK2 phosphorylates ERK-2	Complex100	SmallMolecule3	
BiochemicalReaction81	MEK2 phosphorylates ERK-2	SmallMolecule2	SmallMolecule3	
BiochemicalReaction81	MEK2 phosphorylates ERK-2	SmallMolecule2	Complex101	
BiochemicalReaction81	MEK2 phosphorylates ERK-2	Complex100	Complex101	
BiochemicalReaction82	Dissociation of phospho-ERK-2:MEK2	Complex101	Protein181	
BiochemicalReaction82	Dissociation of phospho-ERK-2:MEK2	Complex101	Protein200	
BiochemicalReaction83	Dimerisation of phospho-ERK-2	Protein200	Complex102	
BiochemicalReaction84	Nuclear translocation of phospho-ERK-2 dimer	Complex102	Complex103	
BiochemicalReaction85	Ral-GDS binds to Ras-GTP	Protein202	Complex104	
BiochemicalReaction85	Ral-GDS binds to Ras-GTP	Complex78	Complex104	
BiochemicalReaction86	Guanine nucleotide exchange on RAL	SmallMolecule4	Complex108	
BiochemicalReaction86	Guanine nucleotide exchange on RAL	Complex105	Complex108	
BiochemicalReaction86	Guanine nucleotide exchange on RAL	Complex105	SmallMolecule7	
BiochemicalReaction86	Guanine nucleotide exchange on RAL	SmallMolecule4	SmallMolecule7	
BiochemicalReaction87	Activation of SRC by RAL-GTP	Protein205	Complex105	
BiochemicalReaction87	Activation of SRC by RAL-GTP	Complex108	Complex105	
BiochemicalReaction87	Activation of SRC by RAL-GTP	Complex108	Protein206	
BiochemicalReaction87	Activation of SRC by RAL-GTP	Protein205	Protein206	
BiochemicalReaction88	Binding and activation of MAP Kinase	SmallMolecule2	SmallMolecule3	
BiochemicalReaction88	Binding and activation of MAP Kinase	Complex111	SmallMolecule3	
BiochemicalReaction88	Binding and activation of MAP Kinase	Complex111	Complex112	
BiochemicalReaction88	Binding and activation of MAP Kinase	SmallMolecule2	Complex112	
BiochemicalReaction89	MAP kinase activates MAPKAPK2, MAPKAPK3 and MSK1	Protein215	Protein218	
BiochemicalReaction89	MAP kinase activates MAPKAPK2, MAPKAPK3 and MSK1	SmallMolecule2	Protein218	
BiochemicalReaction89	MAP kinase activates MAPKAPK2, MAPKAPK3 and MSK1	SmallMolecule2	SmallMolecule3	
BiochemicalReaction89	MAP kinase activates MAPKAPK2, MAPKAPK3 and MSK1	Protein215	SmallMolecule3	
BiochemicalReaction9	NRAGE sequesters CHE1 in the cytoplasm	Complex10	Complex11	
BiochemicalReaction9	NRAGE sequesters CHE1 in the cytoplasm	Protein14	Complex11	
BiochemicalReaction90	TRKA recruits RIT and RIN	Complex113	Complex114	
BiochemicalReaction90	TRKA recruits RIT and RIN	Complex68	Complex114	
BiochemicalReaction91	RIT/RIN are activated	SmallMolecule4	SmallMolecule7	
BiochemicalReaction91	RIT/RIN are activated	Complex114	SmallMolecule7	
BiochemicalReaction91	RIT/RIN are activated	Complex114	Complex115	
BiochemicalReaction91	RIT/RIN are activated	SmallMolecule4	Complex115	
BiochemicalReaction92	RIT/RIN-GTP binds B-RAF	Complex117	Complex118	
BiochemicalReaction92	RIT/RIN-GTP binds B-RAF	Complex115	Complex118	
BiochemicalReaction93	FRS2 binds to active TrkA receptor	Protein225	Complex119	
BiochemicalReaction93	FRS2 binds to active TrkA receptor	Complex69	Complex119	
BiochemicalReaction94	FRS2 is phosphorylated by active TrkA receptor	Complex119	SmallMolecule17	
BiochemicalReaction94	FRS2 is phosphorylated by active TrkA receptor	SmallMolecule16	SmallMolecule17	
BiochemicalReaction94	FRS2 is phosphorylated by active TrkA receptor	SmallMolecule16	Complex120	
BiochemicalReaction94	FRS2 is phosphorylated by active TrkA receptor	Complex119	Complex120	
BiochemicalReaction95	p-FRS2 binds CRKL	Protein228	Complex122	
BiochemicalReaction95	p-FRS2 binds CRKL	Complex120	Complex122	
BiochemicalReaction96	Phospho-Frs2:CrkL engages C3G	Complex122	Complex123	
BiochemicalReaction96	Phospho-Frs2:CrkL engages C3G	Protein229	Complex123	
BiochemicalReaction97	(Frs2)C3G stimulates nucleotide exchange on Rap1	Complex124	SmallMolecule18	
BiochemicalReaction97	(Frs2)C3G stimulates nucleotide exchange on Rap1	SmallMolecule19	SmallMolecule18	
BiochemicalReaction97	(Frs2)C3G stimulates nucleotide exchange on Rap1	SmallMolecule19	Complex125	
BiochemicalReaction97	(Frs2)C3G stimulates nucleotide exchange on Rap1	Complex124	Complex125	
BiochemicalReaction98	(Frs2)Rap1-GTP binds to and activates B-Raf	Complex126	Complex127	
BiochemicalReaction98	(Frs2)Rap1-GTP binds to and activates B-Raf	Complex125	Complex127	
BiochemicalReaction99	ARMS:Crk complex binds to active TrkA receptor	Complex128	Complex129	
BiochemicalReaction99	ARMS:Crk complex binds to active TrkA receptor	Complex68	Complex129	
